Time,GPS_Slope
389,0.179041087627411
389.1,0.182623147964478
389.2,0.197962656617165
389.3,0.21552449464798
389.4,0.212639436125755
389.5,0.181724056601524
389.6,0.0933882370591164
389.7,0.024904377758503
389.8,-0.0165794044733047
389.9,-0.0780334174633026
390,-0.093397930264473
390.1,-0.107882596552372
390.2,-0.121951200067997
390.3,-0.120785363018513
390.4,-0.0917325764894485
390.5,-0.0689573511481285
390.6,-0.0669628083705902
390.7,-0.0746685341000557
390.8,-0.094762921333313
390.9,-0.125133335590363
391,-0.106782957911491
391.1,-0.0915174335241318
391.2,-0.0627072155475616
391.3,-0.0291604921221733
391.4,-0.0195047799497843
391.5,0.0309029370546341
391.6,0.0817418396472931
391.7,0.0488432943820953
391.8,-0.0592853054404259
391.9,-0.123180001974106
392,-0.184793129563332
392.1,-0.169824108481407
392.2,-0.113939553499222
392.3,-0.0646540224552155
392.4,-0.0882162302732468
392.5,-0.0930797010660172
392.6,-0.0986752435564995
392.7,-0.11785251647234
392.8,-0.13447368144989
392.9,-0.115839272737503
393,-0.0377131626009941
393.1,-0.0527570210397243
393.2,-0.0903078615665436
393.3,-0.108092561364174
393.4,-0.077735960483551
393.5,-0.0599258914589882
393.6,-0.0458283349871635
393.7,-0.0372969508171082
393.8,-0.0363546498119831
393.9,-0.0388445854187012
394,-0.024236511439085
394.1,-0.0519762076437473
394.2,-0.0550614856183529
394.3,-0.0304359551519156
394.4,-0.0268910061568022
394.5,-0.00243743835017085
394.6,0.0179535746574402
394.7,0.0273218918591738
394.8,0.0219963770359755
394.9,0.011124262586236
395,-0.0326965823769569
395.1,-0.0504814609885216
395.2,-0.0559458918869495
395.3,-0.0509465597569942
395.4,-0.0418138727545738
395.5,-0.00604521622881293
395.6,0.00922284554690123
395.7,0.0197763349860907
395.8,0.0245734509080648
395.9,0.0195598173886538
396,0.0474418178200722
396.1,0.0500754341483116
396.2,0.0517054721713066
396.3,0.0582089759409428
396.4,0.0649056136608124
396.5,0.0548985153436661
396.6,0.0265571717172861
396.7,0.00584609620273113
396.8,0.00480872904881835
396.9,0.0169179402291775
397,0.0683744475245476
397.1,0.109787300229073
397.2,0.139059826731682
397.3,0.153391242027283
397.4,0.161313205957413
397.5,0.158931970596313
397.6,0.164074435830116
397.7,0.157207936048508
397.8,0.163288041949272
397.9,0.22531746327877
398,0.285085171461105
398.1,0.354887217283249
398.2,0.398188143968582
398.3,0.415334820747375
398.4,0.446497976779938
398.5,0.45386478304863
398.6,0.440088868141174
398.7,0.428353816270828
398.8,0.423272401094437
398.9,0.417709439992905
399,0.473816990852356
399.1,0.47994127869606
399.2,0.48102656006813
399.3,0.482337296009064
399.4,0.47275772690773
399.5,0.477003157138824
399.6,0.464689970016479
399.7,0.42195925116539
399.8,0.361666649580002
399.9,0.329160779714584
400,0.281084805727005
400.1,0.249969765543938
400.2,0.226573824882507
400.3,0.214288517832756
400.4,0.213624313473701
400.5,0.203973561525345
400.6,0.184688240289688
400.7,0.159582108259201
400.8,0.127677723765373
400.9,0.0918216407299042
401,0.0804373696446419
401.1,0.0775093659758568
401.2,0.0766396299004555
401.3,0.0776366591453552
401.4,0.0807949602603912
401.5,0.0990256071090698
401.6,0.0958174392580986
401.7,0.094204843044281
401.8,0.108377777040005
401.9,0.14049981534481
402,0.124063767492771
402.1,0.108745947480202
402.2,0.0698734298348427
402.3,0.0388768091797829
402.4,0.0758219882845879
402.5,0.0498656779527664
402.6,0.0157531537115574
402.7,-0.0477146916091442
402.8,-0.120034195482731
402.9,-0.147867515683174
403,-0.315154552459717
403.1,-0.399966329336166
403.2,-0.501070857048035
403.3,-0.613448023796082
403.4,-0.675856530666351
403.5,-0.688933789730072
403.6,-0.564767897129059
403.7,-0.479629963636398
403.8,-0.473387479782104
403.9,-0.478276163339615
404,-0.359133303165436
404.1,-0.289857119321823
404.2,-0.280441045761108
404.3,-0.289812445640564
404.4,-0.22701208293438
404.5,-0.177922636270523
404.6,-0.183889880776405
404.7,-0.169109627604485
404.8,-0.141511142253876
404.9,-0.157225340604782
405,-0.212418600916862
405.1,-0.175412118434906
405.2,-0.136795297265053
405.3,-0.12710876762867
405.4,-0.13815438747406
405.5,-0.139574274420738
405.6,-0.126779064536095
405.7,-0.118679367005825
405.8,-0.11835104227066
405.9,-0.11702711135149
406,-0.107304289937019
406.1,-0.099619098007679
406.2,-0.0977271720767021
406.3,-0.110137321054935
406.4,-0.138586863875389
406.5,-0.14879547059536
406.6,-0.129896998405457
406.7,-0.112696774303913
406.8,-0.0973362922668457
406.9,-0.0699286162853241
407,-0.0648392215371132
407.1,-0.0514968074858189
407.2,-0.0400846190750599
407.3,-0.0196519065648317
407.4,0.0262453593313694
407.5,-0.00116747943684459
407.6,0.0357455387711525
407.7,0.0858184099197388
407.8,0.111912369728088
407.9,0.0904182866215706
408,-0.0406167507171631
408.1,-0.106553323566914
408.2,-0.108173593878746
408.3,-0.107496693730354
408.4,-0.214592710137367
408.5,-0.287213891744614
408.6,-0.377491980791092
408.7,-0.472553551197052
408.8,-0.497484147548676
408.9,-0.383613735437393
409,-0.374146699905396
409.1,-0.36471900343895
409.2,-0.347966074943542
409.3,-0.344607293605804
409.4,-0.381953835487366
409.5,-0.42356863617897
409.6,-0.390862107276917
409.7,-0.367475062608719
409.8,-0.35927540063858
409.9,-0.3291135430336
410,-0.255622267723083
410.1,-0.21996907889843
410.2,-0.176284834742546
410.3,-0.151813834905624
410.4,-0.198554337024689
410.5,-0.221107587218285
410.6,-0.203916847705841
410.7,-0.205203413963318
410.8,-0.232762366533279
410.9,-0.2546147108078
411,-0.282425433397293
411.1,-0.316368758678436
411.2,-0.329808980226517
411.3,-0.331888854503632
411.4,-0.359277427196503
411.5,-0.338867247104645
411.6,-0.309862315654755
411.7,-0.25808122754097
411.8,-0.193021282553673
411.9,-0.149074152112007
412,-0.0555999167263508
