Time,ECEF_position_Y
126.804,950158.75
126.916,950156.14
127.054,950153.46
127.166,950150.67
127.304,950147.78
127.416,950144.8
127.554,950141.76
127.666,950138.61
127.804,950135.43
127.916,950132.16
128.054,950128.79
128.166,950125.42
128.304,950122
128.416,950118.58
128.554,950115.19
128.666,950111.84
128.804,950108.6
128.916,950105.43
129.054,950102.32
129.166,950099.18
129.304,950095.98
129.416,950092.82
129.554,950089.73
129.666,950086.66
129.804,950083.59
129.916,950080.61
130.054,950077.66
130.166,950074.76
130.304,950071.96
130.416,950069.26
130.554,950066.6
130.666,950064.02
130.804,950061.56
130.916,950059.25
131.054,950057.06
131.166,950055.05
131.304,950053.15
131.416,950051.58
131.554,950050.24
131.666,950049.19
131.804,950048.32
131.916,950047.71
132.054,950047.38
132.166,950047.23
132.304,950047.2
132.416,950047.39
132.554,950047.57
132.666,950047.83
132.804,950048.08
132.916,950048.35
133.054,950048.61
133.166,950048.91
133.304,950049.21
133.416,950049.46
133.554,950049.73
133.666,950049.99
133.804,950050.23
133.916,950050.47
134.054,950050.7
134.166,950050.92
134.304,950051.16
134.416,950051.35
134.553,950051.55
134.666,950051.73
134.803,950051.92
134.916,950052.1
135.053,950052.26
135.166,950052.44
