Time,Logger_Temperature
188.439,10.3984375
189.489,10.3984375
190.539,10.296875
191.589,10.296875
192.639,10.3984375
193.689,10.296875
194.739,10.1953125
195.789,10.1953125
196.839,10.296875
197.889,10.1953125
198.939,10.1953125
199.989,10.1953125
201.039,10.1953125
202.089,10.1953125
203.139,10.1953125
204.189,10.09375
205.239,10.1953125
206.289,10
207.339,10
208.389,10
209.439,10.1953125
210.489,10
211.539,10
212.589,10
213.639,10.09375
214.689,10
215.739,10
216.789,10
217.839,10.09375
218.889,10
219.939,10
220.989,9.8984375
222.039,10
223.089,10
224.139,9.8984375
225.189,9.8984375
226.239,9.8984375
227.289,9.8984375
228.339,9.8984375
229.389,9.8984375
230.439,9.8984375
231.489,9.8984375
232.539,9.8984375
233.589,9.8984375
234.639,9.8984375
235.689,9.8984375
236.739,9.796875
237.789,9.796875
