Time,AccelerometerZ
238.502,-0.974609375
238.512,-1.021484375
238.522,-1.0830078125
238.53,-1.1708984375
238.54,-1.2490234375
238.55,-1.2529296875
238.56,-1.1552734375
238.57,-0.9921875
238.58,-0.84228515625
238.59,-0.7744140625
238.6,-0.794921875
238.61,-0.8486328125
238.62,-0.8779296875
238.63,-0.86279296875
238.64,-0.818359375
238.65,-0.76953125
238.66,-0.72998046875
238.67,-0.7021484375
238.68,-0.68701171875
238.69,-0.6982421875
238.7,-0.76025390625
238.71,-0.87548828125
238.72,-1.009765625
238.729,-1.1201171875
238.739,-1.1953125
238.749,-1.2685546875
238.759,-1.3740234375
238.769,-1.4990234375
238.779,-1.58984375
238.789,-1.5927734375
238.799,-1.494140625
238.809,-1.3330078125
238.819,-1.169921875
238.829,-1.044921875
238.839,-0.95751953125
238.849,-0.87841796875
238.859,-0.78271484375
238.869,-0.66748046875
238.879,-0.5498046875
238.889,-0.451904296875
238.899,-0.38134765625
238.909,-0.32421875
238.919,-0.255126953125
238.924,-0.06805419921875
238.934,-0.2425537109375
238.944,-0.54736328125
238.954,-0.90673828125
238.964,-1.212890625
238.974,-1.40234375
238.984,-1.4873046875
238.994,-1.51171875
239.004,-1.494140625
239.014,-1.416015625
239.024,-1.2626953125
239.034,-1.0634765625
239.044,-0.8974609375
239.054,-0.82958984375
239.064,-0.84228515625
239.074,-0.859375
239.082,-0.83154296875
239.092,-0.7802734375
239.102,-0.759765625
239.112,-0.798828125
239.122,-0.8818359375
239.132,-0.9775390625
239.142,-1.0654296875
239.152,-1.15625
239.162,-1.2724609375
239.172,-1.408203125
239.182,-1.5146484375
239.192,-1.5458984375
239.202,-1.5048828125
239.212,-1.4228515625
239.222,-1.333984375
239.232,-1.248046875
239.242,-1.1357421875
239.252,-0.97216796875
239.262,-0.78955078125
239.272,-0.66552734375
239.28,-0.6640625
239.29,-0.783203125
239.3,-0.953125
239.31,-1.095703125
239.32,-1.185546875
239.33,-1.244140625
239.34,-1.29296875
239.35,-1.314453125
239.36,-1.279296875
239.37,-1.1806640625
239.38,-1.0517578125
239.39,-0.94775390625
239.4,-0.89208984375
239.41,-0.865234375
239.42,-0.8369140625
239.43,-0.81201171875
239.44,-0.8251953125
239.45,-0.89892578125
239.46,-1.001953125
239.47,-1.0673828125
239.479,-1.056640625
239.489,-1
239.499,-0.96240234375
239.509,-0.9619140625
239.519,-0.96484375
239.529,-0.935546875
239.539,-0.87158203125
239.549,-0.80615234375
239.559,-0.78125
239.569,-0.798828125
239.579,-0.82177734375
239.589,-0.82568359375
239.599,-0.82080078125
239.609,-0.82958984375
239.619,-0.859375
239.629,-0.876953125
239.639,-0.833984375
239.649,-0.71484375
239.659,-0.5615234375
239.669,-0.446044921875
239.673,-0.421630859375
239.683,-0.4794921875
239.693,-0.60205078125
239.703,-0.7490234375
239.713,-0.8701171875
239.723,-0.9453125
239.733,-0.99169921875
239.743,-1.0380859375
239.753,-1.0791015625
239.763,-1.080078125
239.773,-1.0234375
239.783,-0.9453125
239.793,-0.90576171875
239.803,-0.9267578125
239.813,-0.9697265625
239.823,-0.98681640625
239.832,-0.9716796875
239.842,-0.94775390625
239.852,-0.93896484375
239.862,-0.95068359375
239.872,-0.97216796875
239.882,-0.9951171875
239.892,-1.0244140625
239.902,-1.083984375
239.912,-1.189453125
239.922,-1.2900390625
239.932,-1.3046875
239.942,-1.1875
239.952,-0.95556640625
239.962,-0.6865234375
239.972,-0.472412109375
239.982,-0.351806640625
239.992,-0.304931640625
240.002,-0.308349609375
240.012,-0.35888671875
240.022,-0.455322265625
240.03,-0.576171875
240.04,-0.68359375
240.05,-0.76220703125
240.06,-0.83056640625
240.07,-0.91650390625
240.08,-1.021484375
240.09,-1.111328125
240.1,-1.1435546875
240.11,-1.10546875
240.12,-1.02734375
240.13,-0.95556640625
240.14,-0.91796875
240.15,-0.90283203125
240.16,-0.880859375
240.17,-0.85302734375
240.18,-0.85546875
240.19,-0.900390625
240.2,-0.9482421875
240.21,-0.9482421875
240.22,-0.88037109375
240.229,-0.7744140625
240.239,-0.68994140625
240.249,-0.66015625
240.259,-0.66552734375
240.269,-0.66845703125
240.279,-0.66162109375
240.289,-0.671875
240.299,-0.72314453125
240.309,-0.806640625
240.319,-0.89013671875
240.329,-0.93408203125
240.339,-0.9365234375
240.349,-0.9443359375
240.359,-0.9970703125
240.369,-1.0771484375
240.379,-1.130859375
240.389,-1.1162109375
240.399,-1.0361328125
240.409,-0.92431640625
240.419,-0.8212890625
240.424,-0.65771484375
240.434,-0.75048828125
240.444,-0.8505859375
240.454,-0.908203125
240.464,-0.91259765625
240.474,-0.89013671875
240.484,-0.876953125
240.494,-0.8857421875
240.504,-0.89697265625
240.514,-0.8896484375
240.524,-0.8701171875
240.534,-0.87255859375
240.544,-0.9248046875
240.554,-1.0205078125
240.564,-1.1083984375
240.574,-1.123046875
240.581,-1.0390625
240.591,-0.8935546875
240.601,-0.75830078125
240.611,-0.685546875
240.621,-0.669921875
240.631,-0.6689453125
240.641,-0.66015625
240.651,-0.66650390625
240.661,-0.72119140625
240.671,-0.81982421875
240.681,-0.9189453125
240.691,-0.982421875
240.701,-1.0048828125
240.711,-1.00390625
240.721,-0.99658203125
240.731,-0.98193359375
240.741,-0.931640625
240.751,-0.822265625
240.761,-0.66796875
240.771,-0.5302734375
240.78,-0.47021484375
240.79,-0.4990234375
240.8,-0.58154296875
240.81,-0.66796875
240.82,-0.720703125
240.83,-0.734375
240.84,-0.72705078125
240.85,-0.7158203125
240.86,-0.70263671875
240.87,-0.6904296875
240.88,-0.6953125
240.89,-0.732421875
240.9,-0.7939453125
240.91,-0.84716796875
240.92,-0.859375
240.93,-0.82177734375
