Time,Logger_Temperature
238.839,9.8984375
239.889,9.796875
240.939,9.6953125
241.989,9.8984375
243.039,9.796875
244.089,9.6953125
245.139,9.6953125
246.189,9.796875
247.239,9.6953125
248.289,9.6953125
249.339,9.6953125
250.389,9.59375
251.439,9.6953125
252.489,9.6953125
253.539,9.6953125
254.589,9.6953125
255.639,9.6953125
256.689,9.59375
257.739,9.59375
258.789,9.6953125
259.839,9.5
260.889,9.59375
261.939,9.5
262.989,9.59375
264.039,9.5
265.089,9.5
266.139,9.5
267.189,9.59375
268.239,9.5
269.289,9.5
270.339,9.5
271.389,9.59375
272.439,9.5
273.489,9.5
274.539,9.5
275.589,9.5
276.639,9.5
277.689,9.5
278.739,9.5
279.789,9.5
280.839,9.5
281.889,9.5
282.939,9.3984375
283.989,9.5
285.039,9.5
286.089,9.3984375
287.139,9.3984375
288.189,9.3984375
