Time,Logger_Temperature
82.389,12.3984375
83.439,12.296875
84.489,12.296875
85.539,12.296875
86.589,12.296875
87.639,12.1953125
88.689,12.1953125
89.739,12.1953125
90.789,12.1953125
91.839,12.09375
92.889,12
93.939,12
94.989,12
96.039,12
97.089,12
98.139,12
99.189,12
100.239,12
101.289,12
102.339,12
103.389,11.8984375
104.439,11.796875
105.489,11.8984375
106.539,11.796875
107.589,11.796875
108.639,11.796875
109.689,11.6953125
110.739,11.6953125
111.789,11.6953125
112.839,11.59375
113.889,11.59375
114.939,11.5
115.989,11.5
117.039,11.5
118.089,11.5
119.139,11.5
120.189,11.5
121.239,11.5
122.289,11.5
123.339,11.3984375
124.389,11.3984375
125.439,11.3984375
126.489,11.3984375
127.539,11.3984375
128.589,11.3984375
129.639,11.296875
130.689,11.296875
131.739,11.296875
132.789,11.296875
133.839,11.296875
134.889,11.296875
