Time,RPM
82.259,13444
82.279,13520
82.305,13543
82.325,13546
82.345,13527
82.365,13501
82.385,13524
82.403,13509
82.423,13542
82.443,13559
82.463,13577
82.483,13558
82.505,13564
82.525,13584
82.545,13600
82.565,13657
82.585,13677
82.601,13910
82.621,5631
82.641,9278
82.661,9180
82.681,13694
82.701,13669
82.721,13614
82.741,13590
82.761,13638
82.781,13816
82.802,13932
82.822,13835
82.842,13653
82.862,13662
82.882,13671
82.902,13674
82.922,13654
82.942,13703
82.962,13727
82.982,13782
83.003,13782
83.023,13731
83.043,13731
83.063,13729
83.083,13731
83.103,13807
83.123,13849
83.143,13794
83.163,13799
83.183,13778
83.203,13788
83.223,13835
83.243,13886
83.263,13899
83.283,13831
83.303,13853
83.323,13842
83.343,13848
83.363,13930
83.383,13927
83.402,13947
83.422,13924
83.442,13900
83.462,13970
83.482,13922
83.493,6954
83.513,5971
83.533,11184
83.553,9331
83.573,6978
83.605,5974
83.625,10457
83.645,13944
83.665,13937
83.685,13926
83.699,6969
83.719,6984
83.739,6970
83.759,8345
83.779,10467
83.803,8323
83.823,9318
83.843,6936
83.863,11141
83.883,11120
83.902,10477
83.922,13922
83.942,14063
83.962,6951
83.982,8364
84.001,10459
84.021,11097
84.041,13882
84.061,13832
84.081,13838
84.105,13885
84.125,13992
84.145,9248
84.165,13876
84.185,13819
84.204,13810
84.224,13822
84.244,13814
84.264,13791
84.284,13733
84.304,13733
84.324,13747
84.344,13899
84.364,8321
84.384,13849
84.404,13926
84.424,13821
84.444,13731
84.464,13764
84.484,13774
84.504,13885
84.524,13890
84.544,13849
84.564,13791
84.584,13711
84.604,13637
84.624,13710
84.644,13795
84.664,13915
84.684,13920
84.704,13838
84.724,13837
84.744,13777
84.764,13647
84.784,13600
84.805,13626
84.825,13668
84.845,13680
84.865,13656
84.885,13574
84.901,13496
84.921,13490
84.941,13507
84.961,13495
84.981,13464
85.004,13474
85.024,13468
85.044,13445
85.064,13447
85.084,13605
85.105,13954
85.125,13954
85.145,3510
85.165,10839
85.185,13530
85.202,13498
85.222,13558
85.242,13905
85.262,3482
85.282,13394
85.303,13296
85.323,13187
85.343,13129
85.363,13185
85.383,13236
85.403,13247
85.423,13269
85.443,13321
85.463,13342
85.483,13310
85.502,13368
85.522,13381
85.542,13445
85.562,13404
85.582,13351
85.605,13376
85.625,13454
85.645,13481
85.665,13427
85.685,13437
85.703,13407
85.723,13381
85.743,13333
85.763,13307
85.783,13334
85.802,13371
85.822,13358
85.842,13395
85.862,13458
85.882,13499
85.905,13468
85.925,13514
85.945,13540
85.965,13581
85.985,13588
86.002,13523
86.022,13406
86.042,13350
86.062,13295
86.082,13330
86.101,13335
86.121,13359
86.141,13455
86.161,13451
86.181,13358
86.204,13327
86.224,13372
86.244,13338
86.264,13305
86.284,13312
86.304,13284
86.324,13241
86.344,13253
86.364,13365
86.384,13457
86.402,13420
86.422,13331
86.442,13338
86.462,13298
86.482,13307
86.502,13338
86.522,13390
86.542,13437
86.562,13409
