Time,AccelerometerX
489.294,-0.405517578125
489.304,-0.1331787109375
489.314,0.053741455078125
489.324,0.097900390625
489.334,0.0119705200195312
489.344,-0.144287109375
489.354,-0.307373046875
489.364,-0.4345703125
489.374,-0.5048828125
489.384,-0.505859375
489.394,-0.43505859375
489.404,-0.300048828125
489.418,-0.1322021484375
489.428,-0.00606155395507812
489.438,0.000839710235595703
489.448,-0.12396240234375
489.458,-0.322509765625
489.468,-0.513671875
489.478,-0.6435546875
489.488,-0.70166015625
489.498,-0.69775390625
489.508,-0.6494140625
489.518,-0.5615234375
489.528,-0.4287109375
489.538,-0.269775390625
489.548,-0.1396484375
489.558,-0.08905029296875
489.568,-0.1231689453125
489.578,-0.1983642578125
489.588,-0.2626953125
489.598,-0.294921875
489.608,-0.2998046875
489.616,-0.28076171875
489.626,-0.2279052734375
489.636,-0.1263427734375
489.646,0.012451171875
489.656,0.1341552734375
489.666,0.1727294921875
489.676,0.10723876953125
489.686,-0.0159912109375
489.696,-0.1319580078125
489.706,-0.2276611328125
489.716,-0.341064453125
489.726,-0.5087890625
489.736,-0.7333984375
489.746,-0.97998046875
489.756,-1.2021484375
489.766,-1.3681640625
489.776,-1.4541015625
489.786,-1.4228515625
489.796,-1.248046875
489.806,-0.94384765625
489.815,-0.57763671875
489.825,-0.27392578125
489.835,-0.1290283203125
489.845,-0.1351318359375
489.855,-0.226806640625
489.865,-0.345703125
489.875,-0.444580078125
489.885,-0.498291015625
489.895,-0.5048828125
489.905,-0.4580078125
489.915,-0.367431640625
489.925,-0.277587890625
489.935,-0.229248046875
489.945,-0.239013671875
489.955,-0.297119140625
489.965,-0.3740234375
489.975,-0.446044921875
489.985,-0.51513671875
489.995,-0.59716796875
490.005,-0.6923828125
490.009,-0.51806640625
490.019,-0.464599609375
490.029,-0.461181640625
490.039,-0.48583984375
490.049,-0.53857421875
490.059,-0.64794921875
490.069,-0.83154296875
490.079,-1.0634765625
490.089,-1.2734375
490.099,-1.37890625
490.109,-1.3427734375
490.119,-1.1923828125
490.129,-0.998046875
490.139,-0.82861328125
490.149,-0.72216796875
490.159,-0.7080078125
490.167,-0.810546875
490.177,-1.0244140625
490.187,-1.2939453125
490.197,-1.5341796875
490.207,-1.6669921875
490.217,-1.6533203125
490.227,-1.49609375
490.237,-1.2421875
490.247,-0.958984375
490.257,-0.69970703125
490.267,-0.50830078125
490.277,-0.416748046875
490.287,-0.431640625
490.297,-0.54541015625
490.307,-0.7373046875
490.317,-0.9599609375
490.327,-1.154296875
490.337,-1.2841796875
490.347,-1.349609375
490.357,-1.37109375
490.366,-1.3701171875
490.376,-1.345703125
490.386,-1.28125
490.396,-1.177734375
490.406,-1.064453125
490.416,-0.9775390625
490.426,-0.94677734375
490.436,-0.9853515625
490.446,-1.0712890625
490.456,-1.158203125
490.466,-1.203125
490.476,-1.185546875
490.486,-1.1142578125
490.496,-1.0087890625
490.506,-0.88720703125
490.516,-0.76708984375
490.526,-0.67138671875
490.536,-0.62353515625
490.546,-0.6455078125
490.556,-0.73974609375
490.565,-0.88525390625
490.575,-1.044921875
490.585,-1.1826171875
490.595,-1.2705078125
490.605,-1.2978515625
490.615,-1.2646484375
490.625,-1.1767578125
490.635,-1.0419921875
490.645,-0.87353515625
490.655,-0.6845703125
490.665,-0.49755859375
490.675,-0.33203125
490.685,-0.205078125
490.695,-0.1256103515625
490.705,-0.08544921875
490.715,-0.05975341796875
490.725,-0.0146636962890625
490.735,0.0823974609375
490.745,0.246337890625
490.755,0.464111328125
