Time,AccelerometerY
489.294,-0.10223388671875
489.304,-0.1009521484375
489.314,-0.1328125
489.324,-0.1844482421875
489.334,-0.225830078125
489.344,-0.2274169921875
489.354,-0.1868896484375
489.364,-0.135986328125
489.374,-0.10986328125
489.384,-0.10504150390625
489.394,-0.08935546875
489.404,-0.050689697265625
489.418,-0.0126800537109375
489.428,-0.00644302368164062
489.438,-0.037445068359375
489.448,-0.07501220703125
489.458,-0.0758056640625
489.468,-0.030731201171875
489.478,0.0145645141601562
489.488,0.0100631713867188
489.498,-0.0338134765625
489.508,-0.07012939453125
489.518,-0.08294677734375
489.528,-0.08074951171875
489.538,-0.055755615234375
489.548,-0.0063323974609375
489.558,0.028717041015625
489.568,0.011444091796875
489.578,-0.04345703125
489.588,-0.089111328125
489.598,-0.10125732421875
489.608,-0.09930419921875
489.616,-0.108154296875
489.626,-0.1092529296875
489.636,-0.060089111328125
489.646,0.041656494140625
489.656,0.1365966796875
489.666,0.1475830078125
489.676,0.05230712890625
489.686,-0.0814208984375
489.696,-0.154296875
489.706,-0.136474609375
489.716,-0.09149169921875
489.726,-0.092529296875
489.736,-0.1376953125
489.746,-0.1689453125
489.756,-0.1644287109375
489.766,-0.1754150390625
489.776,-0.248291015625
489.786,-0.333740234375
489.796,-0.332763671875
489.806,-0.2401123046875
489.815,-0.166748046875
489.825,-0.1976318359375
489.835,-0.29736328125
489.845,-0.365478515625
489.855,-0.34423828125
489.865,-0.270751953125
489.875,-0.2225341796875
489.885,-0.2222900390625
489.895,-0.237060546875
489.905,-0.237060546875
489.915,-0.2154541015625
489.925,-0.1744384765625
489.935,-0.11346435546875
489.945,-0.038238525390625
489.955,0.026641845703125
489.965,0.052093505859375
489.975,0.029754638671875
489.985,-0.02911376953125
489.995,-0.10626220703125
490.005,-0.185302734375
490.009,-0.25341796875
490.019,-0.262939453125
490.029,-0.293701171875
490.039,-0.315185546875
490.049,-0.29052734375
490.059,-0.2227783203125
490.069,-0.1431884765625
490.079,-0.0718994140625
490.089,-0.00952911376953125
490.099,0.046722412109375
490.109,0.09503173828125
490.119,0.12274169921875
490.129,0.108154296875
490.139,0.043670654296875
