Time,Water_Temp
339.043,45.84375
339.093,45.84375
339.143,45.84375
339.193,45.84375
339.243,45.875
339.293,45.90625
339.343,45.9375
339.393,45.96875
339.443,46
339.493,46.03125
339.543,46.03125
339.593,46.03125
339.643,46
339.693,45.96875
339.743,45.9375
339.792,45.9375
339.842,45.9375
339.892,45.9375
339.942,45.9375
339.992,45.9375
340.042,45.96875
340.092,45.96875
340.142,45.96875
340.192,45.96875
340.242,46
340.292,46
340.342,45.96875
340.392,45.96875
340.442,45.9375
340.492,45.9375
340.542,45.9375
340.592,45.96875
340.642,45.96875
340.692,45.96875
340.742,46
340.792,46
340.842,46.03125
340.892,46.09375
340.942,46.125
340.992,46.125
341.042,46.125
341.092,46.125
341.142,46.125
341.192,46.09375
341.242,46.09375
341.292,46.09375
341.342,46.09375
341.392,46.09375
341.442,46.09375
341.492,46.125
341.542,46.15625
341.592,46.1875
341.642,46.21875
341.692,46.1875
341.742,46.1875
341.792,46.15625
341.842,46.15625
341.892,46.125
341.942,46.125
341.992,46.125
342.042,46.15625
342.092,46.15625
342.142,46.1875
342.192,46.1875
342.242,46.15625
342.292,46.125
342.342,46.09375
342.391,46.0625
342.441,46
342.491,46
342.541,46.03125
342.591,46.0625
342.641,46.125
342.691,46.1875
342.741,46.21875
342.791,46.25
342.841,46.28125
342.891,46.3125
342.941,46.3125
342.991,46.3125
343.041,46.3125
343.091,46.3125
343.141,46.3125
343.191,46.3125
343.241,46.3125
343.291,46.28125
343.341,46.28125
343.391,46.25
343.441,46.25
343.491,46.25
343.541,46.25
343.591,46.25
343.641,46.28125
343.691,46.3125
343.741,46.34375
343.791,46.375
343.841,46.375
343.891,46.40625
343.941,46.40625
343.991,46.4375
344.041,46.4375
344.091,46.46875
344.141,46.4375
344.191,46.40625
344.241,46.40625
344.291,46.40625
344.341,46.40625
344.391,46.4375
344.441,46.4375
344.491,46.4375
344.541,46.46875
344.591,46.46875
344.641,46.46875
344.691,46.46875
344.741,46.46875
344.791,46.4375
