Time,Water_Temp
388.924,49.6875
388.974,49.65625
389.024,49.65625
389.074,49.625
389.124,49.625
389.174,49.625
389.224,49.625
389.274,49.625
389.324,49.65625
389.374,49.6875
389.424,49.71875
389.474,49.78125
389.524,49.8125
389.574,49.875
389.624,49.90625
389.673,49.90625
389.723,49.90625
389.773,49.90625
389.823,49.90625
389.873,49.875
389.923,49.875
389.973,49.84375
390.023,49.78125
390.073,49.75
390.123,49.71875
390.173,49.71875
390.223,49.71875
390.273,49.71875
390.323,49.71875
390.373,49.75
390.423,49.8125
390.473,49.84375
390.523,49.875
390.573,49.9375
390.623,49.96875
390.673,49.96875
390.723,50
390.773,50
390.823,50
390.873,49.96875
390.923,49.9375
390.973,49.90625
391.023,49.90625
391.073,49.9375
391.123,49.9375
391.173,49.9375
391.223,49.96875
391.273,49.96875
391.323,50
391.373,50
391.423,50.03125
391.473,50
391.523,50
391.573,50
391.623,50
391.673,49.96875
391.723,49.9375
391.773,49.90625
391.823,49.875
391.873,49.84375
391.923,49.8125
391.973,49.8125
392.023,49.8125
392.073,49.8125
392.123,49.84375
392.173,49.875
392.223,49.90625
392.272,49.9375
392.322,49.9375
392.372,49.9375
392.422,49.9375
392.472,49.90625
392.522,49.90625
392.572,49.875
392.622,49.84375
392.672,49.84375
392.722,49.875
392.772,49.90625
392.822,49.9375
392.872,50
392.922,50
392.972,50.03125
393.022,50.0625
393.072,50.0625
393.122,50.0625
393.172,50.03125
393.222,50
393.272,50
393.322,50.03125
393.372,50.0625
393.422,50.125
393.472,50.15625
393.522,50.1875
393.572,50.1875
393.622,50.1875
393.672,50.1875
393.722,50.15625
393.772,50.15625
393.822,50.15625
393.872,50.15625
393.922,50.15625
393.972,50.15625
394.022,50.15625
394.072,50.15625
394.122,50.15625
394.172,50.15625
394.222,50.125
394.272,50.09375
394.322,50.0625
394.372,50.0625
394.422,50.03125
394.472,50.0625
394.522,50.0625
394.572,50.0625
394.622,50.09375
394.672,50.09375
394.722,50.125
394.772,50.125
394.822,50.125
394.872,50.125
394.921,50.125
394.971,50.125
395.021,50.09375
395.071,50.09375
395.121,50.09375
395.171,50.09375
395.221,50.09375
395.271,50.0625
395.321,50.0625
395.371,50.0625
395.421,50.125
395.471,50.15625
395.521,50.21875
395.571,50.25
395.621,50.28125
395.671,50.28125
395.721,50.3125
395.771,50.3125
395.821,50.3125
395.871,50.3125
395.921,50.3125
395.971,50.3125
396.021,50.3125
396.071,50.34375
396.121,50.34375
396.171,50.34375
396.221,50.34375
396.271,50.34375
396.321,50.3125
396.371,50.3125
396.421,50.3125
396.471,50.3125
396.521,50.34375
396.571,50.34375
396.621,50.375
396.671,50.34375
396.721,50.34375
396.771,50.34375
396.821,50.3125
396.871,50.3125
396.921,50.3125
396.971,50.28125
397.021,50.28125
397.071,50.25
397.121,50.21875
397.171,50.21875
397.221,50.21875
397.271,50.28125
397.321,50.3125
397.371,50.34375
397.421,50.375
397.471,50.40625
397.52,50.40625
397.57,50.40625
397.62,50.40625
397.67,50.40625
397.72,50.375
397.77,50.375
397.82,50.34375
397.87,50.28125
397.92,50.28125
397.97,50.25
398.02,50.25
398.07,50.28125
398.12,50.3125
398.17,50.3125
398.22,50.34375
398.27,50.34375
398.32,50.34375
398.37,50.34375
398.42,50.3125
398.47,50.28125
398.52,50.25
398.57,50.21875
398.62,50.21875
398.67,50.21875
398.72,50.21875
398.77,50.21875
398.82,50.25
398.87,50.28125
398.92,50.3125
398.97,50.3125
399.02,50.3125
399.07,50.3125
399.12,50.3125
399.17,50.3125
399.22,50.3125
399.27,50.3125
399.32,50.34375
399.37,50.3125
399.42,50.28125
399.47,50.25
399.52,50.25
399.57,50.25
399.62,50.28125
399.67,50.3125
399.72,50.34375
