Time,GyroX
388.912,19.7000007629395
388.922,13.4400005340576
388.932,1.12000000476837
388.942,2.10000014305115
388.952,8.19000053405762
388.962,12.3900003433228
388.972,15.5000009536743
388.981,3.39000010490417
388.991,-2.76000022888184
389.001,-0.840000033378601
389.011,-0.560000002384186
389.021,10.9900007247925
389.031,1.19000005722046
389.041,-6.79000043869019
389.051,0.770000040531158
389.061,-2.90000009536743
389.071,1.36000001430511
389.081,9.66000080108643
389.091,-14.7000007629395
389.101,-8.07999992370605
389.111,6.72000026702881
389.121,6.23000049591064
389.131,-0.170000001788139
389.141,-14.3100004196167
389.151,-3.3600001335144
389.161,10.3900003433228
389.171,10.9500007629395
389.179,-0.280000001192093
389.189,1.64000010490417
389.199,2.13000011444092
389.209,11.8300008773804
389.219,17.7800006866455
389.229,12.1800003051758
389.239,24.6000003814697
389.249,3.92000007629395
389.259,12.8400001525879
389.269,20.7500019073486
389.279,6.54000043869019
389.289,1.22000002861023
389.299,-9.48000049591064
389.309,3.22000026702881
389.319,7.3100004196167
389.329,2.45000004768372
389.339,-13.8900003433228
389.349,-10.5700006484985
389.359,3.78000020980835
389.369,4.37000036239624
389.373,5.39000034332275
389.383,9.66000080108643
389.393,-10.6700000762939
389.403,13.1900005340576
389.413,27.8200016021729
389.423,3.71000027656555
389.433,4.58000040054321
389.443,-22.8900012969971
389.453,-28.0000019073486
389.463,-22.9900016784668
389.473,-41.6100006103516
389.483,-52.6000022888184
389.493,-39.2000007629395
389.503,-19.2800006866455
389.513,39.2000007629395
389.523,64.3300018310547
389.532,84.5200042724609
389.542,94.0400009155273
389.552,74.2000045776367
389.562,78.5700073242188
389.572,49.6300010681152
389.582,7.45000028610229
389.592,-14.8700008392334
389.602,-18.3400001525879
389.612,-21.6300010681152
389.622,-29.2200012207031
389.632,-29.0800018310547
389.642,-21.4500007629395
389.652,-9.59000015258789
389.662,-7.59000015258789
389.672,-7.49000024795532
389.682,-2.06000018119812
389.692,-0.0300000011920929
389.702,4.8600001335144
389.712,8.40000057220459
389.722,27.3000011444092
389.731,30.1700019836426
389.741,13.5400009155273
389.751,21.7000007629395
389.761,22.7100009918213
389.771,17.3200016021729
389.781,12.4900007247925
389.791,-18.230001449585
389.801,-22.6400012969971
389.811,-3.3600001335144
389.821,-0.450000017881393
389.831,13.1200008392334
389.841,8.92000007629395
389.851,33.3900032043457
