Time,GPS_Gyro
489.3,0.0410325564444065
489.4,0.295289427042007
489.5,0.892705142498016
489.6,1.32034146785736
489.7,1.1037290096283
489.8,0.521350204944611
489.9,-0.217531234025955
490,-0.575819253921509
490.1,0.0782894492149353
490.2,1.58342826366425
490.3,3.19721436500549
490.4,4.35709953308105
490.5,5.07906198501587
490.6,5.56168603897095
490.7,7.50372314453125
490.8,10.9789085388184
490.9,16.7712421417236
491,23.5997657775879
491.1,29.444995880127
491.2,32.9044189453125
491.3,34.2629623413086
491.4,32.8036193847656
491.5,31.1210079193115
491.6,29.8011035919189
491.7,30.3427143096924
491.8,31.6318740844727
491.9,32.8649711608887
492,33.9800491333008
492.1,33.5089645385742
492.2,30.5288486480713
492.3,27.1483974456787
492.4,25.272253036499
492.5,24.6998844146729
492.6,23.9628295898438
492.7,23.2092514038086
492.8,23.0937557220459
492.9,24.5630550384521
493,26.5146789550781
493.1,28.0346069335938
493.2,28.7062530517578
493.3,28.8831405639648
493.4,28.4689636230469
493.5,27.3468112945557
493.6,24.4278221130371
493.7,21.1327800750732
493.8,18.1798210144043
493.9,15.9994974136353
494,14.009578704834
494.1,12.4589862823486
494.2,10.8802738189697
494.3,9.40844631195068
494.4,8.44828319549561
494.5,7.98537302017212
494.6,7.25916004180908
494.7,6.59073638916016
494.8,6.08505487442017
494.9,5.934730052948
495,6.18136501312256
495.1,6.33423900604248
495.2,6.34535360336304
495.3,6.20060062408447
495.4,5.70201253890991
495.5,4.7695689201355
495.6,4.07561349868774
495.7,4.98283100128174
495.8,7.30722141265869
495.9,11.5256690979004
496,16.2596035003662
496.1,20.8159236907959
496.2,25.2935619354248
496.3,29.0890235900879
496.4,31.1061096191406
496.5,32.2395362854004
496.6,34.4419822692871
496.7,36.4255790710449
496.8,37.9039268493652
496.9,38.3282279968262
497,37.3075485229492
497.1,35.3299369812012
497.2,34.2708435058594
497.3,33.8669166564941
497.4,34.493766784668
497.5,37.7597961425781
497.6,42.2009735107422
497.7,41.9616622924805
497.8,39.5683937072754
497.9,37.7397689819336
498,38.3666954040527
498.1,40.7940063476562
498.2,45.4216079711914
498.3,50.2419204711914
498.4,53.6944580078125
498.5,56.7443351745605
498.6,57.9607276916504
498.7,58.141414642334
498.8,58.3603706359863
498.9,59.1613616943359
499,59.6389541625977
499.1,57.778190612793
499.2,55.1953544616699
499.3,52.2299690246582
499.4,48.7950134277344
499.5,46.2254638671875
499.6,43.7659912109375
499.7,43.6717376708984
499.8,44.8991241455078
499.9,46.1622772216797
500,44.7280120849609
500.1,42.1786308288574
500.2,39.8837203979492
500.3,38.0993919372559
500.4,36.8464965820312
500.5,35.1425247192383
500.6,32.2988357543945
500.7,29.2383937835693
500.8,26.3286151885986
500.9,23.0649356842041
501,17.2372493743896
501.1,9.63579845428467
501.2,1.27356135845184
501.3,-6.49513101577759
501.4,-12.1808662414551
501.5,-16.1345691680908
501.6,-19.4133472442627
501.7,-22.7822399139404
501.8,-26.0317115783691
501.9,-28.6159610748291
502,-30.5504837036133
502.1,-30.9283218383789
502.2,-30.3896579742432
502.3,-29.5165576934814
502.4,-28.8814163208008
502.5,-30.0718955993652
502.6,-31.9290103912354
502.7,-35.1331062316895
502.8,-39.0881118774414
502.9,-43.264289855957
503,-46.1826515197754
503.1,-47.355583190918
503.2,-47.5884742736816
503.3,-47.718879699707
503.4,-47.8052444458008
503.5,-46.603214263916
503.6,-44.7133598327637
503.7,-46.6771965026855
503.8,-50.1128425598145
503.9,-52.3427505493164
504,-51.9658470153809
504.1,-49.9900321960449
504.2,-50.094913482666
504.3,-51.6050262451172
504.4,-52.7575759887695
504.5,-49.3391265869141
504.6,-41.8494300842285
504.7,-29.9392967224121
504.8,-17.2814426422119
504.9,-7.16898822784424
505,-0.672223687171936
505.1,5.44454383850098
505.2,12.3674917221069
