Time,GPS_Gyro
339.1,0.148743733763695
339.2,0.286373794078827
339.3,-0.410954564809799
339.4,-0.997108101844788
339.5,0.0958890169858932
339.6,1.95847010612488
339.7,3.47964859008789
339.8,3.87797451019287
339.9,3.37143421173096
340,4.04275131225586
340.1,6.15150022506714
340.2,8.50070571899414
340.3,10.8681478500366
340.4,13.3021392822266
340.5,16.1991729736328
340.6,19.9419612884521
340.7,23.4226055145264
340.8,25.7986831665039
340.9,27.1885166168213
341,28.469352722168
341.1,29.4328708648682
341.2,30.0025424957275
341.3,29.7808074951172
341.4,28.9598865509033
341.5,28.3283271789551
341.6,28.5051898956299
341.7,28.7791233062744
341.8,29.0193958282471
341.9,29.3433418273926
342,30.0475120544434
342.1,30.0627498626709
342.2,28.9768409729004
342.3,27.0109081268311
342.4,26.0260581970215
342.5,29.024881362915
342.6,32.7298164367676
342.7,34.8806266784668
342.8,33.7475395202637
342.9,30.7471885681152
343,28.754695892334
343.1,28.2549991607666
343.2,27.0975952148438
343.3,23.8886604309082
343.4,19.275821685791
343.5,14.3969602584839
343.6,10.6209135055542
343.7,7.75038576126099
343.8,5.96326780319214
343.9,4.35054540634155
344,3.49497532844543
344.1,3.25218796730042
344.2,3.27903389930725
344.3,3.64416527748108
344.4,4.19897842407227
344.5,5.13286304473877
344.6,6.59694623947144
344.7,8.2523307800293
344.8,10.2410345077515
344.9,12.6045484542847
345,15.8825168609619
345.1,19.1281700134277
345.2,21.6869430541992
345.3,22.7152824401855
345.4,22.6261901855469
345.5,21.9927425384521
345.6,22.6139545440674
345.7,23.6833763122559
345.8,25.0143280029297
345.9,26.2971343994141
346,28.9316482543945
346.1,31.3297576904297
346.2,33.3429870605469
346.3,34.9596214294434
346.4,36.6846084594727
346.5,37.9530143737793
346.6,38.5107345581055
346.7,38.437557220459
346.8,37.8195457458496
346.9,37.5521774291992
347,39.7155723571777
347.1,42.4562644958496
347.2,45.1043663024902
347.3,47.8492317199707
347.4,51.2198028564453
347.5,52.4772644042969
347.6,51.989070892334
347.7,50.8775024414062
347.8,49.865177154541
347.9,49.9692268371582
348,51.990894317627
348.1,53.3857421875
348.2,54.5654335021973
348.3,55.5924682617188
348.4,56.4830360412598
348.5,55.7857780456543
348.6,53.962085723877
348.7,51.7281875610352
348.8,49.3359298706055
348.9,47.2312355041504
349,46.2301788330078
349.1,46.1623649597168
349.2,45.851203918457
349.3,44.6178092956543
349.4,42.6740417480469
349.5,40.323558807373
349.6,39.2873001098633
349.7,38.5406761169434
349.8,37.4360847473145
349.9,35.5493049621582
350,31.8332443237305
350.1,26.5271301269531
350.2,20.9025688171387
350.3,15.1476249694824
350.4,9.26257133483887
350.5,3.35662722587585
350.6,-2.79031538963318
350.7,-8.79637718200684
350.8,-14.4229393005371
350.9,-19.8126106262207
351,-23.7512493133545
351.1,-26.6220684051514
351.2,-28.4306983947754
351.3,-28.6330547332764
351.4,-28.0839252471924
351.5,-27.7662830352783
351.6,-28.1852111816406
351.7,-29.4988632202148
351.8,-32.0782089233398
351.9,-35.0818405151367
352,-38.2716255187988
352.1,-41.2064247131348
352.2,-43.6068344116211
352.3,-45.2292709350586
352.4,-46.6355667114258
352.5,-47.2635231018066
352.6,-49.7219848632812
352.7,-51.9937896728516
352.8,-52.2944717407227
