Time,GPS_Longitude
238.5,12.1497804521307
238.6,12.1497882947664
238.7,12.149796497779
238.8,12.1498048153569
238.9,12.1498124955553
239,12.149820100117
239.1,12.1498285503766
239.2,12.149837512222
239.3,12.1498461340638
239.4,12.1498544231317
239.5,12.1498630610375
239.6,12.1498725746989
239.7,12.149882922538
239.8,12.1498937727834
239.9,12.1499064636829
240,12.1499190710577
240.1,12.1499347361859
240.2,12.149953176193
240.3,12.1499724649248
240.4,12.1499941064183
240.5,12.1500166347057
240.6,12.1500416534993
240.7,12.1500685909296
240.8,12.1500959151662
240.9,12.1501264246068
241,12.1501566561947
241.1,12.1501891872686
241.2,12.1502233881408
241.3,12.1502574047166
241.4,12.1502935769079
241.5,12.1503295535623
241.6,12.1503666555307
241.7,12.1504045447703
241.8,12.1504424085667
241.9,12.1504822489057
242,12.1505214444042
242.1,12.1505614457857
242.2,12.1506016761471
242.3,12.1506410848569
242.4,12.1506817405212
242.5,12.1507211956968
242.6,12.1507609688386
242.7,12.1508008492677
242.8,12.1508402112678
242.9,12.1508805536437
243,12.1509201204579
243.1,12.1509600446222
243.2,12.1510000439183
243.3,12.1510395326083
243.4,12.1510801264263
243.5,12.1511196399725
243.6,12.1511596967375
243.7,12.1511997480927
243.8,12.1512387943712
243.9,12.1512791989151
244,12.1513183703312
244.1,12.1513578800288
244.2,12.1513973110905
244.3,12.1514358023614
244.4,12.1514749870574
244.5,12.1515123535638
244.6,12.1515494717142
244.7,12.1515858305972
244.8,12.151620559326
244.9,12.1516551177127
245,12.1516875762221
245.1,12.1517189259407
245.2,12.1517485089163
245.3,12.1517756401019
245.4,12.1518019712897
245.5,12.1518253065952
245.6,12.1518465991872
245.7,12.1518662114842
245.8,12.1518845201895
245.9,12.1519002044913
246,12.1519126063857
246.1,12.1519231390124
246.2,12.1519316880059
246.3,12.1519379869582
246.4,12.1519413466138
246.5,12.15194144562
246.6,12.1519394064143
246.7,12.1519351370273
246.8,12.1519286042983
246.9,12.151920000931
247,12.1519096213102
247.1,12.1518970043638
247.2,12.1518822395283
247.3,12.1518658351161
247.4,12.1518460957148
247.5,12.1518258406803
247.6,12.1518040387986
247.7,12.1517797982372
247.8,12.1517528478247
247.9,12.1517246045287
248,12.1516967397346
248.1,12.1516679567192
248.2,12.1516385726279
248.3,12.1516093700684
248.4,12.1515788138252
248.5,12.1515495066035
248.6,12.1515202619139
248.7,12.1514913921544
248.8,12.1514634976382
248.9,12.1514354784641
249,12.1514093268145
249.1,12.151383727622
249.2,12.1513586781358
249.3,12.1513344730662
249.4,12.1513111374408
249.5,12.1512893231667
249.6,12.1512674332441
249.7,12.1512457472397
249.8,12.1512249338794
249.9,12.1512033455498
250,12.1511817008391
250.1,12.1511589539219
250.2,12.1511352537492
250.3,12.1511111227801
250.4,12.1510846176529
250.5,12.1510577456209
250.6,12.1510292843497
250.7,12.1509999270327
250.8,12.1509709404466
250.9,12.1509404283879
251,12.1509109395462
251.1,12.1508811876035
251.2,12.1508515995339
251.3,12.1508229455996
251.4,12.15079356542
251.5,12.1507654475185
251.6,12.150737302848
251.7,12.1507094564559
251.8,12.1506825841607
251.9,12.150655762282
252,12.1506297709376
252.1,12.1506043615224
252.2,12.1505796406668
252.3,12.1505557617746
252.4,12.1505330441497
252.5,12.1505109488519
252.6,12.1504900961713
252.7,12.1504713298685
252.8,12.1504551479542
252.9,12.1504402822776
253,12.1504282544857
253.1,12.1504181063548
253.2,12.150410194727
253.3,12.1504048649618
253.4,12.1504009471358
253.5,12.1503976899109
253.6,12.1503944747977
253.7,12.1503908844684
253.8,12.1503866196623
253.9,12.150381621212
254,12.1503747459894
254.1,12.1503667027796
254.2,12.1503577127807
254.3,12.1503478657726
254.4,12.1503361967348
254.5,12.150323312612
254.6,12.1503091412783
254.7,12.1502937935553
254.8,12.1502775093511
254.9,12.1502596499857
255,12.1502406873723
255.1,12.150220746814
255.2,12.1502000976649
255.3,12.1501791064295
255.4,12.1501575876839
255.5,12.1501364793712
255.6,12.1501156462977
255.7,12.1500954668314
255.8,12.1500763366477
255.9,12.1500578679521
256,12.1500409576112
256.1,12.1500246163439
256.2,12.1500090188198
256.3,12.1499945483153
256.4,12.1499808364721
256.5,12.1499688740458
256.6,12.1499583673862
256.7,12.1499491925984
256.8,12.1499412967607
256.9,12.1499365230527
257,12.1499334915933
257.1,12.1499323551761
257.2,12.1499330662192
257.3,12.1499353171507
257.4,12.1499393043471
257.5,12.1499446165408
257.6,12.1499526394138
257.7,12.1499627892359
257.8,12.149973827087
257.9,12.1499873354342
258,12.1500022899952
258.1,12.1500188418575
258.2,12.1500368502849
258.3,12.1500559333571
258.4,12.1500762269984
258.5,12.1500971738296
258.6,12.1501183438732
258.7,12.1501395145486
258.8,12.1501606154683
258.9,12.1501824971519
259,12.1502031846341
259.1,12.1502234592094
259.2,12.1502432403993
259.3,12.1502622565177
259.4,12.1502804907209
259.5,12.1502974839819
259.6,12.1503135984051
259.7,12.1503284702428
259.8,12.1503417451675
259.9,12.1503540087983
260,12.1503649927509
260.1,12.1503747351239
260.2,12.1503831323937
260.3,12.1503902315884
260.4,12.1503963001109
260.5,12.1504007223161
260.6,12.1504047452402
260.7,12.1504085842837
260.8,12.1504121875476
260.9,12.1504157988957
261,12.1504200123996
261.1,12.1504243730366
261.2,12.1504291162368
261.3,12.150434664721
261.4,12.1504414581566
261.5,12.150449077305
261.6,12.1504583069427
261.7,12.1504693802721
261.8,12.1504821672761
261.9,12.1504969954418
262,12.1505131149333
262.1,12.1505307898534
262.2,12.1505498194012
262.3,12.1505697285655
262.4,12.1505906811094
262.5,12.1506137509224
262.6,12.1506375508179
262.7,12.1506624421509
262.8,12.1506891393298
262.9,12.1507173181836
263,12.1507465387678
263.1,12.1507766390267
263.2,12.1508074599409
263.3,12.1508388071388
263.4,12.1508706228702
263.5,12.1509025503147
263.6,12.1509345982378
263.7,12.1509669452147
263.8,12.1509996239867
263.9,12.1510311409395
264,12.1510618280148
264.1,12.151091895747
264.2,12.1511213241486
264.3,12.1511500334005
264.4,12.1511777282111
264.5,12.1512044866131
264.6,12.1512300953589
264.7,12.1512551059993
264.8,12.1512801584996
264.9,12.1513041256716
265,12.1513274720179
265.1,12.1513504991742
265.2,12.1513731115103
265.3,12.1513951539245
265.4,12.1514168349861
265.5,12.1514376989294
265.6,12.1514578630111
265.7,12.151477238717
265.8,12.1514957057467
265.9,12.1515130360165
266,12.1515296632852
266.1,12.1515457430279
266.2,12.1515612679126
266.3,12.1515761888654
266.4,12.1515902522961
266.5,12.1516025466888
266.6,12.1516132949306
266.7,12.1516226799919
266.8,12.151630716169
