Time,GPS_SpdAccuracy
238.5,0.239999994635582
238.6,0.26295080780983
238.7,0.295312494039536
238.8,0.311475396156311
238.9,0.3360655605793
239,0.346562504768372
239.1,0.349999994039536
239.2,0.347343742847443
239.3,0.337540984153748
239.4,0.296557366847992
239.5,0.283437490463257
239.6,0.280000001192093
239.7,0.272031247615814
239.8,0.250983595848083
239.9,0.26737704873085
240,0.348749995231628
240.1,0.445081979036331
240.2,0.504687488079071
240.3,0.489016383886337
240.4,0.472622960805893
240.5,0.463437497615814
240.6,0.446229517459869
240.7,0.430000007152557
240.8,0.430000007152557
240.9,0.430000007152557
241,0.377499997615814
241.1,0.349999994039536
241.2,0.341968506574631
241.3,0.318861782550812
241.4,0.302601635456085
241.5,0.313228338956833
241.6,0.306097567081451
241.7,0.287322849035263
241.8,0.279430896043777
241.9,0.271300822496414
242,0.263385832309723
242.1,0.25536584854126
242.2,0.252677172422409
242.3,0.258861780166626
242.4,0.242601633071899
242.5,0.23338583111763
242.6,0.22073170542717
242.7,0.207322835922241
242.8,0.198861792683601
242.9,0.182601630687714
243,0.166771650314331
243.1,0.159999996423721
243.2,0.159999996423721
243.3,0.159999996423721
243.4,0.159999996423721
243.5,0.153385832905769
243.6,0.150000005960464
243.7,0.150000005960464
243.8,0.150000005960464
243.9,0.150000005960464
244,0.150000005960464
244.1,0.150000005960464
244.2,0.150000005960464
244.3,0.150000005960464
244.4,0.150000005960464
244.5,0.150000005960464
244.6,0.150000005960464
244.7,0.152677163481712
244.8,0.160569101572037
244.9,0.168699190020561
245,0.176614180207253
245.1,0.180000007152557
245.2,0.182677164673805
245.3,0.189999997615814
245.4,0.189999997615814
245.5,0.183385834097862
245.6,0.198536589741707
245.7,0.217322841286659
245.8,0.210569098591805
245.9,0.218699187040329
246,0.239842519164085
246.1,0.263902425765991
246.2,0.290708661079407
246.3,0.319999992847443
246.4,0.319999992847443
246.5,0.339842528104782
246.6,0.35926827788353
246.7,0.375354319810867
246.8,0.388861775398254
246.9,0.372601628303528
247,0.376614183187485
247.1,0.393902450799942
247.2,0.407322824001312
247.3,0.401138216257095
247.4,0.417398363351822
247.5,0.433228343725204
247.6,0.407560974359512
247.7,0.375354319810867
247.8,0.391138225793839
247.9,0.407398372888565
248,0.403385818004608
248.1,0.404634147882462
248.2,0.407322824001312
248.3,0.398292690515518
248.4,0.373902440071106
248.5,0.336929142475128
248.6,0.319999992847443
248.7,0.325354337692261
248.8,0.338861793279648
248.9,0.322601616382599
249,0.306771665811539
249.1,0.295365840196609
249.2,0.284645676612854
249.3,0.270000010728836
249.4,0.270000010728836
249.5,0.25677165389061
249.6,0.231463417410851
249.7,0.204645663499832
249.8,0.188861787319183
249.9,0.172601625323296
250,0.170000001788139
250.1,0.170000001788139
250.2,0.170000001788139
250.3,0.169430896639824
250.4,0.161300808191299
250.5,0.159999996423721
250.6,0.16463415324688
250.7,0.170000001788139
250.8,0.17113821208477
250.9,0.187398374080658
251,0.196614176034927
251.1,0.204634144902229
251.2,0.209999993443489
251.3,0.210569098591805
251.4,0.218699187040329
251.5,0.22661417722702
251.6,0.230000004172325
251.7,0.240708664059639
251.8,0.268861800432205
251.9,0.252601623535156
252,0.256666660308838
252.1,0.269354850053787
252.2,0.277301579713821
252.3,0.271935492753983
252.4,0.296129018068314
252.5,0.286666661500931
252.6,0.298709690570831
252.7,0.325396835803986
252.8,0.341290324926376
252.9,0.357419341802597
253,0.379999995231628
253.1,0.385322570800781
253.2,0.374603182077408
253.3,0.359354823827744
253.4,0.351290315389633
253.5,0.323333323001862
