Time,ECEF_velocity_X
389.016,-23.27
389.155,-23.28
389.266,-23.42
389.405,-23.7
389.516,-23.56
389.655,-23.45
389.766,-23.38
389.905,-23.45
390.016,-23.43
390.155,-23.31
390.266,-23.33
390.405,-23.26
390.516,-23.11
390.655,-22.99
390.766,-22.79
390.904,-22.44
391.016,-21.99
391.154,-21.58
391.266,-20.93
391.404,-20.76
391.516,-20.23
391.654,-19.17
391.766,-17.45
391.904,-16.24
392.016,-15.06
392.154,-14.27
392.266,-13.19
392.404,-11.07
392.516,-9.61
392.654,-8.32
392.766,-7.07
392.904,-5.76
393.016,-3.8
393.154,-2.63
393.266,-2.02
393.404,-1.46
393.516,-1.3
393.654,-1.25
393.766,-1.17
393.904,-1.12
394.016,-1.1
394.154,-1.15
394.266,-0.9
394.404,-0.58
394.516,-0.08
394.654,0.52
394.766,1.2
394.904,1.98
395.016,3.12
395.154,4.17
395.266,5.16
395.404,6.2
395.516,7.33
395.654,8.35
395.766,9.43
395.904,10.6
396.016,11.72
396.154,12.7
396.266,13.43
396.404,14
396.516,14.56
396.654,15.06
396.766,15.48
396.904,15.57
397.016,15.93
397.154,15.83
397.266,15.71
397.404,15.36
397.516,15.03
397.654,14.34
397.766,13.69
397.904,12.73
398.016,11.98
398.154,10.7
398.266,9.18
398.404,8.04
398.516,6.57
398.654,5.15
398.766,4.04
398.904,2.78
399.016,0.93
399.154,-0.57
399.266,-1.95
399.404,-3.34
399.516,-4.78
399.654,-6.19
399.766,-7.17
399.904,-8.61
400.016,-9.77
400.154,-10.6
400.266,-11.13
400.404,-11.44
400.516,-11.34
400.654,-10.96
400.766,-10.37
400.904,-9.6
401.016,-8.43
401.154,-7.17
401.266,-5.74
401.404,-4.58
401.516,-2.98
401.653,-1.98
401.766,-0.51
401.903,0.89
402.016,2.62
402.153,3.95
402.266,5.4
402.403,6.89
402.516,8.5
402.653,10.12
402.766,11.58
402.903,12.94
403.016,13.77
403.153,14.66
403.266,15.32
403.403,15.75
403.516,16.46
403.653,16.81
403.766,17.14
403.903,17.54
404.016,17.91
404.153,18.29
404.266,18.33
404.403,18.61
404.516,18.88
404.653,19.19
404.766,19.35
404.903,19.61
405.016,19.62
405.153,19.9
405.266,19.95
405.403,20
405.516,20.06
405.653,20.13
405.766,20.31
405.903,20.52
406.016,20.81
406.153,20.67
406.266,20.06
406.403,19.44
406.516,18.65
406.653,18.41
406.766,18.22
406.903,17.9
407.016,17.56
407.153,17.19
407.266,16.55
407.403,16.16
407.516,15.25
407.653,14.37
407.766,13.43
407.903,12.36
408.016,10.93
408.153,9.52
408.266,8.27
408.403,7.34
408.516,5.73
408.653,3.94
408.766,2.07
408.903,-0.49
409.016,-2.35
409.153,-4.06
409.266,-5.8
409.403,-7.4
409.516,-8.54
409.653,-9.55
409.766,-10.57
409.903,-11.63
410.016,-12.49
410.153,-13.84
410.266,-14.5
410.403,-15.24
410.516,-15.82
410.653,-16.2
410.766,-16.66
410.903,-17
411.016,-17.3
411.153,-17.65
411.266,-17.89
411.403,-18.32
411.516,-18.7
411.653,-19.01
411.766,-19.37
411.903,-19.69
412.016,-19.81
412.152,-20.06
412.266,-20
412.402,-19.51
412.516,-19.11
412.652,-18.78
412.766,-18.08
412.902,-17.06
413.016,-16
413.152,-14.87
413.266,-13.87
413.402,-12.52
413.516,-11.28
413.652,-9.82
413.766,-7.84
413.902,-5.98
414.016,-4.69
414.152,-2.66
414.266,-1.71
414.402,0.15
414.516,1.96
414.652,3.1
414.766,4.6
414.902,5.82
415.016,7.12
415.152,8.04
415.266,8.96
415.402,10.11
415.516,10.87
415.652,11.84
415.766,12.6
415.902,13.21
416.016,13.78
416.152,14.35
416.266,15.15
416.402,15.91
416.516,16.85
416.652,16.98
416.766,16.77
416.902,16.39
417.016,16.16
417.152,15.83
417.266,15.75
417.402,15.52
417.516,14.83
417.652,14.52
417.766,14.34
417.902,13.72
418.016,13.17
418.152,12.83
418.266,12.5
418.402,12.14
418.516,11.52
418.652,10.18
418.766,9.28
418.902,8.14
419.016,6.78
419.152,5.42
419.266,3.79
419.402,1.97
419.516,0.55
419.652,-0.89
419.766,-2.31
419.902,-3.4
420.016,-4.6
420.152,-5.72
420.266,-7.04
420.402,-7.88
420.516,-8.82
420.652,-9.56
420.766,-10.18
420.902,-10.93
421.016,-11.53
421.152,-11.79
421.266,-11.95
421.402,-11.23
421.516,-10.44
421.652,-9.36
421.766,-8.26
421.902,-6.98
422.016,-5.63
422.152,-3.76
422.266,-2.3
422.402,-0.78
422.516,0.84
422.652,2.63
422.766,4.41
422.902,5.73
423.016,7.24
423.151,8.51
423.266,9.93
423.401,11.02
423.516,11.93
423.651,12.87
423.766,13.49
423.901,14.13
424.016,14.74
424.151,15.33
424.266,15.77
424.401,15.99
424.516,16.35
424.651,16.57
424.766,16.51
424.901,16.37
425.016,15.89
425.151,15.15
425.266,14.41
425.401,13.19
425.516,12.17
425.651,10.84
425.766,9.6
425.901,7.99
426.016,6.79
426.151,5.34
426.266,4.05
426.401,3.32
426.516,2.64
426.651,2.12
426.766,2.04
426.901,2.33
427.016,3.22
427.151,3.21
427.266,3.77
427.401,4.52
427.516,5.56
427.651,6.23
427.766,6.95
427.901,7.47
428.016,8.25
428.151,8.61
428.266,9.22
428.401,9.4
428.516,9.79
428.651,9.85
428.766,9.67
428.901,9.36
429.016,8.84
429.151,8.24
429.266,7.36
429.401,6.72
429.516,6.06
429.651,5.13
429.766,4.09
429.901,3.02
430.016,2.11
430.151,1.17
430.266,0.34
430.401,-0.59
430.516,-1.58
430.651,-2.3
430.766,-3.02
430.901,-3.56
431.016,-4.16
431.151,-4.46
431.266,-4.75
431.401,-4.89
431.516,-4.9
431.651,-4.75
431.766,-4.38
431.901,-3.67
432.016,-3.18
432.151,-2.26
432.266,-1.2
432.401,-0.34
432.516,0.77
432.651,1.96
432.766,3.04
432.901,4.32
433.016,6.03
433.151,7.28
433.266,8.66
433.401,9.45
433.516,10.24
433.65,10.47
433.766,10.1
433.9,9.3
434.016,8.06
434.15,6.85
434.266,5.35
434.4,3.7
434.516,2.13
434.65,0.14
434.766,-1.46
434.9,-3
435.016,-4.75
435.15,-6.72
435.266,-8.23
435.4,-9.64
435.516,-10.86
435.65,-12.1
435.766,-13.21
435.9,-14.18
436.016,-15.14
436.15,-16.14
436.266,-16.92
436.4,-17.6
436.516,-18.03
436.65,-18.67
436.766,-18.83
436.9,-19.15
437.016,-19.41
437.15,-19.71
437.266,-19.79
437.4,-20.11
437.516,-20.37
437.65,-20.54
437.766,-20.77
437.9,-20.91
438.016,-21.14
438.15,-21.18
438.266,-21.49
438.4,-21.69
438.516,-21.86
438.65,-22.1
438.766,-22.16
438.9,-22.47
439.016,-22.49
439.15,-22.73
439.266,-22.75
439.4,-22.9
