Time,Logger_Temperature
540.189,8.6953125
541.239,8.796875
542.289,8.796875
543.339,8.796875
544.389,8.796875
545.439,8.6953125
546.489,8.6953125
547.539,8.6953125
548.589,8.796875
549.639,8.796875
550.689,8.796875
551.739,8.6953125
552.789,8.796875
553.839,8.6953125
554.889,8.796875
555.939,8.796875
556.989,8.6953125
558.039,8.796875
559.089,8.796875
560.139,8.6953125
561.189,8.6953125
562.239,8.59375
563.289,8.6953125
564.339,8.6953125
565.389,8.6953125
566.439,8.6953125
567.489,8.6953125
568.539,8.6953125
569.589,8.5
570.639,8.59375
571.689,8.59375
572.739,8.6953125
573.789,8.59375
574.839,8.59375
575.889,8.6953125
576.939,8.6953125
577.989,8.59375
579.039,8.5
580.089,8.6953125
581.139,8.6953125
582.189,8.5
583.239,8.5
584.289,8.6953125
585.339,8.59375
586.389,8.59375
587.439,8.5
588.489,8.59375
589.539,8.5
590.589,8.5
591.639,8.5
592.689,8.5
593.739,8.5
594.789,8.5
595.839,8.5
596.889,8.59375
597.939,8.5
