Time,AccelerometerY
539.605,-0.046600341796875
539.615,-0.1068115234375
539.625,-0.10455322265625
539.635,-0.08233642578125
539.645,-0.06640625
539.655,-0.04595947265625
539.657,-0.0115585327148438
539.667,-0.0572509765625
539.677,-0.15283203125
539.687,-0.269775390625
539.697,-0.371337890625
539.707,-0.427978515625
539.717,-0.425048828125
539.727,-0.36328125
539.737,-0.265625
539.747,-0.1734619140625
539.757,-0.1083984375
539.767,-0.0545654296875
539.777,0.00524139404296875
539.787,0.052886962890625
539.797,0.051239013671875
539.807,-0.008819580078125
539.817,-0.0887451171875
539.827,-0.137939453125
539.837,-0.1400146484375
539.846,-0.07177734375
539.856,-0.03662109375
539.866,-0.035369873046875
539.876,-0.08929443359375
539.886,-0.1688232421875
539.896,-0.20556640625
539.906,-0.1654052734375
539.916,-0.0885009765625
539.926,-0.036651611328125
539.936,-0.0188446044921875
539.946,0.00571441650390625
539.956,0.06317138671875
539.966,0.12237548828125
539.976,0.12261962890625
539.986,0.04583740234375
539.996,-0.0474853515625
540.006,-0.07012939453125
540.016,-0.00324440002441406
540.026,0.0770263671875
540.035,0.08575439453125
540.045,0.02008056640625
540.055,-0.065185546875
540.065,-0.14306640625
540.075,-0.2283935546875
540.085,-0.31689453125
540.095,-0.358154296875
540.105,-0.31298828125
540.115,-0.22509765625
540.125,-0.1844482421875
540.135,-0.2255859375
540.145,-0.2900390625
540.155,-0.29541015625
540.165,-0.224365234375
540.175,-0.1368408203125
540.185,-0.10247802734375
540.195,-0.1412353515625
540.205,-0.224853515625
540.215,-0.30810546875
540.225,-0.349853515625
540.234,-0.31884765625
540.244,-0.2052001953125
540.254,-0.040802001953125
540.264,0.09649658203125
540.274,0.1419677734375
540.284,0.0985107421875
540.294,0.0125045776367188
540.304,-0.07098388671875
540.314,-0.1282958984375
540.324,-0.16748046875
540.334,-0.19873046875
540.344,-0.2022705078125
540.354,-0.167236328125
540.364,-0.121826171875
540.374,-0.10052490234375
540.384,-0.11474609375
540.394,-0.1448974609375
540.404,-0.1585693359375
540.414,-0.1485595703125
540.424,-0.141845703125
540.428,-0.362060546875
540.438,-0.283447265625
540.448,-0.26513671875
540.458,-0.324951171875
540.468,-0.405517578125
540.478,-0.4306640625
540.488,-0.3779296875
540.498,-0.29638671875
540.508,-0.2479248046875
540.518,-0.23681640625
540.528,-0.2291259765625
540.538,-0.23046875
540.548,-0.29150390625
540.558,-0.43359375
540.568,-0.6044921875
540.578,-0.72021484375
540.586,-0.7421875
540.596,-0.70361328125
540.606,-0.6474609375
540.616,-0.5849609375
540.626,-0.51318359375
540.636,-0.452392578125
540.646,-0.445068359375
540.656,-0.517578125
540.666,-0.6396484375
540.676,-0.74853515625
540.686,-0.806640625
540.696,-0.8154296875
540.706,-0.79443359375
540.716,-0.76806640625
540.726,-0.74365234375
540.736,-0.7080078125
540.746,-0.6611328125
540.756,-0.62548828125
540.766,-0.626953125
540.776,-0.6689453125
540.785,-0.736328125
540.795,-0.81787109375
540.805,-0.91455078125
