Time,N_Satellites
82.316,16
82.45,16
82.566,16
82.7,16
82.816,16
82.95,16
83.066,15
83.2,15
83.316,16
83.45,15
83.566,15
83.7,16
83.816,16
83.95,16
84.066,16
84.2,16
84.316,16
84.45,16
84.566,16
84.7,16
84.816,16
84.95,16
85.066,16
85.2,16
85.316,16
85.45,16
85.566,16
85.7,16
85.816,16
85.95,16
86.066,16
86.2,16
86.316,16
86.45,16
86.566,16
86.7,16
86.816,16
86.95,16
87.066,16
87.2,16
87.316,16
87.45,16
87.566,16
87.7,16
87.816,16
87.95,16
88.066,16
88.2,16
88.316,16
88.45,16
88.566,16
88.7,16
88.816,16
88.95,16
89.066,16
89.2,16
89.316,16
89.45,16
89.566,16
89.7,16
89.816,16
89.95,16
90.066,16
90.2,16
90.316,16
90.45,16
90.566,16
90.7,16
90.816,16
90.95,16
91.066,16
91.2,16
91.316,16
91.45,16
91.566,16
91.699,16
91.816,16
91.949,16
92.066,16
92.199,16
92.316,16
92.449,16
92.566,16
92.699,16
92.816,16
92.949,16
93.066,16
93.199,16
93.316,16
93.449,16
93.566,16
93.699,16
93.816,16
93.949,16
94.066,16
94.199,16
94.316,16
94.449,16
94.566,16
94.699,16
94.816,16
94.949,16
95.066,16
95.199,16
95.316,16
95.449,16
95.566,16
95.699,16
95.816,16
95.949,16
96.066,16
96.199,16
96.316,16
96.449,16
96.566,16
96.699,16
96.816,16
96.949,16
97.066,16
97.199,16
97.316,16
97.449,16
97.566,16
97.699,16
97.816,16
97.949,16
98.066,16
98.199,16
98.316,16
98.449,16
98.566,16
98.699,16
98.816,16
98.949,16
99.066,16
99.199,16
99.316,16
99.449,16
99.566,16
99.699,16
99.816,16
99.949,16
100.066,16
100.199,16
100.316,16
100.449,16
100.566,16
100.699,16
100.816,16
100.949,16
101.066,16
101.199,16
101.316,16
101.449,16
101.566,16
101.699,16
101.816,16
101.949,15
102.066,16
102.199,16
102.316,16
102.448,16
102.566,16
102.698,16
102.816,15
102.948,15
103.066,15
103.198,15
103.316,15
103.448,15
103.566,15
103.698,15
103.816,15
103.948,15
104.066,15
104.198,15
104.316,15
104.448,15
104.566,15
104.698,15
104.816,14
104.948,15
105.066,15
105.198,15
105.316,15
105.448,15
105.566,15
105.698,15
105.816,15
105.948,15
106.066,15
106.198,15
106.316,15
106.448,15
106.566,15
106.698,15
106.816,15
106.948,15
107.066,15
107.198,15
107.316,15
107.448,15
107.566,15
107.698,15
107.816,15
107.948,15
108.066,15
108.198,15
108.316,15
108.448,15
108.566,15
108.698,15
108.816,15
108.948,15
109.066,15
109.198,15
109.316,15
109.448,15
109.566,15
109.698,15
109.816,15
109.948,15
110.066,15
110.198,15
110.316,15
110.448,15
110.566,15
110.698,15
110.816,15
110.948,16
111.066,16
111.198,16
111.316,16
111.448,16
111.566,16
111.698,16
111.816,16
111.948,16
112.066,16
112.198,16
112.316,16
112.448,16
112.566,16
112.698,16
112.816,16
112.947,16
113.066,16
113.197,16
113.316,16
113.447,16
113.566,16
113.697,16
113.816,16
113.947,16
114.066,16
114.197,16
114.316,15
114.447,15
114.566,15
114.697,15
114.816,15
114.947,15
115.066,15
115.197,15
115.316,15
115.447,15
115.566,15
115.697,15
115.816,15
115.947,15
116.066,15
116.197,15
116.316,15
116.447,15
116.566,15
116.697,15
116.816,15
116.947,15
117.066,15
117.197,15
117.316,15
117.447,15
117.566,15
117.697,15
117.816,15
117.947,15
118.066,15
118.197,15
118.316,16
118.447,16
118.566,16
118.697,16
118.816,15
118.947,16
119.066,16
119.197,16
119.316,16
119.447,16
119.566,16
119.697,15
119.816,15
119.947,15
120.066,15
120.197,15
120.316,15
120.555,15
120.666,15
120.805,16
120.916,16
121.055,15
121.166,16
121.305,16
121.416,16
121.555,16
121.666,16
121.805,16
121.916,16
122.055,16
122.166,16
122.305,16
122.416,16
122.555,16
122.666,16
122.805,16
122.916,16
123.055,16
123.166,16
123.305,16
123.416,16
123.555,16
123.666,16
123.804,16
123.916,16
124.054,16
124.166,16
124.304,16
124.416,16
124.554,16
124.666,16
124.804,16
124.916,15
125.054,15
125.166,16
125.304,16
125.416,16
125.554,16
125.666,16
125.804,16
125.916,16
126.054,16
126.166,16
126.304,16
126.416,16
126.554,16
126.666,16
126.804,16
126.916,16
127.054,16
127.166,16
127.304,16
127.416,16
127.554,16
127.666,16
127.804,16
127.916,16
128.054,16
128.166,16
128.304,16
128.416,16
128.554,16
128.666,16
128.804,16
128.916,16
129.054,16
129.166,16
129.304,16
129.416,16
129.554,16
129.666,16
129.804,16
129.916,16
130.054,16
130.166,16
130.304,16
130.416,16
130.554,16
130.666,16
130.804,16
130.916,16
131.054,16
131.166,16
131.304,16
131.416,16
131.554,16
131.666,16
131.804,16
131.916,16
132.054,16
132.166,16
132.304,16
132.416,16
132.554,16
132.666,16
132.804,16
132.916,16
133.054,16
133.166,16
133.304,16
133.416,15
133.554,15
133.666,15
133.804,16
133.916,16
134.054,15
134.166,16
134.304,16
134.416,15
134.553,15
134.666,15
134.803,15
134.916,15
135.053,15
135.166,16
