Time,GPS_LatAcc
82.3,-0.0252940598875284
82.4,0.00447895145043731
82.5,0.034691084176302
82.6,0.0458548702299595
82.7,0.0314966887235641
82.8,-0.00880526378750801
82.9,-0.0318763107061386
83,-0.0244977511465549
83.1,0.0268935058265924
83.2,0.110984206199646
83.3,0.19688555598259
83.4,0.330461502075195
83.5,0.480449050664902
83.6,0.625047862529755
83.7,0.744956016540527
83.8,0.915034353733063
83.9,1.15599977970123
84,1.42897737026215
84.1,1.70665717124939
84.2,1.95753395557404
84.3,1.84282541275024
84.4,1.69213008880615
84.5,1.60815787315369
84.6,1.62162470817566
84.7,1.68141031265259
84.8,1.77219772338867
84.9,1.80869710445404
85,1.83677959442139
85.1,1.86531865596771
85.2,1.8910094499588
85.3,1.82813036441803
85.4,1.71778547763824
85.5,1.65058207511902
85.6,1.64790046215057
85.7,1.66917192935944
85.8,1.6165189743042
85.9,1.51131653785706
86,1.40827322006226
86.1,1.36378598213196
86.2,1.4093451499939
86.3,1.45419764518738
86.4,1.40805077552795
86.5,1.26486217975616
86.6,1.03861403465271
86.7,0.805861532688141
86.8,0.633955597877502
86.9,0.500197529792786
87,0.384294599294662
87.1,0.268707454204559
87.2,0.13317845761776
87.3,0.0665931850671768
87.4,0.0441042855381966
87.5,0.0538273006677628
87.6,0.0960904657840729
87.7,0.155295357108116
87.8,0.249418050050735
87.9,0.381215363740921
88,0.521130800247192
88.1,0.653992712497711
88.2,0.771333873271942
88.3,0.929588198661804
88.4,1.12212693691254
88.5,1.27711808681488
88.6,1.32289505004883
88.7,1.24223136901855
88.8,1.09310293197632
88.9,1.08423256874084
89,1.14407479763031
89.1,1.21723353862762
89.2,1.23471927642822
89.3,1.1507385969162
89.4,1.10918343067169
89.5,1.12365818023682
89.6,1.17476189136505
89.7,1.20389211177826
89.8,1.2092456817627
89.9,1.19806456565857
90,1.20224165916443
90.1,1.22992515563965
90.2,1.2673122882843
90.3,1.29747891426086
90.4,1.3606675863266
90.5,1.38954269886017
90.6,1.36777329444885
90.7,1.32651233673096
90.8,1.26479399204254
90.9,1.20071351528168
