Time,Logger_Temperature
339.639,9.296875
340.689,9.1953125
341.739,9.1953125
342.789,9.1953125
343.839,9.296875
344.889,9.1953125
345.939,9.1953125
346.989,9.1953125
348.039,9.296875
349.089,9.1953125
350.139,9.1953125
351.189,9.296875
352.239,9.1953125
353.289,9.1953125
354.339,9.1953125
355.389,9.1953125
356.439,9.1953125
357.489,9.1953125
358.539,9.09375
359.589,9.1953125
360.639,9.09375
361.689,9.1953125
362.739,9.09375
363.789,9.1953125
364.839,9.1953125
365.889,9.09375
366.939,9
367.989,9
369.039,9
370.089,9
371.139,9
372.189,9
373.239,9.09375
374.289,9
375.339,9
376.389,9.09375
377.439,9
378.489,9
379.539,9
380.589,9
381.639,9
382.689,9
383.739,9.09375
384.789,9
385.839,9
386.889,9
387.939,9.09375
