Time,ITOW
135.416,558681750
135.553,558681875
135.666,558682000
135.803,558682125
135.916,558682250
136.053,558682375
136.166,558682500
136.303,558682625
136.416,558682750
136.553,558682875
136.666,558683000
136.803,558683125
136.916,558683250
137.053,558683375
137.166,558683500
137.303,558683625
137.416,558683750
137.553,558683875
137.666,558684000
137.803,558684125
137.916,558684250
138.053,558684375
138.166,558684500
138.303,558684625
138.416,558684750
138.553,558684875
138.666,558685000
138.803,558685125
138.916,558685250
139.053,558685375
139.166,558685500
139.303,558685625
139.416,558685750
139.553,558685875
139.666,558686000
139.803,558686125
139.916,558686250
140.053,558686375
140.166,558686500
140.303,558686625
140.416,558686750
140.553,558686875
140.666,558687000
140.803,558687125
140.916,558687250
141.053,558687375
141.166,558687500
141.303,558687625
141.416,558687750
141.553,558687875
141.666,558688000
141.803,558688125
141.916,558688250
142.053,558688375
142.166,558688500
142.303,558688625
142.416,558688750
142.553,558688875
142.666,558689000
142.803,558689125
142.916,558689250
143.053,558689375
143.166,558689500
143.303,558689625
143.416,558689750
143.553,558689875
143.666,558690000
143.803,558690125
143.916,558690250
144.053,558690375
144.166,558690500
144.303,558690625
144.416,558690750
144.553,558690875
144.666,558691000
144.803,558691125
144.916,558691250
145.052,558691375
145.166,558691500
145.302,558691625
145.416,558691750
145.552,558691875
145.666,558692000
145.802,558692125
145.916,558692250
146.052,558692375
146.166,558692500
146.302,558692625
146.416,558692750
146.552,558692875
146.666,558693000
146.802,558693125
146.916,558693250
147.052,558693375
147.166,558693500
147.302,558693625
147.416,558693750
147.552,558693875
147.666,558694000
147.802,558694125
147.916,558694250
148.052,558694375
148.166,558694500
148.302,558694625
148.416,558694750
148.552,558694875
148.666,558695000
148.802,558695125
148.916,558695250
149.052,558695375
149.166,558695500
149.302,558695625
149.416,558695750
149.552,558695875
149.666,558696000
149.802,558696125
149.916,558696250
150.052,558696375
150.166,558696500
150.302,558696625
150.416,558696750
150.552,558696875
150.666,558697000
150.802,558697125
150.916,558697250
151.052,558697375
151.166,558697500
151.302,558697625
151.416,558697750
151.552,558697875
151.666,558698000
151.802,558698125
151.916,558698250
152.052,558698375
152.166,558698500
152.302,558698625
152.416,558698750
152.552,558698875
152.666,558699000
152.802,558699125
152.916,558699250
153.052,558699375
153.166,558699500
153.302,558699625
153.416,558699750
153.552,558699875
153.666,558700000
153.802,558700125
153.916,558700250
154.052,558700375
154.166,558700500
154.302,558700625
154.416,558700750
154.552,558700875
154.666,558701000
154.802,558701125
154.916,558701250
155.052,558701375
155.166,558701500
155.302,558701625
155.416,558701750
155.552,558701875
155.666,558702000
155.801,558702125
155.916,558702250
156.051,558702375
156.166,558702500
156.301,558702625
156.416,558702750
156.551,558702875
156.666,558703000
156.801,558703125
156.916,558703250
157.051,558703375
157.166,558703500
157.301,558703625
157.416,558703750
157.551,558703875
157.666,558704000
157.801,558704125
157.916,558704250
158.051,558704375
158.166,558704500
158.301,558704625
158.416,558704750
158.551,558704875
158.666,558705000
158.801,558705125
158.916,558705250
159.051,558705375
159.166,558705500
159.301,558705625
159.416,558705750
159.551,558705875
159.666,558706000
159.801,558706125
159.916,558706250
160.051,558706375
160.166,558706500
160.301,558706625
160.416,558706750
160.551,558706875
160.666,558707000
160.801,558707125
160.916,558707250
161.051,558707375
161.166,558707500
161.301,558707625
161.416,558707750
161.551,558707875
161.666,558708000
161.801,558708125
161.916,558708250
162.051,558708375
162.166,558708500
162.301,558708625
162.416,558708750
162.551,558708875
162.666,558709000
162.801,558709125
162.916,558709250
163.051,558709375
163.166,558709500
163.301,558709625
163.416,558709750
163.551,558709875
163.666,558710000
163.801,558710125
163.916,558710250
164.051,558710375
164.166,558710500
164.301,558710625
164.416,558710750
164.551,558710875
164.666,558711000
164.801,558711125
164.916,558711250
165.051,558711375
165.166,558711500
165.301,558711625
165.416,558711750
165.551,558711875
165.666,558712000
165.801,558712125
165.916,558712250
166.051,558712375
166.166,558712500
166.301,558712625
166.416,558712750
166.551,558712875
166.666,558713000
166.8,558713125
166.916,558713250
167.05,558713375
167.166,558713500
167.3,558713625
167.416,558713750
167.55,558713875
167.666,558714000
167.8,558714125
167.916,558714250
168.05,558714375
168.166,558714500
168.3,558714625
168.416,558714750
168.55,558714875
168.666,558715000
168.8,558715125
168.916,558715250
169.05,558715375
169.166,558715500
169.3,558715625
169.416,558715750
169.55,558715875
169.666,558716000
169.8,558716125
169.916,558716250
170.05,558716375
170.166,558716500
170.3,558716625
170.416,558716750
170.55,558716875
170.666,558717000
170.8,558717125
170.916,558717250
171.05,558717375
171.166,558717500
171.3,558717625
171.416,558717750
171.55,558717875
171.666,558718000
171.8,558718125
171.916,558718250
172.05,558718375
172.166,558718500
172.3,558718625
172.416,558718750
172.55,558718875
172.666,558719000
172.8,558719125
172.916,558719250
173.05,558719375
173.166,558719500
173.3,558719625
173.416,558719750
173.55,558719875
173.666,558720000
173.8,558720125
173.916,558720250
174.05,558720375
174.166,558720500
174.3,558720625
174.416,558720750
174.55,558720875
174.666,558721000
174.8,558721125
174.916,558721250
175.05,558721375
175.166,558721500
175.3,558721625
175.416,558721750
175.55,558721875
175.666,558722000
175.8,558722125
175.916,558722250
176.05,558722375
176.166,558722500
176.3,558722625
176.416,558722750
176.55,558722875
176.666,558723000
176.8,558723125
176.916,558723250
177.05,558723375
177.166,558723500
177.299,558723625
177.416,558723750
177.549,558723875
177.666,558724000
177.799,558724125
177.916,558724250
178.049,558724375
178.166,558724500
178.299,558724625
178.416,558724750
178.549,558724875
178.666,558725000
178.799,558725125
178.916,558725250
179.049,558725375
179.166,558725500
179.299,558725625
179.416,558725750
179.549,558725875
179.666,558726000
179.799,558726125
179.916,558726250
180.049,558726375
180.166,558726500
180.299,558726625
180.416,558726750
180.549,558726875
180.666,558727000
180.799,558727125
180.916,558727250
181.049,558727375
181.166,558727500
181.299,558727625
181.416,558727750
181.549,558727875
181.666,558728000
181.799,558728125
181.916,558728250
182.049,558728375
182.166,558728500
182.299,558728625
182.416,558728750
182.549,558728875
182.666,558729000
182.799,558729125
182.916,558729250
183.049,558729375
183.166,558729500
183.299,558729625
183.416,558729750
183.549,558729875
183.666,558730000
183.799,558730125
183.916,558730250
184.049,558730375
184.166,558730500
184.299,558730625
184.416,558730750
184.549,558730875
184.666,558731000
184.799,558731125
184.916,558731250
185.049,558731375
185.166,558731500
185.299,558731625
185.416,558731750
185.549,558731875
185.666,558732000
185.799,558732125
185.916,558732250
186.049,558732375
186.166,558732500
186.299,558732625
186.416,558732750
186.549,558732875
186.666,558733000
186.799,558733125
186.916,558733250
187.049,558733375
187.166,558733500
187.299,558733625
