Time,GPS_Latitude
238.5,45.046072075484
238.6,45.0461005887879
238.7,45.046129197323
238.8,45.0461568858042
238.9,45.046186554076
239,45.0462151120848
239.1,45.046243936963
239.2,45.0462727595921
239.3,45.0463009036354
239.4,45.0463299150021
239.5,45.0463578424306
239.6,45.0463862069734
239.7,45.046414390344
239.8,45.0464412971975
239.9,45.0464690933312
240,45.046494966249
240.1,45.0465207769681
240.2,45.0465461965577
240.3,45.0465704321981
240.4,45.0465952813704
240.5,45.0466181267855
240.6,45.0466407042482
240.7,45.0466625777205
240.8,45.0466828787018
240.9,45.0467026708182
241,45.0467204399675
241.1,45.0467370833867
241.2,45.0467522611062
241.3,45.0467656639591
241.4,45.0467782835501
241.5,45.0467897218503
241.6,45.0467997851045
241.7,45.0468081547171
241.8,45.0468148046854
241.9,45.0468199121908
242,45.0468232280014
242.1,45.0468256053012
242.2,45.0468269515258
242.3,45.0468270275395
242.4,45.0468251996841
242.5,45.0468218561186
242.6,45.0468179137468
242.7,45.0468134219498
242.8,45.0468082751479
242.9,45.0468025626082
243,45.0467961121398
243.1,45.0467895153051
243.2,45.0467829367336
243.3,45.0467763992466
243.4,45.0467698235853
243.5,45.0467629968939
243.6,45.0467557843442
243.7,45.0467483411972
243.8,45.0467409049916
243.9,45.0467329312779
244,45.0467248918925
244.1,45.0467162856293
244.2,45.0467071255794
244.3,45.0466976340563
244.4,45.0466872352326
244.5,45.046675954783
244.6,45.0466635219376
244.7,45.0466499308364
244.8,45.0466354112239
244.9,45.0466192736488
245,45.0466025812489
245.1,45.0465846869223
245.2,45.0465659359561
245.3,45.04654707919
245.4,45.0465275813936
245.5,45.046507782101
245.6,45.0464871661561
245.7,45.046466394494
245.8,45.0464463432664
245.9,45.0464251083229
246,45.0464043571941
246.1,45.0463833244878
246.2,45.0463622501958
246.3,45.0463416317392
246.4,45.046320870694
246.5,45.0463009564031
246.6,45.0462812350616
246.7,45.046262212418
246.8,45.0462444770233
246.9,45.0462264403099
247,45.0462099086076
247.1,45.0461939600391
247.2,45.0461787390849
247.3,45.0461645935746
247.4,45.0461517388869
247.5,45.0461392912568
247.6,45.0461284359569
247.7,45.0461201193892
247.8,45.0461145922681
247.9,45.0461101224247
248,45.0461065327443
248.1,45.046104469771
248.2,45.0461039456418
248.3,45.0461045955048
248.4,45.046107597235
248.5,45.0461115345581
248.6,45.046117420504
248.7,45.046124957801
248.8,45.046133256164
248.9,45.0461435220187
249,45.0461549587198
249.1,45.0461676319775
249.2,45.0461813280346
249.3,45.0461956909987
249.4,45.0462122553357
249.5,45.046229391543
249.6,45.0462474033279
249.7,45.0462660430515
249.8,45.0462848339155
249.9,45.046304353899
250,45.0463234221293
250.1,45.0463426539406
250.2,45.0463617342663
250.3,45.046380129656
250.4,45.0463981886606
250.5,45.0464149036433
250.6,45.0464306718702
250.7,45.0464452294723
250.8,45.0464583335797
250.9,45.0464699099288
251,45.0464800520075
251.1,45.0464891071977
251.2,45.046496990817
251.3,45.046503663162
251.4,45.046508626701
251.5,45.0465116208046
251.6,45.046513188435
251.7,45.0465131425735
251.8,45.046511398247
251.9,45.0465082459659
252,45.0465032858037
252.1,45.0464961986827
252.2,45.0464875464242
252.3,45.0464781038143
252.4,45.0464656952534
252.5,45.0464534641834
252.6,45.0464398058368
252.7,45.0464245049946
252.8,45.0464080004373
252.9,45.0463907005621
253,45.0463724363899
253.1,45.0463529126428
253.2,45.0463322949829
253.3,45.0463110043941
253.4,45.0462890028662
253.5,45.0462669291721
253.6,45.0462443667792
253.7,45.0462216392288
253.8,45.0461992150242
253.9,45.0461762884345
254,45.0461540118857
254.1,45.0461313955533
254.2,45.0461086301202
254.3,45.0460861753599
254.4,45.0460631275392
254.5,45.0460404947703
254.6,45.0460177974668
254.7,45.045995226424
254.8,45.0459730856118
254.9,45.0459507526525
255,45.0459289884592
255.1,45.0459072857046
255.2,45.045885693043
255.3,45.0458643384443
255.4,45.0458425057897
255.5,45.0458206893061
255.6,45.0457983312051
255.7,45.0457754503655
255.8,45.0457522399135
255.9,45.0457281030859
256,45.0457041505233
256.1,45.0456806253699
256.2,45.0456576693381
256.3,45.0456352912831
256.4,45.0456131969928
256.5,45.0455920003619
256.6,45.0455708836549
256.7,45.0455500088882
256.8,45.0455297463832
256.9,45.0455096519291
257,45.0454902437167
257.1,45.0454711873495
257.2,45.0454526292447
257.3,45.0454348135647
257.4,45.0454179874709
257.5,45.0454024413086
257.6,45.0453881257011
257.7,45.0453749875492
257.8,45.0453628436591
257.9,45.0453518000729
258,45.0453418901268
258.1,45.0453334897156
258.2,45.0453268177568
258.3,45.0453218783849
258.4,45.0453191901109
258.5,45.0453187516077
258.6,45.0453193912317
258.7,45.0453212194909
258.8,45.0453246036063
258.9,45.0453298465172
259,45.0453364506632
259.1,45.0453439593788
259.2,45.045352888921
259.3,45.0453636812821
259.4,45.045374609459
259.5,45.0453866534355
259.6,45.0454004303152
259.7,45.045415877251
259.8,45.0454324989433
259.9,45.0454499260456
260,45.0454677572365
260.1,45.0454865202126
260.2,45.045506032815
260.3,45.0455258764833
260.4,45.0455466114714
260.5,45.0455677528875
260.6,45.0455894244427
260.7,45.0456114531993
260.8,45.0456336014039
260.9,45.0456564676933
261,45.0456796411636
261.1,45.0457031537402
261.2,45.0457268382621
261.3,45.0457505065925
261.4,45.0457746862084
261.5,45.0457984920444
261.6,45.0458223583535
261.7,45.0458460845921
261.8,45.0458693209341
261.9,45.0458921788044
262,45.0459141896111
262.1,45.045935639122
262.2,45.0459563195824
262.3,45.045976062815
