Time,GPS_Heading
238.5,11.1788120269775
238.6,11.1730728149414
238.7,11.4128065109253
238.8,11.8057279586792
238.9,11.2619886398315
239,11.1069183349609
239.1,11.5270147323608
239.2,12.1773729324341
239.3,12.4627380371094
239.4,12.0018072128296
239.5,12.359320640564
239.6,12.9665699005127
239.7,13.7897329330444
239.8,14.8987140655518
239.9,16.1615734100342
240,16.8786239624023
240.1,19.3071269989014
240.2,23.0181980133057
240.3,26.4059410095215
240.4,29.1022243499756
240.5,31.8207530975342
240.6,34.8037223815918
240.7,37.8982276916504
240.8,40.827465057373
240.9,43.9932746887207
241,46.7535743713379
241.1,50.2198715209961
241.2,54.0636558532715
241.3,57.4287223815918
241.4,60.5696792602539
241.5,63.1109237670898
241.6,66.1139373779297
241.7,69.5011215209961
241.8,72.7896347045898
241.9,76.0656509399414
242,79.4323196411133
242.1,82.2761001586914
242.2,84.8205184936523
242.3,87.593017578125
242.4,90.607063293457
242.5,93.6230621337891
242.6,95.918830871582
242.7,97.6231079101562
242.8,99.196174621582
242.9,100.260643005371
243,101.504379272461
243.1,102.351417541504
243.2,102.810691833496
243.3,103.120414733887
243.4,103.061248779297
243.5,103.491394042969
243.6,104.025459289551
243.7,104.511009216309
243.8,104.894943237305
243.9,105.38842010498
244,105.907684326172
244.1,106.641372680664
244.2,107.580093383789
244.3,108.616249084473
244.4,109.735580444336
244.5,111.666702270508
244.6,113.819694519043
244.7,116.179000854492
244.8,118.839653015137
244.9,121.491233825684
245,124.030090332031
245.1,126.825698852539
245.2,129.797103881836
245.3,132.647094726562
245.4,134.763122558594
245.5,137.678009033203
245.6,141.200439453125
245.7,144.312042236328
245.8,146.079681396484
245.9,149.446670532227
246,153.338638305664
246.1,157.248519897461
246.2,161.082153320312
246.3,164.924118041992
246.4,169.247161865234
246.5,174.352188110352
246.6,12.4388790130615
246.7,-175.830764770508
246.8,-170.540191650391
246.9,-166.267791748047
247,-161.778015136719
247.1,-156.930465698242
247.2,-151.895050048828
247.3,-146.894485473633
247.4,-141.046966552734
247.5,-137.049942016602
247.6,-132.460891723633
247.7,-126.284164428711
247.8,-118.52417755127
247.9,-112.299743652344
248,-107.622673034668
248.1,-102.700744628906
248.2,-97.7403945922852
248.3,-93.4306182861328
248.4,-88.2567901611328
248.5,-84.252067565918
248.6,-79.4572219848633
248.7,-74.4183349609375
248.8,-70.3672103881836
248.9,-66.0282211303711
249,-61.7741851806641
249.1,-57.8890533447266
249.2,-54.6473655700684
249.3,-52.0575370788574
249.4,-48.3961181640625
249.5,-45.1811256408691
249.6,-42.7691917419434
249.7,-40.9063301086426
249.8,-39.1398658752441
249.9,-38.463191986084
250,-38.5377540588379
250.1,-39.1889038085938
250.2,-40.3256034851074
250.3,-41.830867767334
250.4,-44.1442413330078
250.5,-46.4323806762695
250.6,-49.2430076599121
250.7,-52.3160400390625
250.8,-55.1627464294434
250.9,-58.4937324523926
251,-61.3701667785645
251.1,-64.28466796875
251.2,-67.1551361083984
251.3,-69.8225021362305
251.4,-73.3519592285156
251.5,-77.40576171875
251.6,-81.6176452636719
251.7,-86.1754302978516
251.8,-91.2618179321289
251.9,-95.5822219848633
252,-100.467498779297
252.1,-106.18132019043
252.2,-111.695373535156
252.3,-116.005058288574
252.4,-122.578178405762
252.5,-125.708488464355
252.6,-129.5078125
252.7,-134.613830566406
252.8,-140.259368896484
252.9,-144.355026245117
253,-148.997207641602
253.1,-153.785903930664
253.2,-158.80451965332
253.3,-164.101043701172
253.4,-168.146820068359
253.5,-170.733520507812
253.6,-172.215240478516
253.7,-172.649917602539
253.8,-172.182525634766
253.9,-171.345809936523
254,-169.132049560547
254.1,-167.025588989258
254.2,-165.289627075195
254.3,-163.684494018555
254.4,-161.287673950195
254.5,-159.283508300781
254.6,-157.241348266602
254.7,-155.260757446289
254.8,-153.537628173828
254.9,-151.578079223633
255,-149.769287109375
255.1,-148.108184814453
255.2,-146.688171386719
255.3,-145.634628295898
255.4,-145.336868286133
255.5,-145.523635864258
255.6,-146.179840087891
255.7,-147.343185424805
255.8,-148.954498291016
255.9,-150.492584228516
256,-152.161849975586
256.1,-153.228820800781
256.2,-153.919708251953
256.3,-154.772674560547
256.4,-155.745101928711
256.5,-157.135925292969
256.6,-159.061111450195
256.7,-161.10920715332
256.8,-162.937713623047
256.9,-166.846878051758
257,-170.153427124023
257.1,-173.896575927734
257.2,-80.8159790039062
257.3,178.145034790039
257.4,174.369720458984
257.5,170.723495483398
257.6,164.940551757812
257.7,158.339340209961
257.8,153.113998413086
257.9,147.039291381836
258,141.049102783203
258.1,134.459213256836
258.2,127.323951721191
258.3,119.971221923828
258.4,112.337455749512
258.5,104.106002807617
258.6,97.1061401367188
258.7,91.0610809326172
258.8,84.9828796386719
258.9,78.9584426879883
259,73.0105209350586
259.1,67.7785949707031
259.2,62.4921035766602
259.3,56.3440589904785
259.4,52.8446388244629
259.5,49.0504341125488
259.6,44.5053024291992
259.7,39.3577499389648
259.8,34.1210670471191
259.9,30.0762767791748
260,26.5885620117188
260.1,22.9524517059326
260.2,19.3666191101074
260.3,16.2774848937988
260.4,13.6637163162231
260.5,10.9219455718994
260.6,8.93099403381348
260.7,7.70651721954346
260.8,6.92483520507812
260.9,6.65619850158691
261,6.9420804977417
261.1,7.25113344192505
261.2,7.7708945274353
261.3,8.83763408660889
261.4,10.1580266952515
261.5,11.6526756286621
261.6,13.8154621124268
261.7,16.5462589263916
261.8,19.4932441711426
261.9,22.5105056762695
262,25.2698364257812
262.1,28.1337814331055
262.2,31.0195083618164
262.3,33.6560478210449
262.4,35.4259414672852
262.5,39.3590888977051
262.6,42.6159172058105
262.7,45.9255218505859
262.8,50.9302673339844
262.9,56.5698623657227
263,61.5789566040039
263.1,66.3343811035156
263.2,71.2656707763672
263.3,76.6913833618164
263.4,81.8424224853516
263.5,86.9995803833008
263.6,91.3997497558594
263.7,95.7528915405273
263.8,100.879005432129
263.9,104.403205871582
264,108.567474365234
264.1,112.34984588623
264.2,115.922256469727
264.3,119.722457885742
264.4,123.074691772461
264.5,125.828468322754
264.6,128.994247436523
