Time,ECEF_position_X
278.415,4412969.59
278.54,4412970.46
278.665,4412971.15
278.79,4412971.69
278.915,4412972.16
279.04,4412972.37
279.165,4412972.48
279.29,4412972.35
279.415,4412972.09
279.54,4412971.63
279.665,4412971.04
279.79,4412970.32
279.915,4412969.55
280.04,4412968.78
280.165,4412968.02
280.29,4412967.28
280.415,4412966.58
280.54,4412965.94
280.665,4412965.36
280.79,4412964.95
280.915,4412964.56
281.04,4412964.36
281.165,4412964.33
281.29,4412964.51
281.415,4412964.78
281.516,4412965.28
281.665,4412965.95
281.79,4412966.75
281.915,4412967.71
282.04,4412968.72
282.165,4412969.87
282.29,4412971.16
282.415,4412972.56
282.54,4412973.86
282.665,4412974.99
282.79,4412975.99
282.915,4412976.75
283.04,4412977.46
283.165,4412977.93
283.29,4412978.2
283.415,4412978.22
283.54,4412978.06
283.665,4412977.62
283.79,4412976.98
283.915,4412976.15
284.039,4412975.13
284.164,4412973.93
284.266,4412972.48
284.414,4412970.86
284.539,4412969.1
284.664,4412967.33
284.789,4412965.41
284.914,4412963.36
285.039,4412961.22
285.164,4412958.92
285.289,4412956.57
285.414,4412954.19
285.539,4412951.75
285.664,4412949.24
285.789,4412946.78
285.914,4412944.33
286.039,4412941.88
286.164,4412939.41
286.289,4412936.93
286.414,4412934.35
286.539,4412931.74
286.664,4412929.09
286.789,4412926.44
286.914,4412923.79
287.016,4412921.09
287.164,4412918.38
287.289,4412915.64
287.414,4412912.89
287.539,4412910.1
287.664,4412907.31
287.789,4412904.49
287.914,4412901.62
288.039,4412898.76
288.164,4412895.84
