Time,ECEF_position_Y
282.79,950087.3
282.915,950084.17
283.04,950081.17
283.165,950078.16
283.29,950075.28
283.415,950072.41
283.54,950069.64
283.665,950066.92
283.79,950064.37
283.915,950061.95
284.039,950059.65
284.164,950057.5
284.266,950055.55
284.414,950053.77
284.539,950052.21
284.664,950050.88
284.789,950049.84
284.914,950049.02
285.039,950048.5
285.164,950048.21
285.289,950048.06
285.414,950048.16
285.539,950048.28
285.664,950048.51
285.789,950048.8
285.914,950049.09
286.039,950049.33
286.164,950049.6
286.289,950049.86
286.414,950050.09
286.539,950050.33
286.664,950050.56
286.789,950050.81
286.914,950051.08
287.016,950051.34
287.164,950051.6
287.289,950051.86
287.414,950052.1
287.539,950052.33
287.664,950052.52
287.789,950052.7
287.914,950052.88
288.039,950053.06
288.164,950053.23
