Time,GPS_Radius
0,10000
0.1,10000
0.2,10000
0.3,10000
0.4,10000
0.5,10000
0.6,10000
0.7,10000
0.8,10000
0.9,10000
1,10000
1.1,10000
1.2,10000
1.3,10000
1.4,10000
1.5,10000
1.6,10000
1.7,10000
1.8,10000
1.9,10000
2,10000
2.1,10000
2.2,10000
2.3,10000
2.4,10000
2.5,10000
2.6,10000
2.7,10000
2.8,10000
2.9,10000
3,10000
3.1,10000
3.2,10000
3.3,10000
3.4,10000
3.5,10000
3.6,10000
3.7,10000
3.8,10000
3.9,10000
4,10000
4.1,10000
4.2,10000
4.3,10000
4.4,10000
4.5,10000
4.6,10000
4.7,10000
4.8,188.326934814453
4.9,77.7147521972656
5,200.14729309082
5.1,21.075834274292
5.2,18.83180809021
5.3,30.1170539855957
5.4,61.0003700256348
5.5,315.638275146484
5.6,340.427581787109
5.7,366.025421142578
5.8,65.3620986938477
5.9,68.7887802124023
6,92.44580078125
6.1,105.620635986328
6.2,74.6643218994141
6.3,43.1931419372559
6.4,29.364803314209
6.5,27.2213344573975
6.6,35.3154983520508
6.7,51.6904144287109
6.8,537.781433105469
6.9,191.951751708984
7,4912.029296875
7.1,55.7916793823242
7.2,32.124942779541
7.3,24.8712520599365
7.4,24.5466384887695
7.5,22.5842628479004
7.6,17.5245685577393
7.7,14.3440246582031
7.8,18.2086791992188
7.9,27.0501689910889
8,34.0212287902832
8.1,29.4604263305664
8.2,28.07200050354
8.3,37.2699966430664
8.4,66.5035629272461
8.5,74.0609664916992
8.6,27.1130046844482
8.7,12.3773584365845
8.8,10.9764204025269
8.9,11.4317932128906
9,13.3869943618774
9.1,16.3049774169922
9.2,14.3050699234009
9.3,14.4078559875488
9.4,12.3105974197388
9.5,9.39127922058105
9.6,6.77489566802979
9.7,5.02191543579102
9.8,4.37487125396729
9.9,4.90354776382446
10,5.94888162612915
10.1,7.0003514289856
10.2,7.06758260726929
10.3,7.00093269348145
10.4,7.66359186172485
10.5,9.9807767868042
10.6,17.4837894439697
10.7,77.6706848144531
10.8,275.326568603516
10.9,136.246627807617
11,259.552276611328
11.1,546.047302246094
11.2,181.538330078125
11.3,258.191375732422
11.4,52.0362548828125
11.5,27.8837566375732
11.6,22.1633682250977
11.7,24.7723331451416
11.8,1617.59008789062
11.9,39.0922546386719
12,30.5101280212402
12.1,51.3271484375
12.2,234.062881469727
12.3,413.135437011719
12.4,64.7534484863281
12.5,37.5544853210449
12.6,45.5255088806152
12.7,95.1057586669922
12.8,135.543319702148
12.9,54.0670318603516
13,43.0067939758301
13.1,55.9830474853516
13.2,175.496475219727
13.3,107.918060302734
13.4,69.4779052734375
13.5,75.9061737060547
13.6,130.764511108398
13.7,187.701141357422
13.8,199.160247802734
13.9,2363.46899414062
14,134.382125854492
14.1,79.4020919799805
14.2,80.220329284668
14.3,141.287902832031
14.4,379.674224853516
14.5,1038.06372070312
14.6,196.378570556641
14.7,87.413948059082
14.8,57.5154571533203
14.9,42.9557342529297
15,40.773021697998
15.1,66.8873825073242
15.2,342.736022949219
15.3,53.5655822753906
15.4,49.9913711547852
15.5,68.7678756713867
15.6,77.4368591308594
15.7,35.4838371276855
15.8,26.5154151916504
15.9,26.3719673156738
16,32.5320358276367
16.1,64.3099517822266
16.2,1206.94201660156
16.3,147.795471191406
16.4,55.7248840332031
16.5,40.4850769042969
16.6,45.0381813049316
16.7,65.8321380615234
16.8,88.8543930053711
16.9,82.5583648681641
17,65.6225814819336
17.1,58.0310134887695
17.2,71.4948272705078
17.3,140.288009643555
17.4,733.275817871094
17.5,381.070251464844
17.6,296.5380859375
17.7,686.353149414062
17.8,586.150024414062
17.9,285.621185302734
18,326.647430419922
18.1,1877.744140625
18.2,798.390808105469
18.3,1817.10034179688
18.4,1865.39721679688
18.5,1567.26550292969
18.6,2349.93383789062
18.7,3496.22192382812
18.8,882.947265625
18.9,876.451843261719
19,829.396118164062
19.1,847.755004882812
19.2,2278.95922851562
19.3,449.844573974609
19.4,232.524475097656
19.5,190.445205688477
19.6,231.250076293945
19.7,454.570129394531
19.8,3540.13891601562
19.9,652.280456542969
20,368.422882080078
20.1,242.614212036133
20.2,178.294143676758
20.3,244.342758178711
20.4,518.856262207031
20.5,10000
20.6,969.035095214844
20.7,1220.84997558594
20.8,10000
20.9,1832.74365234375
21,789.303527832031
21.1,575.952026367188
21.2,481.543365478516
21.3,1397.49182128906
21.4,5181.32958984375
21.5,1233.98059082031
21.6,897.097839355469
21.7,797.497924804688
21.8,1281.05920410156
21.9,1291.38610839844
22,1894.63403320312
22.1,4811.4775390625
22.2,1709.04711914062
22.3,1091.185546875
22.4,3109.40502929688
22.5,1963.91821289062
22.6,1125.32897949219
22.7,4418.474609375
22.8,3083.51953125
22.9,2603.43359375
23,4107.6064453125
23.1,699.771301269531
23.2,454.650207519531
23.3,2923.59521484375
23.4,780.448059082031
23.5,1162.63916015625
23.6,311.801025390625
23.7,105.494201660156
23.8,68.0447616577148
23.9,51.8257865905762
24,40.4452896118164
24.1,30.2185459136963
24.2,22.2942161560059
24.3,18.552547454834
24.4,17.2108745574951
24.5,17.0617198944092
24.6,18.0520305633545
24.7,19.2719955444336
24.8,18.3240756988525
24.9,16.6538887023926
25,15.6232128143311
25.1,15.7577600479126
25.2,16.9257106781006
25.3,18.9599647521973
25.4,21.3726749420166
25.5,23.8166809082031
25.6,26.3316173553467
25.7,30.3825798034668
25.8,31.2232894897461
25.9,32.0105934143066
26,33.2968482971191
26.1,35.651969909668
26.2,39.0787544250488
26.3,47.5393447875977
26.4,55.8314094543457
26.5,65.453254699707
26.6,80.6829605102539
26.7,114.895980834961
26.8,232.539276123047
26.9,926.72705078125
27,981.4873046875
27.1,452.267822265625
27.2,273.638763427734
27.3,190.094467163086
27.4,312.423858642578
27.5,3548.013671875
27.6,203.078308105469
27.7,99.3346252441406
27.8,84.7151260375977
27.9,78.9582672119141
28,71.0338363647461
28.1,65.5151443481445
28.2,69.0088043212891
28.3,75.3674163818359
28.4,96.5670928955078
28.5,154.769058227539
28.6,702.412475585938
28.7,245.720962524414
28.8,118.328308105469
28.9,113.400756835938
29,167.87776184082
29.1,2407.97998046875
29.2,218.935836791992
29.3,165.99885559082
29.4,184.182205200195
29.5,238.541809082031
29.6,331.275421142578
29.7,375.065277099609
29.8,435.245727539062
29.9,504.113342285156
30,525.780151367188
30.1,446.878295898438
30.2,350.601684570312
30.3,281.484191894531
30.4,245.495391845703
30.5,233.955322265625
30.6,246.450988769531
30.7,268.965789794922
30.8,291.315673828125
30.9,318.073547363281
31,342.031585693359
31.1,339.045684814453
31.2,304.33642578125
31.3,213.108840942383
31.4,137.286804199219
31.5,99.9682693481445
31.6,80.8457183837891
31.7,70.0908584594727
31.8,66.6672668457031
31.9,62.9202003479004
32,59.9742774963379
32.1,58.4286270141602
32.2,57.8949851989746
32.3,55.4280471801758
32.4,52.3559379577637
32.5,49.7935676574707
32.6,48.4238357543945
32.7,48.274299621582
32.8,48.1026000976562
32.9,47.4439125061035
33,46.6756134033203
33.1,45.9825325012207
33.2,45.4848670959473
33.3,44.406566619873
33.4,41.2519493103027
33.5,37.4305114746094
33.6,33.3622245788574
33.7,29.8421840667725
33.8,28.0894584655762
