Time,ECEF_velocity_Z
187.549,22.18
187.666,22.46
187.799,22.28
187.916,22.49
188.048,22.52
188.166,22.44
188.298,22.14
188.416,21.67
188.548,21.34
188.666,20.98
188.798,20.54
188.916,19.95
189.048,19.38
189.173,18.67
189.298,17.91
189.416,17.41
189.548,16.95
189.666,16.37
189.798,15.99
189.916,15.21
190.048,14.37
190.166,13.73
190.298,12.91
190.416,11.97
190.548,10.46
190.666,9.67
190.798,8.26
190.916,7.28
191.048,6.38
191.166,5.21
191.298,3.88
191.416,2.05
191.548,1.22
191.666,0.16
191.798,-0.69
191.916,-1.31
192.048,-1.94
192.166,-2.41
192.298,-2.83
192.416,-3.18
192.548,-3.52
192.666,-3.72
192.798,-4.02
192.916,-4.18
193.048,-4.41
193.166,-4.65
193.298,-4.91
193.416,-5.49
193.548,-5.96
193.666,-6.61
193.798,-7.16
193.916,-7.75
194.048,-8.53
194.166,-9.42
194.298,-10.4
194.416,-11.44
194.548,-12.29
194.666,-13.53
194.798,-14.18
194.916,-14.58
195.048,-15.17
195.166,-15.49
195.298,-15.71
195.416,-15.88
195.548,-16.27
195.666,-16.25
195.798,-16.1
195.916,-16.16
196.048,-15.68
196.166,-15.81
196.298,-15.47
196.416,-14.97
196.548,-13.93
196.666,-13.09
196.798,-11.76
196.916,-10.83
197.048,-9.88
197.166,-8.88
197.298,-7.13
197.416,-5.58
197.548,-4.32
197.666,-2.87
197.798,-1.2
197.916,0.4
198.048,2.16
198.166,3.59
198.298,5.27
198.416,6.68
198.547,7.87
198.666,9.3
198.797,10.33
198.916,11.15
199.047,12.24
199.166,13.17
199.297,14
199.416,14.63
199.547,15.12
199.666,15.3
199.797,15.23
199.916,14.88
200.047,14.28
200.166,13.47
200.297,12.19
200.416,10.86
200.547,9.73
200.666,7.84
200.797,6.96
200.916,5.23
201.047,3.83
201.166,2.08
201.297,0.38
201.416,-1.38
201.547,-2.73
201.666,-4.01
201.797,-5.19
201.916,-6.56
202.047,-7.86
202.166,-9.16
202.297,-10.7
202.416,-11.69
202.547,-12.77
202.666,-13.88
202.797,-15.16
202.916,-16.15
203.047,-17.05
203.166,-17.6
203.297,-17.82
203.416,-17.96
203.547,-18.07
203.666,-18.31
203.797,-18.61
203.916,-18.6
204.047,-18.36
204.166,-18.07
204.297,-17.72
204.416,-17.54
204.547,-17.32
204.666,-16.99
204.797,-16.97
204.916,-17.07
205.047,-17.43
205.166,-17.91
205.297,-18.31
205.416,-18.41
205.547,-17.99
205.666,-17.44
205.797,-16.85
205.916,-16.28
206.047,-16.05
206.166,-15.82
206.297,-15.61
206.416,-15.29
206.547,-14.97
206.666,-14.47
206.797,-13.95
206.916,-13.31
207.047,-12.53
207.166,-11.76
207.297,-10.99
207.416,-10.2
207.547,-9.1
207.666,-7.78
207.797,-6.38
207.916,-5.6
208.047,-4.21
208.166,-2.55
208.297,-1.05
208.416,0.58
208.547,2.25
208.666,3.79
208.797,5.13
208.916,6.31
209.047,7.48
209.166,8.84
209.296,9.97
209.416,11.39
209.546,12.33
209.666,13.26
209.796,14.05
209.916,14.9
210.046,15.49
210.166,16.22
210.296,16.71
210.416,17.29
210.546,17.61
210.666,18
210.796,18.29
210.916,18.61
211.046,18.84
211.166,18.99
211.296,18.58
211.416,18.16
211.546,17.64
211.666,16.93
211.796,16.15
211.916,15.26
212.046,14.1
212.166,12.96
212.296,11.48
212.416,10.34
212.546,9.4
212.666,7.83
212.796,6.73
212.916,5.48
213.046,3.76
213.166,2.78
213.296,1.19
213.416,-0.14
213.546,-1.44
213.666,-3.2
213.796,-4.64
213.916,-5.79
214.046,-7.18
214.166,-8.37
214.296,-9.83
214.416,-10.99
214.546,-12.01
214.666,-12.82
214.796,-13.64
214.916,-14.54
215.046,-15.35
215.166,-16.06
215.296,-16.58
215.416,-16.9
215.546,-17.3
215.666,-17.68
215.796,-17.96
215.916,-17.45
216.046,-16.92
216.166,-16.46
216.296,-16.04
216.416,-15.64
216.546,-15.47
216.666,-15.17
216.796,-14.98
216.916,-14.83
217.046,-14.36
217.166,-13.89
217.296,-13.38
217.416,-12.76
217.546,-11.88
217.666,-11.41
217.796,-10.67
217.916,-9.63
218.046,-8.21
218.166,-7.05
218.296,-6.03
218.416,-4.95
218.546,-3.23
218.666,-1.89
218.796,-0.78
218.916,0.87
219.046,3.1
219.166,5.09
219.296,6.42
219.416,7.54
219.546,8.64
219.666,9.81
219.796,10.84
219.916,11.73
220.045,12.63
220.166,13.4
220.295,13.96
220.416,14.28
220.545,13.79
220.666,12.91
220.795,12.16
220.916,11.02
221.045,9.93
221.166,8.49
221.295,7.45
221.416,5.92
221.545,4.54
221.666,2.92
221.795,1.23
221.916,-0.55
222.045,-2.1
222.166,-3.62
222.295,-5.37
222.416,-6.65
222.545,-7.84
222.666,-9.25
222.795,-10.17
222.916,-11.15
223.045,-11.92
223.166,-12.6
223.295,-13.22
223.416,-13.89
223.545,-14.4
223.666,-14.95
223.795,-15.49
223.916,-15.86
224.045,-16.2
224.166,-16.37
224.295,-16.52
224.416,-16.47
224.545,-16.07
224.666,-15.4
224.795,-14.63
224.916,-13.75
225.045,-12.24
225.166,-11.78
225.295,-9.92
225.416,-9.21
225.545,-7.63
225.666,-6.64
225.795,-5.69
225.916,-5.17
226.045,-4.84
226.166,-5.03
226.295,-5.76
226.416,-6.2
226.545,-7.16
226.666,-7.9
226.795,-8.39
226.916,-9.02
227.045,-9.63
227.166,-10
227.295,-10.36
227.416,-10.47
227.545,-10.75
227.666,-10.7
227.795,-10.53
227.916,-10.11
228.045,-9.25
228.166,-8.68
228.295,-7.74
228.416,-6.61
228.545,-5.07
228.666,-4.11
228.795,-2.93
228.916,-1.64
229.045,-0.34
229.166,0.99
229.295,2.11
229.416,3.63
229.545,4.73
229.666,5.96
229.795,7.07
229.916,8.12
230.045,9.02
230.166,9.86
230.295,10.32
230.416,10.69
230.545,10.8
230.666,10.61
230.794,10.24
230.916,9.5
231.044,9.01
231.166,7.91
231.294,6.77
231.416,5.55
231.544,4.45
231.666,2.88
231.794,1.56
231.916,0.03
232.044,-1.32
232.166,-1.97
232.294,-2.93
232.416,-3.78
232.544,-4.37
232.666,-4.74
232.794,-4.45
232.916,-3.58
233.044,-2.3
233.166,-0.77
233.294,0.3
233.416,2.06
233.544,3.82
233.666,5.19
233.794,6.87
233.916,7.8
234.044,9.14
234.166,10.55
234.294,11.67
234.416,12.68
234.544,13.48
234.666,14.88
234.794,15.45
234.916,16.19
235.044,16.72
235.166,17.34
235.294,17.64
235.416,17.85
235.544,17.93
235.666,18.14
235.794,18.3
235.916,18.5
236.044,18.62
236.166,18.95
236.294,19.22
236.416,19.34
236.544,19.67
236.666,19.86
236.794,20.08
236.916,20.25
237.044,20.39
237.166,20.59
237.294,20.68
237.416,20.93
237.544,21.03
237.666,21.3
237.794,21.34
237.916,21.48
238.044,21.63
238.166,21.77
238.294,21.94
