Time,ECEF_velocity_Y
187.549,1.59
187.666,1.48
187.799,1.98
187.916,1.81
188.048,1.75
188.166,2.05
188.298,2.36
188.416,2.77
188.548,3.17
188.666,3.87
188.798,4.79
188.916,5.61
189.048,6
189.173,6.54
189.298,6.79
189.416,6.88
189.548,7.36
189.666,8.76
189.798,9.83
189.916,11.62
190.048,13.11
190.166,14.51
190.298,16.11
190.416,17.95
190.548,19.53
190.666,20.41
190.798,22.16
190.916,22.96
191.048,23.85
191.166,24.74
191.298,25.8
191.416,26.97
191.548,27.29
191.666,27.81
191.798,28.23
191.916,28.47
192.048,28.82
192.166,29.05
192.298,29.31
192.416,29.51
192.548,29.76
192.666,29.96
192.798,30.2
192.916,30.37
193.048,30.56
193.166,30.8
193.298,30.84
193.416,31.04
193.548,31.16
193.666,31.19
193.798,31.15
193.916,31.24
194.048,30.89
194.166,30.65
194.298,30.18
194.416,29.5
194.548,28.57
194.666,27.41
194.798,25.85
194.916,24.29
195.048,22.66
195.166,20.6
195.298,19.08
195.416,16.9
195.548,14.43
195.666,12.18
195.798,10.39
195.916,7.74
196.048,5.98
196.166,3.62
196.298,1.14
196.416,-0.64
196.548,-3.67
196.666,-5.83
196.798,-8.5
196.916,-10.44
197.048,-12.54
197.166,-14.2
197.298,-16.15
197.416,-17.85
197.548,-19.19
197.666,-20.27
197.798,-21.33
197.916,-21.81
198.048,-22.54
198.166,-22.8
198.298,-23.24
198.416,-23.19
198.547,-23.24
198.666,-23.14
198.797,-22.71
198.916,-22.29
199.047,-21.79
199.166,-21.23
199.297,-20.73
199.416,-20.44
199.547,-20.38
199.666,-20.59
199.797,-21.18
199.916,-22.02
200.047,-23.03
200.166,-23.93
200.297,-24.73
200.416,-24.76
200.547,-24.71
200.666,-24.5
200.797,-24.38
200.916,-23.81
201.047,-23.32
201.166,-22.36
201.297,-21.91
201.416,-20.87
201.547,-19.78
201.666,-18.54
201.797,-17.29
201.916,-16.19
202.047,-14.91
202.166,-13.16
202.297,-11.33
202.416,-9.95
202.547,-7.77
202.666,-5.94
202.797,-3.45
202.916,-1.59
203.047,-0.41
203.166,0.32
203.297,0.13
203.416,0.23
203.547,-0.2
203.666,-0.81
203.797,-1.75
203.916,-2.17
204.047,-4.15
204.166,-5.9
204.297,-7.72
204.416,-8.97
204.547,-10.15
204.666,-11.45
204.797,-12.17
204.916,-12.45
205.047,-12.18
205.166,-11.42
205.297,-10.74
205.416,-10.17
205.547,-9.49
205.666,-8.96
205.797,-8.28
205.916,-7.46
206.047,-6.55
206.166,-5.29
206.297,-4.09
206.416,-2.6
206.547,-1.5
206.666,0.11
206.797,1.44
206.916,2.93
207.047,4.49
207.166,5.77
207.297,7.09
207.416,8.76
207.547,10.02
207.666,11.8
207.797,12.98
207.916,13.98
208.047,15.03
208.166,15.56
208.297,15.55
208.416,15.48
208.547,15.28
208.666,14.62
208.797,13.95
208.916,13.24
209.047,12.3
209.166,11.23
209.296,10.2
209.416,9.11
209.546,7.83
209.666,6.75
209.796,5.23
209.916,4.07
210.046,3.04
210.166,1.61
210.296,0.44
210.416,-0.37
210.546,-0.79
210.666,-0.96
210.796,-1.15
210.916,-0.88
211.046,-0.2
211.166,0.95
211.296,1.98
211.416,3.59
211.546,4.61
211.666,5.74
211.796,7.14
211.916,8.31
212.046,9.42
212.166,10.65
212.296,12.42
212.416,13.95
212.546,15.2
212.666,16.99
212.796,18
212.916,19.1
213.046,20.42
213.166,21.22
213.296,22.42
213.416,22.78
213.546,23.3
213.666,23.78
213.796,23.8
213.916,23.87
214.046,23.92
214.166,23.82
214.296,23.21
214.416,22.96
214.546,22.56
214.666,22.07
214.796,21.63
214.916,20.95
215.046,20.5
215.166,19.61
215.296,19.31
215.416,19.24
215.546,18.99
215.666,18.67
215.796,18.43
215.916,17.63
216.046,17.03
216.166,15.99
216.296,14.69
216.416,13.52
216.546,12.25
216.666,11.09
216.796,9.51
216.916,7.79
217.046,6.05
217.166,4.13
217.296,2.53
217.416,0.18
217.546,-1.59
217.666,-2.9
217.796,-4.47
217.916,-6.58
218.046,-8.61
218.166,-9.58
218.296,-11.34
218.416,-12.47
218.546,-14.04
218.666,-14.72
218.796,-15.1
218.916,-15.5
219.046,-15.8
219.166,-15.69
219.296,-15.25
219.416,-14.83
219.546,-14.11
219.666,-13.29
219.796,-12.19
219.916,-11.33
220.045,-10.21
220.166,-8.97
220.295,-8.86
220.416,-9.44
220.545,-9.88
220.666,-10.74
220.795,-11.3
220.916,-12.23
221.045,-13.05
221.166,-13.59
221.295,-13.87
221.416,-13.99
221.545,-14.28
221.666,-14.56
221.795,-14.97
221.916,-15.05
222.045,-14.75
222.166,-14.39
222.295,-13.03
222.416,-12.22
222.545,-10.99
222.666,-9.47
222.795,-8.32
222.916,-7.15
223.045,-6.22
223.166,-5.45
223.295,-4.73
223.416,-3.87
223.545,-3.08
223.666,-1.83
223.795,-0.81
223.916,0.9
224.045,2.9
224.166,5.02
224.295,7.1
224.416,9.23
224.545,11.34
224.666,13.26
224.795,15.24
224.916,17.16
225.045,19.02
225.166,20.23
225.295,21.87
225.416,22.49
225.545,23.33
225.666,24.33
225.795,25
225.916,24.88
226.045,24.05
226.166,23.19
226.295,22.05
226.416,20.88
226.545,19.55
226.666,17.97
226.795,16.54
226.916,14.59
227.045,11.94
227.166,9.76
227.295,7.62
227.416,5.43
227.545,3.23
227.666,0.69
227.795,-1.85
227.916,-4.02
228.045,-6.61
228.166,-8.44
228.295,-10.44
228.416,-12.16
228.545,-14.36
228.666,-15.27
228.795,-16.46
228.916,-17.49
229.045,-18.36
229.166,-19.04
229.295,-19.56
229.416,-20.04
229.545,-20.21
229.666,-20.49
229.795,-20.5
229.916,-20.52
230.045,-20.58
230.166,-20.63
230.295,-21.03
230.416,-21.41
230.545,-22.04
230.666,-22.62
230.794,-23.34
230.916,-24.01
231.044,-24.71
231.166,-25.36
231.294,-25.94
231.416,-26.35
231.544,-26.53
231.666,-26.62
231.794,-26.51
231.916,-26.38
232.044,-25.72
232.166,-25.72
232.294,-25.48
232.416,-25.31
232.544,-25.51
232.666,-25.49
232.794,-25.23
232.916,-25.07
233.044,-24.71
233.166,-24.8
233.294,-24.08
233.416,-23.72
233.544,-23.47
233.666,-23.18
233.794,-22.36
233.916,-21.86
234.044,-20.61
234.166,-19.42
234.294,-18.15
234.416,-16.59
234.544,-15.31
234.666,-13.46
234.794,-12.11
234.916,-9.99
235.044,-8.05
235.166,-5.97
235.294,-3.97
235.416,-2.19
235.544,-1.03
235.666,0.35
235.794,1.17
235.916,1.75
236.044,1.79
236.166,1.96
236.294,2.06
236.416,2.08
236.544,2.03
236.666,1.93
236.794,1.98
236.916,1.95
237.044,1.97
237.166,1.97
237.294,2.05
237.416,1.95
237.544,2
237.666,1.96
237.794,1.85
237.916,1.9
238.044,1.69
238.166,1.61
238.294,1.52
