Time,N_Satellites
187.549,16
187.666,16
187.799,15
187.916,15
188.048,15
188.166,16
188.298,16
188.416,16
188.548,15
188.666,16
188.798,15
188.916,15
189.048,16
189.173,14
189.298,15
189.416,16
189.548,15
189.666,15
189.798,15
189.916,15
190.048,15
190.166,15
190.298,15
190.416,15
190.548,15
190.666,15
190.798,15
190.916,15
191.048,15
191.166,15
191.298,15
191.416,15
191.548,15
191.666,15
191.798,15
191.916,15
192.048,15
192.166,15
192.298,15
192.416,15
192.548,15
192.666,15
192.798,15
192.916,15
193.048,15
193.166,15
193.298,15
193.416,15
193.548,15
193.666,15
193.798,15
193.916,15
194.048,15
194.166,15
194.298,15
194.416,15
194.548,15
194.666,15
194.798,15
194.916,15
195.048,15
195.166,15
195.298,15
195.416,15
195.548,15
195.666,15
195.798,15
195.916,15
196.048,15
196.166,15
196.298,15
196.416,15
196.548,15
196.666,15
196.798,15
196.916,15
197.048,15
197.166,15
197.298,14
197.416,14
197.548,14
197.666,14
197.798,15
197.916,15
198.048,15
198.166,15
198.298,15
198.416,15
198.547,15
198.666,15
198.797,15
198.916,15
199.047,15
199.166,15
199.297,15
199.416,15
199.547,15
199.666,15
199.797,15
199.916,15
200.047,15
200.166,15
200.297,15
200.416,15
200.547,15
200.666,15
200.797,15
200.916,15
201.047,15
201.166,15
201.297,15
201.416,15
201.547,15
201.666,15
201.797,15
201.916,15
202.047,15
202.166,15
202.297,15
202.416,15
202.547,15
202.666,15
202.797,15
202.916,15
203.047,15
203.166,15
203.297,15
203.416,15
203.547,15
203.666,15
203.797,15
203.916,15
204.047,15
204.166,15
204.297,15
204.416,15
204.547,15
204.666,15
204.797,15
204.916,15
205.047,15
205.166,15
205.297,15
205.416,15
205.547,15
205.666,16
205.797,16
205.916,16
206.047,16
206.166,16
206.297,16
206.416,16
206.547,16
206.666,16
206.797,16
206.916,16
207.047,16
207.166,16
207.297,16
207.416,15
207.547,15
207.666,15
207.797,15
207.916,15
208.047,15
208.166,15
208.297,15
208.416,15
208.547,15
208.666,15
208.797,15
208.916,15
209.047,15
209.166,15
209.296,15
209.416,15
209.546,15
209.666,15
209.796,15
209.916,15
210.046,15
210.166,15
210.296,15
210.416,15
210.546,15
210.666,15
210.796,15
210.916,15
211.046,15
211.166,15
211.296,15
211.416,15
211.546,15
211.666,15
211.796,15
211.916,15
212.046,15
212.166,15
212.296,15
212.416,15
212.546,15
212.666,15
212.796,15
212.916,15
213.046,15
213.166,15
213.296,15
213.416,15
213.546,15
213.666,15
213.796,15
213.916,15
214.046,15
214.166,15
214.296,15
214.416,15
214.546,15
214.666,15
214.796,15
214.916,15
215.046,16
215.166,16
215.296,16
215.416,16
215.546,16
215.666,16
215.796,16
215.916,16
216.046,16
216.166,16
216.296,16
216.416,16
216.546,16
216.666,16
216.796,16
216.916,16
217.046,16
217.166,16
217.296,16
217.416,16
217.546,16
217.666,16
217.796,16
217.916,16
218.046,16
218.166,16
218.296,16
218.416,16
218.546,16
218.666,16
218.796,16
218.916,16
219.046,16
219.166,16
219.296,16
219.416,16
219.546,16
219.666,16
219.796,16
219.916,16
220.045,16
220.166,16
220.295,16
220.416,16
220.545,16
220.666,16
220.795,16
220.916,16
221.045,16
221.166,16
221.295,16
221.416,16
221.545,16
221.666,16
221.795,16
221.916,16
222.045,16
222.166,16
222.295,16
222.416,16
222.545,16
222.666,16
222.795,16
222.916,16
223.045,16
223.166,16
223.295,16
223.416,16
223.545,16
223.666,16
223.795,16
223.916,16
224.045,16
224.166,16
224.295,16
224.416,16
224.545,16
224.666,15
224.795,15
224.916,15
225.045,15
225.166,15
225.295,16
225.416,15
225.545,16
225.666,16
225.795,16
225.916,16
226.045,16
226.166,16
226.295,16
226.416,16
226.545,16
226.666,16
226.795,16
226.916,16
227.045,16
227.166,16
227.295,16
227.416,16
227.545,16
227.666,16
227.795,16
227.916,16
228.045,16
228.166,16
228.295,16
228.416,16
228.545,16
228.666,16
228.795,16
228.916,16
229.045,16
229.166,16
229.295,16
229.416,16
229.545,16
229.666,16
229.795,16
229.916,16
230.045,16
230.166,16
230.295,15
230.416,15
230.545,16
230.666,16
230.794,16
230.916,16
231.044,16
231.166,16
231.294,16
231.416,16
231.544,16
231.666,16
231.794,16
231.916,16
232.044,16
232.166,16
232.294,16
232.416,16
232.544,16
232.666,16
232.794,16
232.916,16
233.044,16
233.166,16
233.294,16
233.416,16
233.544,16
233.666,16
233.794,16
233.916,16
234.044,16
234.166,16
234.294,16
234.416,16
234.544,16
234.666,16
234.794,16
234.916,16
235.044,16
235.166,15
235.294,15
235.416,15
235.544,15
235.666,15
235.794,15
235.916,15
236.044,15
236.166,15
236.294,15
236.416,15
236.544,14
236.666,14
236.794,14
236.916,15
237.044,15
237.166,15
237.294,15
237.416,15
237.544,15
237.666,15
237.794,15
237.916,14
238.044,15
238.166,14
238.294,14
