Time,ITOW
539.641,559086000
539.749,559086125
539.891,559086250
539.999,559086375
540.141,559086500
540.249,559086625
540.39,559086750
540.499,559086875
540.64,559087000
540.749,559087125
540.89,559087250
540.999,559087375
541.14,559087500
541.249,559087625
541.39,559087750
541.499,559087875
541.64,559088000
541.749,559088125
541.89,559088250
541.999,559088375
542.14,559088500
542.249,559088625
542.39,559088750
542.499,559088875
542.64,559089000
542.749,559089125
542.89,559089250
542.999,559089375
543.14,559089500
543.249,559089625
543.39,559089750
543.499,559089875
543.64,559090000
543.749,559090125
543.89,559090250
543.999,559090375
544.14,559090500
544.249,559090625
544.39,559090750
544.499,559090875
544.64,559091000
544.749,559091125
544.89,559091250
544.999,559091375
545.14,559091500
545.249,559091625
545.39,559091750
545.499,559091875
545.64,559092000
545.749,559092125
545.89,559092250
545.999,559092375
546.14,559092500
546.249,559092625
546.39,559092750
546.499,559092875
546.64,559093000
546.749,559093125
546.89,559093250
546.999,559093375
547.14,559093500
547.249,559093625
547.39,559093750
547.499,559093875
547.64,559094000
547.749,559094125
547.89,559094250
547.999,559094375
548.14,559094500
548.249,559094625
548.39,559094750
548.499,559094875
548.64,559095000
548.749,559095125
548.89,559095250
548.999,559095375
549.14,559095500
549.249,559095625
549.39,559095750
549.499,559095875
549.64,559096000
549.749,559096125
549.89,559096250
549.999,559096375
550.14,559096500
550.249,559096625
550.39,559096750
550.499,559096875
550.64,559097000
550.749,559097125
550.89,559097250
550.999,559097375
551.139,559097500
551.249,559097625
551.389,559097750
551.499,559097875
551.639,559098000
551.749,559098125
551.889,559098250
551.999,559098375
552.139,559098500
552.249,559098625
552.389,559098750
552.499,559098875
552.639,559099000
552.749,559099125
552.889,559099250
552.999,559099375
553.139,559099500
553.249,559099625
553.389,559099750
553.499,559099875
553.639,559100000
553.749,559100125
553.889,559100250
553.999,559100375
554.139,559100500
554.249,559100625
554.389,559100750
554.499,559100875
554.639,559101000
554.749,559101125
554.889,559101250
554.999,559101375
555.139,559101500
555.249,559101625
555.389,559101750
555.499,559101875
555.639,559102000
555.749,559102125
555.889,559102250
555.999,559102375
556.139,559102500
556.249,559102625
556.389,559102750
556.499,559102875
556.639,559103000
556.749,559103125
556.889,559103250
556.999,559103375
557.139,559103500
557.249,559103625
557.389,559103750
557.499,559103875
557.639,559104000
557.749,559104125
557.889,559104250
557.999,559104375
558.139,559104500
558.249,559104625
558.389,559104750
558.499,559104875
558.639,559105000
558.749,559105125
558.889,559105250
558.999,559105375
559.139,559105500
559.249,559105625
559.389,559105750
559.499,559105875
559.639,559106000
559.749,559106125
559.889,559106250
559.999,559106375
560.139,559106500
560.249,559106625
560.389,559106750
560.499,559106875
560.639,559107000
560.749,559107125
560.889,559107250
560.999,559107375
561.139,559107500
561.249,559107625
561.389,559107750
561.499,559107875
561.638,559108000
561.749,559108125
561.888,559108250
561.999,559108375
562.138,559108500
562.249,559108625
562.388,559108750
562.499,559108875
562.638,559109000
562.749,559109125
562.888,559109250
562.999,559109375
563.138,559109500
563.249,559109625
563.388,559109750
563.499,559109875
563.638,559110000
563.749,559110125
563.888,559110250
563.999,559110375
564.138,559110500
564.249,559110625
564.388,559110750
564.499,559110875
564.638,559111000
564.749,559111125
564.888,559111250
564.999,559111375
565.138,559111500
565.249,559111625
565.388,559111750
565.499,559111875
565.638,559112000
565.749,559112125
565.888,559112250
565.999,559112375
566.138,559112500
566.249,559112625
566.388,559112750
566.499,559112875
566.638,559113000
566.749,559113125
566.888,559113250
566.999,559113375
567.138,559113500
567.249,559113625
567.388,559113750
567.499,559113875
567.638,559114000
567.749,559114125
567.888,559114250
567.999,559114375
568.138,559114500
568.249,559114625
568.388,559114750
568.499,559114875
568.638,559115000
568.749,559115125
568.888,559115250
568.999,559115375
569.138,559115500
569.249,559115625
569.388,559115750
569.499,559115875
569.638,559116000
569.749,559116125
569.888,559116250
569.999,559116375
570.138,559116500
570.249,559116625
570.388,559116750
570.499,559116875
570.638,559117000
570.749,559117125
570.888,559117250
570.999,559117375
571.138,559117500
571.249,559117625
571.388,559117750
571.499,559117875
571.638,559118000
571.749,559118125
571.888,559118250
571.999,559118375
572.138,559118500
572.249,559118625
572.387,559118750
572.499,559118875
572.637,559119000
572.749,559119125
572.887,559119250
572.999,559119375
573.137,559119500
573.249,559119625
573.387,559119750
573.499,559119875
573.637,559120000
573.749,559120125
573.887,559120250
573.999,559120375
574.137,559120500
574.249,559120625
574.387,559120750
574.499,559120875
574.637,559121000
574.749,559121125
574.887,559121250
574.999,559121375
575.137,559121500
575.249,559121625
575.387,559121750
575.499,559121875
575.637,559122000
575.749,559122125
575.887,559122250
575.999,559122375
576.137,559122500
576.249,559122625
576.387,559122750
576.499,559122875
576.637,559123000
576.749,559123125
576.887,559123250
576.999,559123375
577.137,559123500
577.249,559123625
577.387,559123750
577.499,559123875
577.637,559124000
577.749,559124125
577.887,559124250
577.999,559124375
578.137,559124500
578.249,559124625
578.387,559124750
578.499,559124875
578.637,559125000
578.749,559125125
578.887,559125250
578.999,559125375
579.137,559125500
579.249,559125625
579.387,559125750
579.499,559125875
579.637,559126000
579.749,559126125
579.887,559126250
579.999,559126375
580.137,559126500
580.249,559126625
580.387,559126750
580.499,559126875
580.637,559127000
580.749,559127125
580.887,559127250
580.999,559127375
581.137,559127500
581.249,559127625
581.387,559127750
581.499,559127875
581.637,559128000
581.749,559128125
581.887,559128250
581.999,559128375
582.137,559128500
582.249,559128625
582.387,559128750
582.499,559128875
582.637,559129000
582.749,559129125
582.887,559129250
582.999,559129375
583.136,559129500
583.249,559129625
583.386,559129750
583.499,559129875
583.636,559130000
583.749,559130125
583.886,559130250
583.999,559130375
584.136,559130500
584.249,559130625
584.386,559130750
584.499,559130875
584.636,559131000
584.749,559131125
584.886,559131250
584.999,559131375
585.136,559131500
585.249,559131625
585.386,559131750
585.499,559131875
585.636,559132000
585.749,559132125
585.886,559132250
585.999,559132375
586.136,559132500
586.249,559132625
586.386,559132750
586.499,559132875
586.636,559133000
586.749,559133125
586.886,559133250
586.999,559133375
587.136,559133500
587.249,559133625
587.386,559133750
587.499,559133875
587.636,559134000
587.749,559134125
587.886,559134250
587.999,559134375
588.136,559134500
588.249,559134625
588.386,559134750
588.499,559134875
588.636,559135000
588.749,559135125
588.886,559135250
588.999,559135375
589.136,559135500
589.249,559135625
589.386,559135750
589.499,559135875
589.636,559136000
589.749,559136125
589.886,559136250
589.999,559136375
590.136,559136500
590.249,559136625
590.386,559136750
590.499,559136875
590.636,559137000
590.749,559137125
590.886,559137250
590.999,559137375
591.136,559137500
591.249,559137625
591.386,559137750
591.499,559137875
591.636,559138000
591.749,559138125
591.886,559138250
591.999,559138375
592.136,559138500
592.249,559138625
592.386,559138750
592.499,559138875
592.636,559139000
592.749,559139125
592.886,559139250
592.999,559139375
593.136,559139500
593.249,559139625
593.386,559139750
593.499,559139875
593.635,559140000
593.749,559140125
593.885,559140250
593.999,559140375
594.135,559140500
594.249,559140625
594.385,559140750
594.499,559140875
594.635,559141000
594.749,559141125
594.885,559141250
594.999,559141375
595.135,559141500
595.249,559141625
595.385,559141750
595.499,559141875
595.635,559142000
595.749,559142125
595.885,559142250
595.999,559142375
596.135,559142500
596.249,559142625
596.385,559142750
596.499,559142875
596.635,559143000
596.749,559143125
596.885,559143250
596.999,559143375
597.135,559143500
597.249,559143625
597.385,559143750
597.499,559143875
597.635,559144000
597.749,559144125
597.885,559144250
597.999,559144375
598.135,559144500
