Time,ECEF_velocity_Z
135.416,22.25
135.553,22.31
135.666,22.38
135.803,22.41
135.916,22.62
136.053,22.69
136.166,22.68
136.303,22.59
136.416,22.41
136.553,22.13
136.666,21.98
136.803,21.74
136.916,21.27
137.053,20.79
137.166,20.18
137.303,19.44
137.416,18.57
137.553,18.03
137.666,17.11
137.803,16.37
137.916,15.17
138.053,13.26
138.166,11.49
138.303,9.23
138.416,7.81
138.553,6.91
138.666,5.67
138.803,4.89
138.916,2.62
139.053,1.47
139.166,0.15
139.303,-1.77
139.416,-2.79
139.553,-3.4
139.666,-3.97
139.803,-4.35
139.916,-4.59
140.053,-4.84
140.166,-4.96
140.303,-5.13
140.416,-5.17
140.553,-5.26
140.666,-5.5
140.803,-5.91
140.916,-6.33
141.053,-6.67
141.166,-7.15
141.303,-7.44
141.416,-7.91
141.553,-8.45
141.666,-8.95
141.803,-9.43
141.916,-10.05
142.053,-10.56
142.166,-11.36
142.303,-12.05
142.416,-13.11
142.553,-13.72
142.666,-14.48
142.803,-15.14
142.916,-15.76
143.053,-16.02
143.166,-16.29
143.303,-16.75
143.416,-16.6
143.553,-16.09
143.666,-15.59
143.803,-14.96
143.916,-14.14
144.053,-13.32
144.166,-12.27
144.303,-11.11
144.416,-10.14
144.553,-8.8
144.666,-7.68
144.803,-6.18
144.916,-4.63
145.052,-3.53
145.166,-1.95
145.302,-0.55
145.416,0.84
145.552,2.09
145.666,3.3
145.802,4.77
145.916,6.23
146.052,7.51
146.166,8.83
146.302,9.95
146.416,10.92
146.552,12.17
146.666,13.18
146.802,13.8
146.916,14.69
147.052,15.02
147.166,15.19
147.302,15.09
147.416,14.68
147.552,14.06
147.666,13.31
147.802,12.13
147.916,10.86
148.052,9.54
148.166,8.36
148.302,7.22
148.416,5.95
148.552,4.81
148.666,3.47
148.802,2.16
148.916,0.87
149.052,-0.59
149.166,-1.67
149.302,-2.77
149.416,-4.12
149.552,-5.2
149.666,-6.15
149.802,-6.85
149.916,-7.75
150.052,-8.52
150.166,-9.12
150.302,-9.73
150.416,-10.24
150.552,-10.79
150.666,-11.3
150.802,-11.53
150.916,-11.8
151.052,-12.29
151.166,-12.68
151.302,-13.26
151.416,-13.69
151.552,-14.04
151.666,-14.31
151.802,-14.86
151.916,-15.36
152.052,-15.63
152.166,-16.08
152.302,-16.43
152.416,-16.7
152.552,-16.97
152.666,-16.93
152.802,-16.87
152.916,-17.1
153.052,-17.16
153.166,-17.42
153.302,-17.74
153.416,-18.02
153.552,-18.31
153.666,-18.2
153.802,-17.73
153.916,-17.26
154.052,-16.56
154.166,-15.85
154.302,-15.83
154.416,-15.36
154.552,-14.9
154.666,-14.27
154.802,-13.73
154.916,-13.49
155.052,-12.97
155.166,-12.52
155.302,-12.04
155.416,-11.56
155.552,-11.13
155.666,-10.48
155.801,-9.84
155.916,-9.13
156.051,-8.3
156.166,-7.63
156.301,-6.98
156.416,-5.82
156.551,-4.58
156.666,-3.27
156.801,-2.09
156.916,-0.96
157.051,0.02
157.166,1.28
157.301,2.46
157.416,3.63
157.551,4.58
157.666,5.72
157.801,7.03
157.916,8.16
158.051,9.22
158.166,10.2
158.301,11.17
158.416,12.15
158.551,12.9
158.666,13.61
158.801,14.27
158.916,14.91
159.051,15.64
159.166,16.14
159.301,16.59
159.416,17.04
159.551,17.41
159.666,17.88
159.801,18.16
159.916,18.42
160.051,18.57
160.166,18.51
160.301,18.26
160.416,17.93
160.551,17.4
160.666,16.76
160.801,15.82
160.916,14.83
161.051,13.52
161.166,11.98
161.301,10.89
161.416,9.25
161.551,8.17
161.666,6.76
161.801,5.4
161.916,4.06
162.051,2.53
162.166,0.77
162.301,-0.43
162.416,-1.97
162.551,-3.42
162.666,-4.96
162.801,-6.81
162.916,-7.97
163.051,-9.03
163.166,-10.2
163.301,-11.14
163.416,-12.27
163.551,-13.12
163.666,-13.93
163.801,-14.81
163.916,-15.45
164.051,-16.1
164.166,-16.64
164.301,-17.32
164.416,-17.88
164.551,-18.48
164.666,-18.87
164.801,-18.67
164.916,-18.18
165.051,-17.64
165.166,-17.15
165.301,-16.62
165.416,-16.15
165.551,-15.84
165.666,-15.37
165.801,-14.7
165.916,-14.23
166.051,-13.88
166.166,-13.22
166.301,-12.17
166.416,-11.27
166.551,-10.06
166.666,-9.08
166.8,-7.98
166.916,-6.59
167.05,-5.23
167.166,-3.9
167.3,-2.12
167.416,-0.81
167.55,0.41
167.666,2.02
167.8,3.23
167.916,4.79
168.05,5.87
168.166,6.82
168.3,8.02
168.416,9.11
168.55,9.91
168.666,10.81
168.8,11.49
168.916,12.14
169.05,12.93
169.166,13.48
169.3,13.7
169.416,13.11
169.55,12.38
169.666,11.54
169.8,10.55
169.916,9.48
170.05,8.23
170.166,7.24
170.3,5.62
170.416,4.45
170.55,2.66
170.666,1.65
170.8,0.26
170.916,-1.14
171.05,-2.59
171.166,-4.82
171.3,-6.16
171.416,-7.41
171.55,-8.4
171.666,-9.46
171.8,-10.4
171.916,-11.37
172.05,-12.11
172.166,-12.95
172.3,-13.67
172.416,-14.29
172.55,-14.85
172.666,-15.32
172.8,-15.85
172.916,-16.11
173.05,-16.32
173.166,-16.04
173.3,-16.09
173.416,-15.87
173.55,-15.34
173.666,-14.58
173.8,-13.84
173.916,-12.93
174.05,-11.4
174.166,-10.77
174.3,-9.11
174.416,-8.23
174.55,-6.9
174.666,-5.66
174.8,-5.15
174.916,-4.86
175.05,-4.87
175.166,-5.38
175.3,-5.8
175.416,-6.46
175.55,-7.14
175.666,-8.03
175.8,-8.79
175.916,-9.19
176.05,-9.72
176.166,-10.06
176.3,-10.49
176.416,-10.58
176.55,-10.6
176.666,-10.76
176.8,-10.55
176.916,-10.16
177.05,-9.73
177.166,-8.96
177.299,-7.98
177.416,-7.3
177.549,-5.82
177.666,-4.82
177.799,-3.48
177.916,-2.26
178.049,-0.94
178.166,0.29
178.299,1.7
178.416,2.98
178.549,4.24
178.666,5.53
178.799,6.68
178.916,7.72
179.049,8.65
179.166,9.38
179.299,10.07
179.416,10.56
179.549,10.84
179.666,10.83
179.799,10.44
179.916,9.81
180.049,9.12
180.166,8.13
180.299,7.22
180.416,5.89
180.549,5
180.666,3.49
180.799,2.34
180.916,1.09
181.049,-0.83
181.166,-1.98
181.299,-3.43
181.416,-4.05
181.549,-4.94
181.666,-5.1
181.799,-4.99
181.916,-4.14
182.049,-3
182.166,-1.49
182.299,-0.56
182.416,1.16
182.549,2.84
182.666,4.09
