Time,ECEF_velocity_Y
135.416,1.44
135.553,1.27
135.666,1.52
135.803,1.48
135.916,1.42
136.053,1.39
136.166,1.67
136.303,1.78
136.416,2.28
136.553,2.62
136.666,3.63
136.803,4.91
136.916,6.27
137.053,8.03
137.166,9.63
137.303,11.37
137.416,13.37
137.553,14.89
137.666,16.95
137.803,18.22
137.916,19.66
138.053,21.99
138.166,23.67
138.303,24.79
138.416,25.25
138.553,25.56
138.666,26.25
138.803,26.96
138.916,29.16
139.053,28.98
139.166,29.31
139.303,29.89
139.416,30.08
139.553,30.24
139.666,30.41
139.803,30.56
139.916,30.66
140.053,30.91
140.166,31.04
140.303,31.18
140.416,31.39
140.553,31.51
140.666,31.69
140.803,31.71
140.916,31.4
141.053,30.38
141.166,29.65
141.303,28.86
141.416,27.81
141.553,27.6
141.666,27.57
141.803,27.59
141.916,27.05
142.053,25.92
142.166,24.75
142.303,23.33
142.416,22.03
142.553,20.73
142.666,18.98
142.803,17.29
142.916,15.24
143.053,13.24
143.166,11.17
143.303,8.84
143.416,7.06
143.553,4.85
143.666,2.82
143.803,0.46
143.916,-1.94
144.053,-3.52
144.166,-5.4
144.303,-7.18
144.416,-9.26
144.553,-11.5
144.666,-13.37
144.803,-15.45
144.916,-17.11
145.052,-18.17
145.166,-19.28
145.302,-20.26
145.416,-20.95
145.552,-21.63
145.666,-22.12
145.802,-22.37
145.916,-22.46
146.052,-22.31
146.166,-22.08
146.302,-21.72
146.416,-21.37
146.552,-20.79
146.666,-20.11
146.802,-19.81
146.916,-19.51
147.052,-19.7
147.166,-19.99
147.302,-20.62
147.416,-21.62
147.552,-22.72
147.666,-23.63
147.802,-24.02
147.916,-24.07
148.052,-24.17
148.166,-23.79
148.302,-23.5
148.416,-22.98
148.552,-22.4
148.666,-21.65
148.802,-20.75
148.916,-19.74
149.052,-18.61
149.166,-17.41
149.302,-16.15
149.416,-15.04
149.552,-13.74
149.666,-12.72
149.802,-12.2
149.916,-11.67
150.052,-11.01
150.166,-11.14
150.302,-10.6
150.416,-10.82
150.552,-10.72
150.666,-10.09
150.802,-9.24
150.916,-8.67
151.052,-7.18
151.166,-6.53
151.302,-5.18
151.416,-4.12
151.552,-2.71
151.666,-1.62
151.802,-0.8
151.916,0.17
152.052,0.47
152.166,0.48
152.302,0.25
152.416,-0.32
152.552,-1.26
152.666,-1.74
152.802,-2.89
152.916,-3.98
153.052,-4.85
153.166,-5.23
153.302,-5.31
153.416,-5.36
153.552,-5.33
153.666,-5.41
153.802,-5.24
153.916,-5.03
154.052,-4.95
154.166,-4.95
154.302,-4.84
154.416,-4.45
154.552,-3.98
154.666,-3.4
154.802,-2.91
154.916,-2.66
155.052,-2.1
155.166,-1.7
155.302,-0.64
155.416,0.57
155.552,1.55
155.666,2.91
155.801,4.3
155.916,5.66
156.051,7.17
156.166,8.59
156.301,10.06
156.416,11.18
156.551,12.11
156.666,12.83
156.801,13.38
156.916,13.67
157.051,13.92
157.166,13.85
157.301,13.89
157.416,13.54
157.551,13.29
157.666,12.58
157.801,11.53
157.916,10.73
158.051,9.72
158.166,8.72
158.301,7.46
158.416,6.52
158.551,5.5
158.666,4.48
158.801,3.57
158.916,2.48
159.051,1.28
159.166,0.6
