Time,ECEF_position_Z
170.166,4490964.23
170.3,4490964.82
170.416,4490965.28
170.55,4490965.41
170.666,4490965.55
170.8,4490965.4
170.916,4490965.04
171.05,4490964.46
171.166,4490963.51
171.3,4490962.56
171.416,4490961.52
171.55,4490960.41
171.666,4490959.1
171.8,4490957.72
171.916,4490956.22
172.05,4490954.65
172.166,4490953.01
172.3,4490951.34
172.416,4490949.53
172.55,4490947.67
172.666,4490945.73
172.8,4490943.73
172.916,4490941.62
173.05,4490939.58
173.166,4490937.59
173.3,4490935.57
173.416,4490933.6
173.55,4490931.74
173.666,4490929.91
173.8,4490928.3
173.916,4490926.8
174.05,4490925.56
174.166,4490924.21
174.3,4490923.27
174.416,4490922.3
174.55,4490921.56
174.666,4490921
174.8,4490920.45
174.916,4490919.86
175.05,4490919.24
175.166,4490918.54
175.3,4490917.76
175.416,4490916.88
175.55,4490915.93
175.666,4490914.84
175.8,4490913.64
175.916,4490912.45
176.05,4490911.14
176.166,4490909.87
176.3,4490908.51
176.416,4490907.13
176.55,4490905.76
176.666,4490904.41
176.8,4490903.08
176.916,4490901.79
177.05,4490900.63
177.166,4490899.56
177.299,4490898.62
177.416,4490897.78
177.549,4490897.17
177.666,4490896.66
177.799,4490896.3
177.916,4490896.1
178.049,4490896.1
178.166,4490896.22
178.299,4490896.5
178.416,4490896.93
178.549,4490897.51
178.666,4490898.26
178.799,4490899.07
178.916,4490900.06
179.049,4490901.19
179.166,4490902.39
179.299,4490903.66
179.416,4490904.98
179.549,4490906.33
179.666,4490907.65
179.799,4490908.9
179.916,4490910.04
180.049,4490911.1
180.166,4490912.03
180.299,4490912.86
180.416,4490913.52
180.549,4490914.02
180.666,4490914.32
180.799,4490914.52
180.916,4490914.53
181.049,4490914.29
181.166,4490913.94
181.299,4490913.36
181.416,4490912.8
181.549,4490912
181.666,4490911.32
181.799,4490910.73
181.916,4490910.25
182.049,4490909.97
182.166,4490909.85
182.299,4490909.86
182.416,4490910.11
182.549,4490910.53
182.666,4490911.18
182.799,4490912.03
182.916,4490912.98
183.049,4490914.24
183.166,4490915.64
183.299,4490917.04
183.416,4490918.63
183.549,4490920.4
183.666,4490922.4
183.799,4490924.47
183.916,4490926.63
184.049,4490928.83
184.166,4490931.05
184.299,4490933.3
184.416,4490935.62
184.549,4490937.89
184.666,4490940.19
184.799,4490942.51
184.916,4490944.84
185.049,4490947.29
185.166,4490949.72
185.299,4490952.16
185.416,4490954.63
185.549,4490957.17
185.666,4490959.69
185.799,4490962.26
185.916,4490964.81
186.049,4490967.41
186.166,4490970.03
186.299,4490972.66
186.416,4490975.33
186.549,4490977.99
186.666,4490980.67
186.799,4490983.35
186.916,4490986.08
187.049,4490988.79
187.166,4490991.57
187.299,4490994.33
