Time,ECEF_velocity_Y
486.266,-0.89
486.396,0.79
486.516,2.04
486.646,2.3
486.766,2.67
486.896,2.66
487.016,2.48
487.145,2.35
487.266,2.1
487.395,2.13
487.516,2.25
487.645,2.24
487.766,1.96
487.895,1.97
488.016,1.96
488.145,1.83
488.266,1.68
488.395,1.62
488.516,1.62
488.645,1.52
488.766,1.5
488.895,1.38
489.016,1.61
489.145,1.38
