Time,GPS_LonAcc
187.6,0.0990442782640457
187.7,0.0953170210123062
187.8,0.101365968585014
187.9,0.0957891792058945
188,0.0583145283162594
188.1,-0.0163028761744499
188.2,-0.134878143668175
188.3,-0.281931310892105
188.4,-0.370941698551178
188.5,-0.37714484333992
188.6,-0.347882568836212
188.7,-0.317911714315414
188.8,-0.323332875967026
188.9,-0.4013312458992
189,-0.501904010772705
189.1,-0.59764575958252
189.2,-0.664224803447723
189.3,-0.672785043716431
189.4,-0.585311412811279
189.5,-0.428956925868988
189.6,-0.251207411289215
189.7,-0.0929135978221893
189.8,0.0111146504059434
189.9,0.0332448408007622
190,0.0524599514901638
190.1,0.0962437987327576
190.2,0.162755757570267
190.3,0.226750299334526
190.4,0.211456403136253
190.5,0.159685730934143
190.6,0.123148150742054
190.7,0.122209586203098
190.8,0.150553375482559
190.9,0.175154745578766
191,0.169311121106148
191.1,0.170293137431145
191.2,0.201436638832092
191.3,0.26758873462677
191.4,0.288728147745132
191.5,0.260314404964447
191.6,0.222274348139763
191.7,0.19548237323761
191.8,0.191268727183342
191.9,0.207028552889824
192,0.205627739429474
192.1,0.200916647911072
192.2,0.197507932782173
192.3,0.196597397327423
192.4,0.190564155578613
192.5,0.189848005771637
192.6,0.190354004502296
192.7,0.188492357730865
192.8,0.18170166015625
192.9,0.176974877715111
193,0.173290312290192
193.1,0.165420040488243
193.2,0.156416341662407
193.3,0.153264492750168
193.4,0.159724071621895
193.5,0.159780815243721
193.6,0.153816282749176
193.7,0.140847697854042
193.8,0.122723735868931
193.9,0.0966003090143204
194,0.0718676447868347
194.1,0.0506272204220295
194.2,0.0287646874785423
194.3,-0.000512392376549542
194.4,-0.0505657456815243
194.5,-0.116702683269978
194.6,-0.206809774041176
194.7,-0.324346870183945
194.8,-0.457369863986969
194.9,-0.575743913650513
195,-0.652630269527435
195.1,-0.689976155757904
195.2,-0.699842154979706
195.3,-0.712851166725159
195.4,-0.715854585170746
195.5,-0.686121225357056
195.6,-0.648564100265503
195.7,-0.615772187709808
195.8,-0.594674646854401
195.9,-0.553897023200989
196,-0.438251465559006
196.1,-0.304992586374283
196.2,-0.204119518399239
196.3,-0.173834249377251
196.4,-0.227509111166
196.5,-0.273663640022278
196.6,-0.262028902769089
196.7,-0.1715117841959
196.8,-0.0285387877374887
196.9,0.129849806427956
197,0.244966000318527
197.1,0.294824600219727
197.2,0.290692180395126
197.3,0.285174071788788
197.4,0.34126478433609
197.5,0.388444125652313
197.6,0.398967206478119
197.7,0.370780140161514
197.8,0.331021010875702
197.9,0.336835205554962
198,0.368082135915756
198.1,0.411285400390625
198.2,0.453070849180222
198.3,0.478803157806396
198.4,0.477226853370667
198.5,0.470923662185669
198.6,0.443112760782242
198.7,0.389972448348999
198.8,0.32383194565773
198.9,0.280154079198837
199,0.277700662612915
199.1,0.300519019365311
199.2,0.330290526151657
199.3,0.342905580997467
199.4,0.333938300609589
199.5,0.322427690029144
199.6,0.304343968629837
199.7,0.279682070016861
199.8,0.252867251634598
199.9,0.230424597859383
200,0.187704041600227
200.1,0.0999528244137764
200.2,-0.0472595132887363
200.3,-0.239252433180809
200.4,-0.43848243355751
200.5,-0.572439312934875
200.6,-0.629518747329712
200.7,-0.618790686130524
200.8,-0.588828086853027
200.9,-0.605932891368866
201,-0.622588932514191
201.1,-0.591269135475159
201.2,-0.504261314868927
201.3,-0.393328726291656
201.4,-0.338533788919449
201.5,-0.344436854124069
201.6,-0.352543145418167
201.7,-0.311580866575241
201.8,-0.190464034676552
201.9,-0.0365824066102505
202,0.0653612911701202
202.1,0.152316227555275
202.2,0.234422996640205
202.3,0.314836621284485
202.4,0.361170411109924
202.5,0.403791189193726
202.6,0.479784399271011
202.7,0.604021668434143
202.8,0.760990142822266
202.9,0.845094680786133
203,0.806547164916992
203.1,0.68887996673584
203.2,0.514662146568298
203.3,0.328873485326767
203.4,0.214933335781097
203.5,0.215860590338707
203.6,0.27327886223793
203.7,0.333994895219803
203.8,0.338772177696228
203.9,0.254333585500717
204,0.185576274991035
204.1,0.170133024454117
204.2,0.210749730467796
204.3,0.271805316209793
204.4,0.276303112506866
204.5,0.261969655752182
204.6,0.254386961460114
204.7,0.256555885076523
204.8,0.259556859731674
204.9,0.252790778875351
205,0.237478077411652
205.1,0.216408059000969
205.2,0.167239531874657
205.3,0.0665722340345383
205.4,-0.165465578436852
205.5,-0.440687894821167
205.6,-0.684203565120697
205.7,-0.843307435512543
205.8,-0.903512120246887
205.9,-0.841455161571503
206,-0.750029504299164
206.1,-0.669721782207489
206.2,-0.623735427856445
206.3,-0.616643369197845
206.4,-0.643130302429199
