Time,ECEF_position_Z
439.65,4491002
439.766,4491004.77
439.9,4491007.62
440.016,4491010.46
440.15,4491013.27
440.266,4491016.11
440.4,4491018.89
440.516,4491021.68
440.65,4491024.46
440.766,4491027.24
440.9,4491030
441.016,4491032.83
441.15,4491035.36
441.266,4491037.85
441.4,4491040.3
441.516,4491042.65
441.65,4491044.75
441.766,4491046.83
441.9,4491048.86
442.016,4491050.7
442.15,4491052.34
442.266,4491053.75
442.4,4491055.01
442.516,4491056.13
442.65,4491057.05
442.766,4491057.81
442.9,4491058.33
443.016,4491058.75
443.15,4491058.99
443.266,4491059.27
443.4,4491059.23
443.516,4491059.01
443.65,4491058.6
443.766,4491058.1
443.9,4491057.54
444.016,4491056.95
444.15,4491056.33
444.266,4491055.71
444.399,4491055.04
444.516,4491054.33
444.649,4491053.64
444.766,4491052.87
444.899,4491052.08
445.016,4491051.25
445.149,4491050.34
445.266,4491049.39
445.399,4491048.36
445.516,4491047.22
445.649,4491045.97
445.766,4491044.56
445.899,4491043.04
446.016,4491041.4
446.149,4491039.58
446.266,4491037.69
446.399,4491035.76
446.516,4491033.86
446.649,4491031.8
446.766,4491029.71
446.899,4491027.61
447.016,4491025.5
447.149,4491023.36
447.266,4491021.28
447.399,4491019.16
447.516,4491017.09
447.649,4491015.14
447.766,4491013.29
447.899,4491011.53
448.016,4491009.84
448.149,4491008.31
448.266,4491006.91
448.399,4491005.6
448.516,4491004.46
448.649,4491003.6
448.766,4491002.94
448.899,4491002.41
449.016,4491002.13
449.149,4491002.12
449.266,4491002.27
449.399,4491002.59
449.516,4491003.16
449.649,4491003.98
449.766,4491004.95
449.899,4491006.07
450.016,4491007.33
450.149,4491008.75
450.266,4491010.21
450.399,4491011.83
450.516,4491013.58
450.649,4491015.32
450.766,4491017.21
450.899,4491019.11
451.016,4491020.99
451.149,4491022.83
451.266,4491024.61
451.399,4491026.22
451.516,4491027.71
451.649,4491029.17
451.766,4491030.43
451.899,4491031.51
452.016,4491032.44
452.149,4491033.17
452.266,4491033.72
452.399,4491034.13
452.516,4491034.32
452.649,4491034.32
452.766,4491034.11
452.899,4491033.69
453.016,4491033.14
453.149,4491032.22
453.266,4491031.04
453.399,4491029.78
453.516,4491028.29
453.649,4491026.64
453.766,4491024.88
453.899,4491023.05
454.016,4491021.19
454.149,4491019.12
454.266,4491017.01
454.399,4491014.89
454.516,4491012.86
454.649,4491010.62
454.766,4491008.42
454.899,4491006.21
455.016,4491004.02
455.148,4491001.85
455.266,4490999.66
455.398,4490997.54
455.516,4490995.43
455.648,4490993.35
455.766,4490991.26
455.898,4490989.16
456.016,4490987.08
456.148,4490985
456.266,4490982.95
456.398,4490980.87
456.516,4490978.76
456.648,4490976.58
456.766,4490974.33
456.898,4490972
457.016,4490969.63
457.148,4490967.35
457.266,4490965.21
457.398,4490963.06
457.516,4490960.98
457.648,4490958.9
457.766,4490956.88
457.898,4490954.91
458.016,4490953.03
458.148,4490951.21
458.266,4490949.46
458.398,4490947.85
458.516,4490946.31
458.648,4490944.99
458.766,4490943.83
