Time,GPS_LonAcc
389,0.0158811621367931
389.1,0.051751796156168
389.2,0.111790537834167
389.3,0.157535344362259
389.4,0.143074586987495
389.5,0.033575464040041
389.6,-0.0630640834569931
389.7,-0.104396432638168
389.8,-0.0684444904327393
389.9,-0.00561720179393888
390,-0.0204508434981108
390.1,-0.0666522011160851
390.2,-0.102880269289017
390.3,-0.108446151018143
390.4,-0.0904817655682564
390.5,-0.0640124976634979
390.6,-0.0543720573186874
390.7,-0.057244461029768
390.8,-0.0663109347224236
390.9,-0.065521314740181
391,-0.0281701255589724
391.1,0.0256068389862776
391.2,0.0888529345393181
391.3,0.150511488318443
391.4,0.1939787119627
391.5,0.153564885258675
391.6,0.0271844062954187
391.7,-0.0952369496226311
391.8,-0.167762726545334
391.9,-0.188251242041588
392,-0.163168579339981
392.1,-0.154142513871193
392.2,-0.122305870056152
392.3,-0.0389629080891609
392.4,0.0845892354846001
392.5,0.192311346530914
392.6,0.207480296492577
392.7,0.179996371269226
392.8,0.162533551454544
392.9,0.221833124756813
393,0.291432499885559
393.1,0.270556271076202
393.2,0.212040305137634
393.3,0.139083072543144
393.4,0.0844077467918396
393.5,0.11315893381834
393.6,0.139257669448853
393.7,0.142072841525078
393.8,0.114697948098183
393.9,0.0791165456175804
394,0.0504036769270897
394.1,0.0377759076654911
394.2,0.0321796424686909
394.3,0.0237555205821991
394.4,0.000676394789479673
394.5,-0.0166823733597994
394.6,-0.00489282095804811
394.7,-0.00319083081558347
394.8,-0.0297857709228992
394.9,-0.0757743641734123
395,-0.136028528213501
395.1,-0.171966522932053
395.2,-0.196230888366699
395.3,-0.239050626754761
395.4,-0.333678632974625
395.5,-0.41791245341301
395.6,-0.451141268014908
395.7,-0.451821446418762
395.8,-0.429465144872665
395.9,-0.414611041545868
396,-0.406754016876221
396.1,-0.425145149230957
396.2,-0.456642389297485
396.3,-0.501301765441895
396.4,-0.552911937236786
396.5,-0.557548522949219
396.6,-0.536824822425842
396.7,-0.503715336322784
396.8,-0.460904806852341
396.9,-0.41732919216156
397,-0.391950607299805
397.1,-0.36184024810791
397.2,-0.322280466556549
397.3,-0.26811271905899
397.4,-0.20473849773407
397.5,-0.112416081130505
397.6,-0.0278666540980339
397.7,0.0407545864582062
397.8,0.0842752829194069
397.9,0.111470676958561
398,0.153225794434547
398.1,0.220864474773407
398.2,0.282129198312759
398.3,0.305400550365448
398.4,0.280416399240494
398.5,0.267032355070114
398.6,0.337586581707001
398.7,0.432934165000916
398.8,0.492579460144043
398.9,0.462645709514618
399,0.422455787658691
399.1,0.42096734046936
399.2,0.424650311470032
399.3,0.41397762298584
399.4,0.380637407302856
399.5,0.346168786287308
399.6,0.305219084024429
399.7,0.277632772922516
399.8,0.278862357139587
399.9,0.302783876657486
400,0.35133945941925
400.1,0.381995499134064
400.2,0.388321608304977
400.3,0.367047637701035
400.4,0.339424580335617
400.5,0.307044714689255
400.6,0.283765077590942
400.7,0.260602384805679
400.8,0.204653516411781
400.9,0.0888303071260452
401,-0.118802040815353
401.1,-0.327287256717682
401.2,-0.485362648963928
401.3,-0.566878736019135
401.4,-0.613361954689026
401.5,-0.617933928966522
401.6,-0.639615178108215
401.7,-0.654627442359924
401.8,-0.652773439884186
401.9,-0.640639364719391
402,-0.567032873630524
402.1,-0.452828466892242
402.2,-0.316863805055618
402.3,-0.16389274597168
402.4,-0.00940758269280195
402.5,0.141005992889404
402.6,0.289977192878723
402.7,0.429633647203445
402.8,0.509968221187592
402.9,0.494989544153214
403,0.362110465764999
403.1,0.235437884926796
