Time,GPS_Longitude
389,12.1498167839305
389.1,12.1498259476167
389.2,12.1498354305612
389.3,12.1498448720328
389.4,12.1498525825311
389.5,12.1498611768625
389.6,12.1498685170544
389.7,12.149876166207
389.8,12.1498837412884
389.9,12.1498898517748
390,12.1498977289454
390.1,12.1499053841696
390.2,12.1499145241898
390.3,12.1499254862205
390.4,12.1499363200227
390.5,12.1499519116654
390.6,12.1499668301278
390.7,12.1499840007377
390.8,12.1500033844784
390.9,12.1500213035818
391,12.1500475901442
391.1,12.1500709919639
391.2,12.1500974335488
391.3,12.150126468767
391.4,12.1501522082944
391.5,12.1501866148738
391.6,12.1502171678999
391.7,12.1502516561673
391.8,12.1502890708778
391.9,12.1503213694222
392,12.1503614797007
392.1,12.150395692815
392.2,12.1504325957982
392.3,12.150472258499
392.4,12.1505084477457
392.5,12.1505523666701
392.6,12.1505896537571
392.7,12.1506294887663
392.8,12.1506709233549
392.9,12.1507066385184
393,12.1507514178923
393.1,12.1507886311011
393.2,12.1508280195779
393.3,12.1508690526504
393.4,12.1509048731939
393.5,12.1509486765877
393.6,12.150985994912
393.7,12.1510260248798
393.8,12.1510679033086
393.9,12.1511042314779
394,12.151148647481
394.1,12.1511864804496
394.2,12.1512268757981
394.3,12.151268903301
394.4,12.1513052563722
394.5,12.151349504858
394.6,12.1513864708885
394.7,12.1514256848816
394.8,12.1514661152887
394.9,12.1515004806184
395,12.1515413935428
395.1,12.1515750619158
395.2,12.1516101684763
395.3,12.1516457445242
395.4,12.1516756917001
395.5,12.1517096751572
395.6,12.1517369694611
395.7,12.1517646547044
395.8,12.1517916226253
395.9,12.1518133307971
396,12.1518366844359
396.1,12.1518547590828
396.2,12.1518721797373
396.3,12.1518881315615
396.4,12.1519004013118
396.5,12.1519119480021
396.6,12.1519196886223
396.7,12.1519254573321
396.8,12.1519288927209
396.9,12.1519306533019
397,12.1519287106444
397.1,12.151924426318
397.2,12.1519175454636
397.3,12.1519079855167
397.4,12.1518981924434
397.5,12.1518829966593
397.6,12.1518678212348
397.7,12.1518501565406
397.8,12.1518302608688
397.9,12.1518118135022
398,12.1517873716158
398.1,12.1517648736493
398.2,12.1517394030264
398.3,12.1517117277887
398.4,12.1516874991878
398.5,12.1516566731724
398.6,12.1516300480272
398.7,12.1516011233612
398.8,12.1515704622663
398.9,12.1515436132542
399,12.1515120372324
399.1,12.1514854343436
399.2,12.1514571032665
399.3,12.1514279387308
399.4,12.151403338541
399.5,12.1513742605806
399.6,12.1513504651765
399.7,12.1513256901832
399.8,12.1513008278508
399.9,12.1512804021248
400,12.1512564665878
400.1,12.1512364771633
400.2,12.1512151978362
400.3,12.1511929228023
400.4,12.151173430615
400.5,12.1511485455974
400.6,12.1511264975992
400.7,12.1511019903234
400.8,12.1510752162973
400.9,12.151050975188
401,12.1510202584832
401.1,12.1509937646361
401.2,12.1509651583084
401.3,12.1509350376315
401.4,12.1509087412515
401.5,12.1508765896108
401.6,12.1508492405582
401.7,12.1508204902794
401.8,12.1507909508659
401.9,12.1507650510281
402,12.1507346725988
402.1,12.1507088301622
402.2,12.1506817439095
402.3,12.1506540816377
402.4,12.1506299729415
402.5,12.1506018922794
402.6,12.150578424387
402.7,12.1505541840276
402.8,12.150529793668
402.9,12.1505087775638
403,12.1504853343009
403.1,12.1504674598775
403.2,12.1504497354676
403.3,12.150433374473
403.4,12.1504216849564
403.5,12.1504075250381
403.6,12.1503986810326
403.7,12.150391400282
403.8,12.1503861356523
403.9,12.1503836110503
404,12.1503806336234
404.1,12.1503772782529
404.2,12.1503734163747
404.3,12.1503688959482
404.4,12.1503640541571
404.5,12.1503560845546
404.6,12.1503466348099
404.7,12.1503361505057
404.8,12.1503247604149
404.9,12.1503132998584
405,12.1502963515581
405.1,12.1502806535352
405.2,12.1502632254245
405.3,12.1502444498929
405.4,12.1502274379869
405.5,12.150205407193
405.6,12.1501861324691
405.7,12.1501653665262
405.8,12.1501437712346
405.9,12.1501250441515
406,12.1501031735098
406.1,12.1500854659404
406.2,12.1500674882458
406.3,12.1500495688232
406.4,12.1500341301463
406.5,12.1500171248681
406.6,12.1500030804704
406.7,12.149988555938
406.8,12.1499742546403
406.9,12.1499626924295
407,12.1499504606001
407.1,12.1499415548905
407.2,12.1499339548026
407.3,12.1499278987377
407.4,12.149923377366
407.5,12.1499211066839
407.6,12.1499210776492
407.7,12.1499225852821
407.8,12.1499261689529
407.9,12.1499313244667
408,12.1499403751474
408.1,12.1499497030404
408.2,12.1499612120575
408.3,12.1499746760439
408.4,12.1499872258745
408.5,12.150005194229
408.6,12.1500220763248
408.7,12.1500412780809
408.8,12.1500626552585
408.9,12.1500826548195
409,12.1501070202574
409.1,12.1501277970739
409.2,12.1501498542311
409.3,12.1501726070897
409.4,12.150192355205
409.5,12.1502151229359
409.6,12.1502336858828
409.7,12.1502527821046
409.8,12.1502719155
409.9,12.150288161602
410,12.1503059143788
410.1,12.1503205149791
410.2,12.1503345094716
410.3,12.1503473838267
410.4,12.1503580768316
410.5,12.1503687441301
410.6,12.1503759717649
410.7,12.150382607326
410.8,12.1503882942498
410.9,12.150392001907
411,12.1503948609009
411.1,12.1503972662418
411.2,12.1503996562121
411.3,12.1504023481156
411.4,12.150405481565
411.5,12.1504095801101
411.6,12.1504140631165
411.7,12.1504197721937
411.8,12.150426963926
411.9,12.150434497757
412,12.1504443899579
412.1,12.1504556879024
412.2,12.1504692277215
412.3,12.1504847558358
412.4,12.1504999629201
412.5,12.1505191586586
412.6,12.1505378904654
412.7,12.150558862905
