Time,ECEF_velocity_Z
288.414,22.35
288.516,22.24
288.664,22.37
288.789,22.39
288.914,22.62
289.039,22.59
289.164,22.56
289.289,22.44
289.414,22.32
289.539,22.22
289.664,22
289.766,21.77
289.914,21.31
290.039,20.64
290.164,20.16
290.289,19.53
290.414,18.74
290.516,18
290.664,16.81
290.789,15.78
290.914,14.33
291.039,12.93
291.164,11.55
291.266,10.28
291.414,8.75
291.539,7.31
291.664,5.83
291.789,4.23
291.914,2.79
292.039,1.67
292.164,-0.08
292.289,-1.07
292.414,-2.1
292.516,-3.04
292.664,-3.72
292.789,-4.51
292.914,-4.82
293.039,-5.11
293.164,-5.15
293.289,-5.3
293.414,-5.5
293.539,-5.63
293.664,-5.86
293.789,-6.12
293.914,-6.48
294.016,-6.95
294.164,-7.51
294.289,-8.23
294.414,-9.36
294.539,-10.65
294.664,-11.58
294.788,-12.55
294.913,-13.09
295.038,-13.54
295.163,-14.01
295.288,-14.41
295.413,-14.84
295.538,-15.42
295.663,-15.6
295.788,-16
295.913,-16.23
296.038,-16.13
296.163,-15.98
296.288,-15.71
296.413,-15.62
296.538,-14.84
296.663,-14.09
296.766,-13.38
296.913,-12.66
297.038,-11.62
297.163,-10.38
297.288,-9.4
297.413,-8.2
297.538,-6.93
297.663,-5.94
297.788,-4.43
297.913,-2.34
298.016,-1.07
298.163,0.4
298.288,1.39
298.413,2.88
298.538,4.02
298.663,5.34
298.788,6.57
298.913,7.26
299.038,8.02
299.163,8.38
299.288,8.65
299.413,8.85
299.516,9.14
299.663,9.44
299.788,9.65
299.913,9.99
300.038,10.27
300.163,10.7
300.288,11.08
300.413,11.34
300.538,11.4
300.663,11.14
300.788,10.68
300.913,9.93
301.038,9.19
301.163,8.25
301.288,7.23
301.413,6.46
301.538,5.45
301.663,4.8
301.788,4.09
301.913,3.16
302.016,1.89
302.163,0.75
302.266,-0.75
302.413,-1.85
302.538,-3.52
302.663,-4.72
302.766,-5.65
302.913,-6.42
303.038,-7.28
303.163,-7.58
303.288,-9.09
303.413,-10.12
303.538,-11.6
303.663,-13.04
303.788,-14.28
303.913,-15.36
304.038,-16.11
304.163,-16.56
304.288,-16.9
304.413,-16.94
