Time,GPS_Latitude
339.1,45.0460911973709
339.2,45.0461194069412
339.3,45.0461497977012
339.4,45.0461750244322
339.5,45.04620806343
339.6,45.0462347619504
339.7,45.0462634548571
339.8,45.0462940137711
339.9,45.0463188390935
340,45.0463512451903
340.1,45.0463772963841
340.2,45.0464051898357
340.3,45.04643478867
340.4,45.0464587715744
340.5,45.0464897645511
340.6,45.046514017269
340.7,45.0465398739168
340.8,45.0465671580652
340.9,45.0465887776046
341,45.0466161371672
341.1,45.0466369969621
341.2,45.046658744236
341.3,45.0466811511074
341.4,45.0466985988609
341.5,45.0467204789137
341.6,45.0467368912966
341.7,45.0467533794959
341.8,45.0467697238277
341.9,45.0467824346435
342,45.0467959333746
342.1,45.0468054512067
342.2,45.0468148515762
342.3,45.0468240735297
342.4,45.046831117662
342.5,45.0468372457201
342.6,45.0468392736817
342.7,45.0468403439051
342.8,45.046840819282
342.9,45.046840681946
343,45.0468377632697
343.1,45.0468344899119
343.2,45.0468297647529
343.3,45.0468236246413
343.4,45.0468187509636
343.5,45.0468112982584
343.6,45.0468051568198
343.7,45.0467982257842
343.8,45.0467904532798
343.9,45.0467840864066
344,45.0467755617823
344.1,45.0467684757167
344.2,45.0467606430889
344.3,45.0467520436967
344.4,45.0467449202971
344.5,45.046735040444
344.6,45.0467266971309
344.7,45.0467172724406
344.8,45.0467065416074
344.9,45.0466972586484
345,45.0466842361243
345.1,45.046672497567
345.2,45.0466589468401
345.3,45.0466433831409
345.4,45.046629853977
345.5,45.0466112260387
345.6,45.0465958441539
345.7,45.0465787851872
345.8,45.0465598073621
345.9,45.0465437849159
346,45.0465228639786
346.1,45.0465048406493
346.2,45.0464851394357
346.3,45.0464639405277
346.4,45.0464463208546
346.5,45.0464225038662
346.6,45.0464032998148
346.7,45.0463824796342
346.8,45.046360020141
346.9,45.0463416735037
347,45.0463180134546
347.1,45.046299497164
347.2,45.0462800228683
347.3,45.0462597447303
347.4,45.0462435987635
347.5,45.046223865305
347.6,45.0462086062943
347.7,45.0461928897223
347.8,45.0461771870741
347.9,45.0461653591387
348,45.046151480574
348.1,45.0461416859611
348.2,45.0461321999784
348.3,45.0461235495897
348.4,45.0461178827389
348.5,45.0461128406186
348.6,45.0461102935985
348.7,45.0461088029815
348.8,45.0461088608241
348.9,45.0461103389002
349,45.0461139320979
349.1,45.0461186413027
349.2,45.0461251840664
349.3,45.0461337187568
349.4,45.0461416808832
349.5,45.0461538868973
349.6,45.0461650579024
349.7,45.0461783143598
349.8,45.0461938415633
349.9,45.0462074693615
350,45.0462270488394
350.1,45.0462436021416
350.2,45.0462618531745
350.3,45.0462818122662
350.4,45.0462987265074
350.5,45.0463207916179
350.6,45.0463385502868
350.7,45.0463575086511
350.8,45.046377407166
350.9,45.0463934871012
351,45.0464128886917
351.1,45.0464278650797
351.2,45.0464430815112
351.3,45.0464579969769
351.4,45.0464692777263
351.5,45.0464823751987
351.6,45.046491548042
351.7,45.0465002822817
351.8,45.0465079810338
351.9,45.0465127608787
352,45.0465173994054
352.1,45.0465191651868
352.2,45.0465195821277
352.3,45.046518468639
352.4,45.0465165395542
352.5,45.0465114962505
352.6,45.0465059237257
352.7,45.0464980723231
352.8,45.0464876556867
352.9,45.0464782364532
353,45.0464642601187
353.1,45.0464517610364
353.2,45.0464373322251
353.3,45.0464206506903
353.4,45.046405725821
353.5,45.0463842359158
353.6,45.046366070355
353.7,45.0463457873354
353.8,45.0463233299496
353.9,45.0463043168626
354,45.0462791627672
354.1,45.0462579869869
354.2,45.0462351240942
354.3,45.0462108934261
354.4,45.0461908342675
354.5,45.0461649543445
354.6,45.0461440182409
354.7,45.0461216002684
354.8,45.0460978485594
354.9,45.0460782630165
355,45.0460531905216
355.1,45.0460327198405
355.2,45.0460106441515
355.3,45.0459871325581
355.4,45.0459677294493
355.5,45.0459426907723
355.6,45.0459226106638
355.7,45.045901096967
355.8,45.0458781560162
355.9,45.0458590695814
356,45.0458341118805
356.1,45.0458134349652
356.2,45.0457907416235
356.3,45.0457659965545
356.4,45.0457451205723
356.5,45.0457179090977
356.6,45.0456963341229
356.7,45.0456750114807
356.8,45.0456525932471
356.9,45.0456310708129
357,45.0456067313833
357.1,45.0455875427647
357.2,45.0455672040803
357.3,45.0455459020175
357.4,45.0455285679176
357.5,45.0455069086661
357.6,45.0454896902193
357.7,45.0454728134008
357.8,45.0454552798071
357.9,45.0454384223408
358,45.045420195364
358.1,45.0454066467674
358.2,45.0453929167704
358.3,45.0453793304992
358.4,45.0453689591072
358.5,45.0453561807579
358.6,45.0453473069135
358.7,45.0453397100214
358.8,45.04533373385
358.9,45.04532958122
359,45.0453265720909
359.1,45.0453256982984
359.2,45.0453262122875
359.3,45.0453288529277
359.4,45.0453330551594
359.5,45.0453384070567
359.6,45.04534413221
359.7,45.0453510214763
359.8,45.0453597462167
359.9,45.0453701325622
360,45.0453852279927
360.1,45.0453983260165
360.2,45.0454129780957
360.3,45.0454291768977
360.4,45.0454432265695
360.5,45.0454622561711
360.6,45.0454786579892
360.7,45.0454967548267
360.8,45.0455164066012
