Time,GPS_Heading
339.1,11.1630449295044
339.2,11.3634510040283
339.3,11.4842319488525
339.4,10.702052116394
339.5,10.9883460998535
339.6,11.4301061630249
339.7,11.8524551391602
339.8,12.1542816162109
339.9,12.3028621673584
340,12.815881729126
340.1,13.445484161377
340.2,14.3517389297485
340.3,15.5469779968262
340.4,16.5732364654541
340.5,18.5508441925049
340.6,20.4232883453369
340.7,22.8376979827881
340.8,25.7870864868164
340.9,28.1550178527832
341,31.0634250640869
341.1,34.1434707641602
341.2,37.2533302307129
341.3,40.2122421264648
341.4,42.8577423095703
341.5,45.9281806945801
341.6,48.6528663635254
341.7,51.5551338195801
341.8,54.5914192199707
341.9,57.1854820251465
342,60.5728073120117
342.1,63.4894790649414
342.2,66.5073547363281
342.3,69.2629241943359
342.4,70.934440612793
342.5,74.3319473266602
342.6,77.9746932983398
342.7,81.68310546875
342.8,85.0095291137695
342.9,87.4506378173828
343,90.915641784668
343.1,93.4204177856445
343.2,96.2523193359375
343.3,99.0554351806641
343.4,100.324058532715
343.5,102.055244445801
343.6,102.836296081543
343.7,103.555519104004
343.8,104.246536254883
343.9,104.525650024414
344,104.928321838379
344.1,105.169128417969
344.2,105.519607543945
344.3,105.962394714355
344.4,106.185371398926
344.5,106.868698120117
344.6,107.476501464844
344.7,108.314193725586
344.8,109.445671081543
344.9,110.440902709961
345,112.244415283203
345.1,114.259124755859
345.2,116.534141540527
345.3,118.924797058105
345.4,120.882606506348
345.5,123.475311279297
345.6,125.418014526367
345.7,127.750160217285
345.8,130.614501953125
345.9,133.044769287109
346,135.621170043945
346.1,139.181900024414
346.2,142.792572021484
346.3,146.07307434082
346.4,149.089279174805
346.5,153.812072753906
346.6,157.658477783203
346.7,161.269012451172
346.8,164.905227661133
346.9,168.694152832031
347,172.705795288086
347.1,177.015747070312
347.2,43.732593536377
347.3,-173.495056152344
347.4,-169.174179077148
347.5,-162.408584594727
347.6,-157.866607666016
347.7,-153.093002319336
347.8,-147.744094848633
347.9,-143.237243652344
348,-137.555114746094
348.1,-132.365539550781
348.2,-126.94945526123
348.3,-121.267593383789
348.4,-115.987899780273
348.5,-109.623046875
348.6,-104.670021057129
348.7,-99.6251907348633
348.8,-94.4413909912109
348.9,-90.0029830932617
349,-85.2426071166992
349.1,-80.8876342773438
349.2,-76.0747222900391
349.3,-71.2299652099609
349.4,-67.7722320556641
349.5,-63.1372413635254
349.6,-59.5927696228027
349.7,-55.6872215270996
349.8,-51.5868835449219
349.9,-48.6854248046875
350,-44.8120880126953
350.1,-42.4792709350586
350.2,-40.5610427856445
350.3,-39.0637893676758
350.4,-38.1020851135254
350.5,-37.796630859375
350.6,-38.30712890625
350.7,-39.2946968078613
350.8,-40.8103370666504
350.9,-42.4596672058105
351,-45.6057815551758
351.1,-48.0159568786621
351.2,-50.8285751342773
351.3,-54.0532493591309
351.4,-56.5567283630371
351.5,-59.465446472168
351.6,-62.1732864379883
351.7,-65.0705413818359
351.8,-68.3862915039062
351.9,-71.8860855102539
352,-75.8378601074219
352.1,-79.8847808837891
352.2,-84.4649124145508
352.3,-89.2489013671875
352.4,-93.0277938842773
352.5,-98.8008422851562
352.6,-102.999641418457
352.7,-108.327217102051
352.8,-114.576377868652
352.9,-118.696250915527
353,-123.630210876465
353.1,-127.805320739746
353.2,-132.367263793945
353.3,-137.391326904297
353.4,-141.851867675781
353.5,-148.294815063477
353.6,-152.746383666992
353.7,-157.383636474609
353.8,-162.087768554688
353.9,-165.31916809082
354,-168.684921264648
354.1,-171.113662719727
354.2,-172.407409667969
354.3,-172.542556762695
354.4,-172.986755371094
354.5,-170.611999511719
354.6,-168.688980102539
354.7,-166.384658813477
354.8,-163.607147216797
354.9,-161.289108276367
355,-158.473739624023
355.1,-156.668685913086
355.2,-155.011611938477
355.3,-153.462493896484
355.4,-152.264144897461
355.5,-151.056716918945
355.6,-149.551635742188
355.7,-148.009735107422
355.8,-146.823928833008
355.9,-146.276519775391
356,-146.239639282227
356.1,-146.731628417969
356.2,-147.638061523438
356.3,-149.042053222656
356.4,-150.548263549805
356.5,-152.357711791992
356.6,-153.457763671875
356.7,-154.246063232422
356.8,-154.8173828125
356.9,-155.48649597168
357,-156.785354614258
357.1,-158.478042602539
357.2,-161.144546508789
357.3,-164.363082885742
357.4,-166.215896606445
357.5,-169.915115356445
357.6,-173.191635131836
357.7,-176.305526733398
357.8,-130.696044921875
357.9,152.450622558594
358,169.882843017578
358.1,164.985794067383
358.2,159.615982055664
358.3,153.680068969727
358.4,148.308975219727
358.5,143.384582519531
358.6,138.469604492188
358.7,131.565200805664
358.8,123.045127868652
358.9,116.70671081543
359,108.270347595215
359.1,101.853332519531
359.2,95.0512619018555
359.3,87.2370452880859
359.4,79.5160751342773
359.5,74.5694046020508
359.6,70.2491989135742
359.7,65.3914947509766
359.8,59.6081123352051
359.9,53.3339004516602
360,45.0928573608398
360.1,39.5581436157227
360.2,34.8189926147461
360.3,30.8691959381104
360.4,27.803539276123
360.5,24.5941047668457
360.6,22.5474739074707
360.7,20.6214427947998
360.8,18.7720375061035
360.9,17.336275100708
361,15.7428207397461
361.1,14.9410858154297
361.2,14.5080146789551
361.3,14.520977973938
361.4,14.8450002670288
361.5,15.0371828079224
361.6,15.4406452178955
361.7,15.6154937744141
361.8,15.4250602722168
361.9,15.2222366333008
362,15.0103960037231
362.1,14.9571866989136
362.2,15.1821374893188
362.3,16.1005153656006
362.4,17.7272834777832
362.5,20.7313938140869
362.6,23.4821815490723
362.7,26.6287231445312
362.8,30.3015556335449
362.9,33.5714492797852
363,37.2014846801758
363.1,40.8112678527832
363.2,44.5735168457031
363.3,48.5647735595703
363.4,52.5850563049316
363.5,56.3976516723633
363.6,60.536808013916
363.7,64.6934432983398
363.8,68.9778442382812
363.9,74.1323394775391
364,80.5807952880859
364.1,85.5652313232422
364.2,89.8428573608398
364.3,93.6609802246094
364.4,97.6405792236328
364.5,102.521934509277
364.6,106.139114379883
364.7,109.88493347168
364.8,113.996002197266
364.9,117.461952209473
365,121.369476318359
365.1,124.161918640137
365.2,127.495109558105
365.3,131.012741088867
365.4,132.934112548828
365.5,135.24641418457
365.6,137.049285888672
365.7,138.638854980469
365.8,140.116012573242
365.9,141.659774780273
366,143.417251586914
366.1,144.562469482422
366.2,145.720504760742
366.3,146.969512939453
366.4,148.054214477539
366.5,149.523071289062
366.6,150.715927124023
366.7,151.911056518555
366.8,153.045700073242
366.9,153.907592773438
367,154.768768310547
367.1,155.890518188477
367.2,157.726684570312
367.3,160.418502807617
367.4,163.060806274414
367.5,164.469085693359
367.6,167.809722900391
367.7,170.95539855957
367.8,173.778854370117
367.9,178.641555786133
368,-124.145751953125
368.1,-172.836837768555
368.2,-168.382141113281
368.3,-163.128265380859
368.4,-157.186965942383
368.5,-150.354675292969
368.6,-144.429077148438
368.7,-137.211883544922
368.8,-129.360244750977
368.9,-124.077850341797
369,-115.112274169922
369.1,-107.753532409668
369.2,-100.910911560059
369.3,-94.5399551391602
369.4,-88.6799392700195
369.5,-82.5065155029297
369.6,-76.7543411254883
369.7,-70.2723083496094
369.8,-63.99169921875
369.9,-60.1145668029785
370,-54.9241752624512
370.1,-50.5315361022949
370.2,-45.6178665161133
370.3,-40.3846130371094
370.4,-36.2330932617188
370.5,-30.69993019104
370.6,-26.1253795623779
370.7,-22.1549530029297
370.8,-19.0345039367676
370.9,-17.3416194915771
371,-17.8672981262207
371.1,-19.3394088745117
371.2,-21.9951229095459
371.3,-25.2655487060547
371.4,-27.1837863922119
371.5,-32.1320037841797
371.6,-36.0123863220215
371.7,-40.4485282897949
371.8,-45.8850402832031
371.9,-51.2673454284668
372,-59.0421867370605
372.1,-64.9248275756836
372.2,-71.9363021850586
372.3,-80.3506164550781
372.4,-87.7368774414062
372.5,-93.694206237793
372.6,-100.373443603516
372.7,-107.344795227051
372.8,-113.754005432129
372.9,-118.732940673828
373,-124.959548950195
373.1,-129.98014831543
373.2,-135.206436157227
373.3,-140.252151489258
373.4,-143.834182739258
373.5,-148.279235839844
373.6,-150.599472045898
373.7,-153.447418212891
373.8,-157.383987426758
373.9,-160.845336914062
374,-164.844589233398
