Time,GPS_Nsat
339.1,16
339.2,16
339.3,16
339.4,16
339.5,15
339.6,16
339.7,16
339.8,16
339.9,16
340,16
340.1,15
340.2,15
340.3,15
340.4,15
340.5,16
340.6,16
340.7,16
340.8,16
340.9,16
341,16
341.1,16
341.2,16
341.3,16
341.4,16
341.5,16
341.6,15
341.7,16
341.8,15
341.9,15
342,16
342.1,16
342.2,16
342.3,16
342.4,16
342.5,15
342.6,16
342.7,16
342.8,16
342.9,16
343,16
343.1,16
343.2,16
343.3,16
343.4,16
343.5,16
343.6,16
343.7,16
343.8,16
343.9,16
344,16
344.1,16
344.2,16
344.3,16
344.4,16
344.5,16
344.6,16
344.7,16
344.8,16
344.9,16
345,16
345.1,16
345.2,16
345.3,16
345.4,16
345.5,16
345.6,16
345.7,16
345.8,16
345.9,16
346,16
346.1,16
346.2,16
346.3,16
346.4,16
346.5,16
346.6,16
346.7,16
346.8,16
346.9,16
347,16
347.1,16
347.2,16
347.3,16
347.4,16
347.5,16
347.6,16
347.7,16
347.8,16
347.9,16
348,16
348.1,16
348.2,16
348.3,16
348.4,16
348.5,16
348.6,16
348.7,16
348.8,16
348.9,16
349,16
349.1,16
349.2,16
349.3,16
349.4,16
349.5,16
349.6,16
349.7,16
349.8,16
349.9,16
350,16
350.1,16
350.2,16
350.3,16
350.4,16
350.5,16
350.6,16
350.7,16
350.8,16
350.9,16
351,16
351.1,16
351.2,16
351.3,16
351.4,16
351.5,16
351.6,16
351.7,16
351.8,16
351.9,16
352,16
352.1,16
352.2,16
352.3,16
352.4,16
352.5,16
352.6,16
352.7,16
352.8,16
352.9,16
353,16
353.1,16
353.2,16
353.3,16
353.4,16
353.5,16
353.6,16
353.7,16
353.8,16
353.9,16
354,16
354.1,16
354.2,16
354.3,16
354.4,16
354.5,16
354.6,16
354.7,16
354.8,16
354.9,16
355,16
355.1,16
355.2,16
355.3,16
355.4,16
355.5,16
355.6,16
355.7,16
355.8,16
355.9,16
356,16
356.1,16
356.2,16
356.3,16
356.4,16
356.5,16
356.6,16
356.7,16
356.8,16
356.9,16
357,16
357.1,16
357.2,16
357.3,16
357.4,16
357.5,16
357.6,16
357.7,16
357.8,16
357.9,16
358,16
358.1,16
358.2,16
358.3,16
358.4,16
358.5,16
358.6,16
358.7,16
358.8,16
358.9,16
359,16
359.1,16
359.2,16
359.3,16
359.4,16
359.5,16
359.6,16
359.7,16
359.8,16
359.9,16
360,16
360.1,16
360.2,16
360.3,16
360.4,16
360.5,16
360.6,16
360.7,16
360.8,15
360.9,15
361,16
361.1,16
361.2,16
361.3,16
361.4,16
361.5,16
361.6,15
361.7,16
361.8,15
361.9,15
362,15
362.1,15
362.2,15
362.3,15
362.4,15
362.5,15
362.6,15
362.7,15
362.8,15
362.9,15
363,15
363.1,15
363.2,15
363.3,15
363.4,15
363.5,15
363.6,15
363.7,15
363.8,15
363.9,15
364,15
364.1,15
364.2,15
364.3,15
364.4,15
364.5,15
364.6,15
364.7,15
364.8,15
364.9,15
365,15
365.1,15
365.2,15
365.3,15
365.4,15
365.5,15
365.6,15
365.7,15
365.8,15
365.9,15
366,15
366.1,15
366.2,15
366.3,15
366.4,15
366.5,15
366.6,15
366.7,15
366.8,15
366.9,15
367,15
367.1,15
367.2,15
367.3,15
367.4,15
367.5,15
367.6,15
367.7,15
367.8,15
367.9,15
368,15
368.1,15
368.2,15
368.3,15
368.4,15
368.5,15
368.6,15
368.7,15
368.8,15
368.9,15
369,15
369.1,15
369.2,15
369.3,15
369.4,15
369.5,15
369.6,15
369.7,15
369.8,15
369.9,15
370,15
370.1,15
370.2,15
370.3,15
370.4,15
370.5,15
370.6,15
370.7,15
370.8,15
370.9,15
371,15
371.1,15
371.2,15
371.3,15
371.4,15
371.5,15
371.6,15
371.7,15
371.8,15
371.9,15
372,15
372.1,15
372.2,15
372.3,15
372.4,15
372.5,15
372.6,15
372.7,15
372.8,15
372.9,15
373,16
373.1,16
373.2,16
373.3,16
373.4,16
373.5,16
373.6,16
373.7,15
373.8,15
373.9,15
374,15
374.1,15
374.2,15
374.3,15
374.4,15
374.5,15
374.6,16
374.7,16
374.8,16
374.9,16
375,16
375.1,16
375.2,16
375.3,16
375.4,16
375.5,16
375.6,16
375.7,16
375.8,16
375.9,16
376,16
376.1,16
376.2,16
376.3,16
376.4,16
376.5,16
376.6,16
376.7,16
376.8,16
376.9,16
377,16
377.1,16
377.2,16
377.3,16
377.4,16
377.5,16
377.6,16
377.7,16
377.8,16
377.9,16
378,16
378.1,16
378.2,16
378.3,16
378.4,16
378.5,16
378.6,16
378.7,16
378.8,16
378.9,16
379,16
379.1,16
379.2,16
379.3,16
379.4,16
379.5,16
379.6,16
379.7,16
379.8,16
379.9,16
380,16
380.1,16
380.2,16
380.3,16
380.4,16
380.5,16
380.6,16
380.7,16
380.8,16
380.9,16
381,16
381.1,16
381.2,16
381.3,16
381.4,16
381.5,16
381.6,16
381.7,16
381.8,16
381.9,16
382,16
382.1,16
382.2,16
382.3,16
382.4,16
382.5,16
382.6,16
382.7,16
382.8,16
382.9,16
383,16
383.1,16
383.2,16
383.3,16
383.4,16
383.5,16
383.6,16
383.7,16
383.8,16
383.9,16
384,16
384.1,16
384.2,16
384.3,16
384.4,16
384.5,16
384.6,16
384.7,15
384.8,16
384.9,16
385,16
385.1,16
385.2,16
385.3,16
385.4,16
385.5,16
385.6,16
385.7,16
385.8,16
385.9,16
386,16
386.1,16
386.2,16
386.3,16
386.4,16
386.5,16
386.6,16
386.7,16
386.8,16
386.9,16
387,16
387.1,15
387.2,16
387.3,16
387.4,16
387.5,15
387.6,16
387.7,16
387.8,16
387.9,16
388,16
388.1,16
388.2,16
388.3,15
388.4,15
388.5,15
388.6,16
388.7,15
388.8,15
