Time,GPS_Gyro
288.3,-0.44759863615036
288.4,-1.50424695014954
288.5,-1.98250555992126
288.6,-0.592188119888306
288.7,1.21199727058411
288.8,2.9763777256012
288.9,3.32720446586609
289,2.92191672325134
289.1,2.64426684379578
289.2,2.87185406684875
289.3,3.76383090019226
289.4,5.06980800628662
289.5,7.68440914154053
289.6,11.3435707092285
289.7,15.2285451889038
289.8,18.1954956054688
289.9,20.4357795715332
290,22.7747840881348
290.1,25.1915893554688
290.2,27.2834148406982
290.3,28.5986499786377
290.4,28.8727188110352
290.5,29.2661399841309
290.6,30.0823020935059
290.7,31.2413311004639
290.8,32.8585510253906
290.9,34.3561820983887
291,34.9694938659668
291.1,34.6293449401855
291.2,33.4300155639648
291.3,31.9372177124023
291.4,31.0536842346191
291.5,31.3972854614258
291.6,32.3056983947754
291.7,32.9439735412598
291.8,32.5076103210449
291.9,30.6190071105957
292,29.2495594024658
292.1,27.9175491333008
292.2,26.4165096282959
292.3,24.5755214691162
292.4,21.982349395752
292.5,18.7308673858643
292.6,16.3052825927734
292.7,13.9707717895508
292.8,11.4454851150513
292.9,8.62303733825684
293,5.82272052764893
293.1,3.53987002372742
293.2,2.23996686935425
293.3,2.17132449150085
293.4,2.65174746513367
293.5,3.16291642189026
293.6,3.73874711990356
293.7,4.61618232727051
293.8,6.01428318023682
293.9,7.83542251586914
294,9.29486846923828
294.1,11.0049133300781
294.2,13.5146560668945
294.3,17.4570999145508
294.4,22.3365669250488
294.5,25.8417491912842
294.6,27.4832553863525
294.7,27.4866161346436
294.8,26.4332675933838
294.9,25.3180503845215
295,24.8181629180908
295.1,25.1516780853271
295.2,26.6449699401855
295.3,29.3908519744873
295.4,32.5152778625488
295.5,34.1485710144043
295.6,34.894100189209
295.7,35.2404136657715
295.8,35.6044692993164
295.9,35.99462890625
296,36.1508407592773
296.1,36.6962738037109
296.2,37.9035949707031
296.3,39.6685371398926
296.4,40.5041770935059
296.5,42.4049911499023
296.6,45.1546287536621
296.7,47.466136932373
296.8,48.0400657653809
296.9,48.0862579345703
297,49.5148811340332
297.1,52.521183013916
297.2,55.9212417602539
