Time,ECEF_position_Y
389.016,950055.15
389.155,950055.51
389.266,950055.81
389.405,950056.03
389.516,950056.17
389.655,950056.31
389.766,950056.42
389.905,950056.45
390.016,950056.53
390.155,950056.75
390.266,950057.11
390.405,950057.71
390.516,950058.52
390.655,950059.56
390.766,950060.75
390.904,950062.14
391.016,950063.98
391.154,950065.95
391.266,950068.19
391.404,950070.51
391.516,950073.14
391.654,950075.99
391.766,950079.17
391.904,950082.34
392.016,950085.6
392.154,950088.92
392.266,950092.36
392.404,950096.15
392.516,950099.93
392.654,950103.74
392.766,950107.58
392.904,950111.44
393.016,950115.49
393.154,950119.4
393.266,950123.29
393.404,950127.25
393.516,950131.21
393.654,950135.19
393.766,950139.2
393.904,950143.21
394.016,950147.23
394.154,950151.25
394.266,950155.29
394.404,950159.32
394.516,950163.35
394.654,950167.33
394.766,950171.3
394.904,950175.18
395.016,950178.99
395.154,950182.7
395.266,950186.33
395.404,950189.85
395.516,950193.15
395.654,950196.29
395.766,950199.24
395.904,950201.96
396.016,950204.41
396.154,950206.66
396.266,950208.65
396.404,950210.4
396.516,950211.84
396.654,950213.03
396.766,950213.84
396.904,950214.46
397.016,950214.71
397.154,950214.62
397.266,950214.19
397.404,950213.51
397.516,950212.51
397.654,950211.2
397.766,950209.69
397.904,950207.97
398.016,950206.06
398.154,950203.88
398.266,950201.45
398.404,950198.96
398.516,950196.31
398.654,950193.56
398.766,950190.71
398.904,950187.78
399.016,950184.91
399.154,950182.02
399.266,950179.1
399.404,950176.25
399.516,950173.46
399.654,950170.74
399.766,950168.07
399.904,950165.54
400.016,950163.08
400.154,950160.64
400.266,950158.19
400.404,950155.71
400.516,950153.14
400.654,950150.46
400.766,950147.65
400.904,950144.7
401.016,950141.69
401.154,950138.66
401.266,950135.63
401.404,950132.6
401.516,950129.62
401.653,950126.67
401.766,950123.82
401.903,950121.01
402.016,950118.33
402.153,950115.7
402.266,950113.18
402.403,950110.74
402.516,950108.43
402.653,950106.24
402.766,950104.19
402.903,950102.24
403.016,950100.46
403.153,950099.01
403.266,950097.71
403.403,950096.85
403.516,950096.01
403.653,950095.64
403.766,950095.51
403.903,950095.72
404.016,950095.96
404.153,950096.09
404.266,950096.18
404.403,950096.16
404.516,950095.94
404.653,950095.38
404.766,950094.88
404.903,950094.14
405.016,950093.1
405.153,950091.95
405.266,950090.7
405.403,950089.36
405.516,950087.88
405.653,950086.36
405.766,950084.81
405.903,950083.3
406.016,950081.87
406.153,950080.56
406.266,950079.35
406.403,950078.16
406.516,950077.1
406.653,950076.11
406.766,950075.17
406.903,950074.38
407.016,950073.74
407.153,950073.29
407.266,950073.11
407.403,950073.05
407.516,950073.25
407.653,950073.68
407.766,950074.29
407.903,950075.18
408.016,950076.28
408.153,950077.55
