Time,ECEF_position_X
424.016,4412920.23
424.151,4412922.22
424.266,4412924.24
424.401,4412926.26
424.516,4412928.35
424.651,4412930.4
424.766,4412932.45
424.901,4412934.46
425.016,4412936.42
425.151,4412938.22
425.266,4412939.99
425.401,4412941.61
425.516,4412943.15
425.651,4412944.49
425.766,4412945.64
425.901,4412946.54
426.016,4412947.26
426.151,4412947.78
426.266,4412948.19
426.401,4412948.56
426.516,4412948.83
426.651,4412949.06
426.766,4412949.33
426.901,4412949.65
427.016,4412950.08
427.151,4412950.51
427.266,4412951.03
427.401,4412951.68
427.516,4412952.5
427.651,4412953.36
427.766,4412954.22
427.901,4412955.15
428.016,4412956.29
428.151,4412957.4
428.266,4412958.59
428.401,4412959.83
428.516,4412961.08
428.651,4412962.34
428.766,4412963.51
428.901,4412964.68
429.016,4412965.73
429.151,4412966.72
429.266,4412967.56
429.401,4412968.32
429.516,4412969
429.651,4412969.49
429.766,4412969.89
429.901,4412970.17
430.016,4412970.34
430.151,4412970.43
430.266,4412970.38
430.401,4412970.22
430.516,4412969.92
430.651,4412969.57
430.766,4412969.13
430.901,4412968.65
431.016,4412968.11
431.151,4412967.54
431.266,4412966.94
431.401,4412966.33
431.516,4412965.72
431.651,4412965.1
431.766,4412964.57
431.901,4412964.14
432.016,4412963.75
432.151,4412963.52
432.266,4412963.44
432.401,4412963.38
432.516,4412963.51
432.651,4412963.81
432.766,4412964.26
432.901,4412964.93
433.016,4412965.89
433.151,4412966.95
433.266,4412968.23
433.401,4412969.51
433.516,4412970.9
433.65,4412972.22
433.766,4412973.48
433.9,4412974.58
434.016,4412975.51
434.15,4412976.27
434.266,4412976.83
434.4,4412977.21
434.516,4412977.36
434.65,4412977.27
434.766,4412977.01
434.9,4412976.55
435.016,4412975.83
435.15,4412974.89
435.266,4412973.81
435.4,4412972.52
435.516,4412971.03
435.65,4412969.41
435.766,4412967.67
435.9,4412965.89
436.016,4412963.96
436.15,4412961.86
436.266,4412959.63
436.4,4412957.31
436.516,4412954.96
436.65,4412952.55
436.766,4412950.15
436.9,4412947.72
437.016,4412945.3
437.15,4412942.82
437.266,4412940.37
437.4,4412937.87
437.516,4412935.32
437.65,4412932.76
437.766,4412930.14
437.9,4412927.51
438.016,4412924.9
438.15,4412922.28
438.266,4412919.55
438.4,4412916.78
438.516,4412914
438.65,4412911.18
438.766,4412908.38
438.9,4412905.52
439.016,4412902.72
439.15,4412899.87
439.266,4412897.02
439.4,4412894.14
