Time,Logger_Temperature
1.039,13.1953125
2.089,13.1953125
3.139,13.1953125
3.589,13.1953125
4.639,13.1953125
5.739,13.1953125
6.789,13.1953125
7.839,13.1953125
8.889,13.1953125
9.939,13.1953125
10.989,13.1953125
12.039,13.1953125
13.089,13.1953125
14.139,13.1953125
15.189,13.1953125
16.239,13.1953125
17.289,13.1953125
18.339,13.1953125
19.389,13.1953125
20.439,13.1953125
21.489,13.1953125
22.539,13.1953125
23.589,13.1953125
24.639,13.1953125
25.689,13.1953125
26.739,13.1953125
27.789,13.1953125
28.839,13.1953125
29.889,13.09375
30.939,13.1953125
31.989,13.1953125
33.039,13.1953125
34.089,13.09375
35.139,13.09375
36.189,13.09375
37.239,13
38.289,13.09375
39.339,13.09375
40.389,13
41.439,13
42.489,13.09375
43.539,13
44.589,13
45.639,13
46.689,13
47.739,13
48.789,13
49.839,12.8984375
50.889,13.09375
51.939,12.8984375
52.989,12.8984375
54.039,12.8984375
55.089,12.8984375
56.139,12.8984375
57.189,12.796875
58.239,12.796875
59.289,12.796875
60.339,12.796875
61.389,12.796875
62.439,12.796875
63.489,12.796875
64.539,12.6953125
65.589,12.6953125
66.639,12.6953125
67.689,12.6953125
68.739,12.6953125
69.789,12.6953125
70.839,12.59375
71.889,12.6953125
72.939,12.5
73.989,12.5
75.039,12.5
76.089,12.5
77.139,12.5
78.189,12.5
79.239,12.5
80.289,12.3984375
81.339,12.3984375
