Time,AccelerometerZ
539.605,-0.84423828125
539.615,-0.9765625
539.625,-1.0703125
539.635,-1.1337890625
539.645,-1.22265625
539.655,-1.3583984375
539.657,-1.548828125
539.667,-1.4619140625
539.677,-1.2490234375
539.687,-1.001953125
539.697,-0.8095703125
539.707,-0.70556640625
539.717,-0.68115234375
539.727,-0.71630859375
539.737,-0.78173828125
539.747,-0.84716796875
539.757,-0.88623046875
539.767,-0.884765625
539.777,-0.853515625
539.787,-0.83740234375
539.797,-0.8740234375
539.807,-0.9619140625
539.817,-1.076171875
539.827,-1.1943359375
539.837,-1.3046875
539.846,-1.4658203125
539.856,-1.474609375
539.866,-1.3984375
539.876,-1.2490234375
539.886,-1.0869140625
539.896,-0.97509765625
539.906,-0.931640625
539.916,-0.92529296875
539.926,-0.90869140625
539.936,-0.8603515625
539.946,-0.79248046875
539.956,-0.7216796875
539.966,-0.65087890625
539.976,-0.57373046875
539.986,-0.483154296875
539.996,-0.366455078125
540.006,-0.2171630859375
540.016,-0.0487060546875
540.026,0.098388671875
540.035,0.161376953125
540.045,0.07513427734375
540.055,-0.1773681640625
540.065,-0.53759765625
540.075,-0.91455078125
540.085,-1.2294921875
540.095,-1.4375
540.105,-1.52734375
540.115,-1.5166015625
540.125,-1.4326171875
540.135,-1.283203125
540.145,-1.0712890625
540.155,-0.84765625
540.165,-0.69970703125
540.175,-0.6787109375
540.185,-0.7607421875
540.195,-0.86767578125
540.205,-0.92138671875
540.215,-0.892578125
540.225,-0.79931640625
540.234,-0.68115234375
540.244,-0.57861328125
540.254,-0.51806640625
540.264,-0.52587890625
540.274,-0.6328125
540.284,-0.8291015625
540.294,-1.0390625
540.304,-1.171875
540.314,-1.1904296875
540.324,-1.12109375
540.334,-1.0263671875
540.344,-0.94873046875
540.354,-0.87451171875
540.364,-0.76416015625
540.374,-0.611328125
540.384,-0.45947265625
540.394,-0.365234375
540.404,-0.351806640625
540.414,-0.39599609375
540.424,-0.457763671875
540.428,-1.224609375
540.438,-1.359375
540.448,-1.39453125
540.458,-1.349609375
540.468,-1.255859375
540.478,-1.126953125
540.488,-0.95556640625
540.498,-0.7646484375
540.508,-0.61669921875
540.518,-0.57177734375
540.528,-0.6337890625
540.538,-0.75048828125
540.548,-0.8564453125
540.558,-0.92041015625
540.568,-0.95361328125
540.578,-0.98583984375
540.586,-1.0224609375
540.596,-1.0234375
540.606,-0.9462890625
540.616,-0.8095703125
540.626,-0.68896484375
540.636,-0.64794921875
540.646,-0.6787109375
540.656,-0.7236328125
540.666,-0.7490234375
540.676,-0.77099609375
540.686,-0.81005859375
540.696,-0.8505859375
540.706,-0.8486328125
540.716,-0.783203125
540.726,-0.6865234375
540.736,-0.62158203125
540.746,-0.630859375
540.756,-0.70654296875
540.766,-0.8056640625
540.776,-0.89892578125
540.785,-0.98681640625
540.795,-1.078125
540.805,-1.1552734375
540.815,-1.16796875
540.825,-1.078125
540.835,-0.90234375
540.845,-0.7119140625
540.855,-0.5908203125
540.865,-0.56591796875
540.875,-0.5927734375
540.885,-0.61181640625
540.895,-0.60693359375
540.905,-0.6103515625
540.915,-0.6513671875
540.925,-0.71044921875
540.935,-0.7373046875
540.945,-0.7109375
540.955,-0.66943359375
540.965,-0.6689453125
540.975,-0.72265625
540.984,-0.796875
540.994,-0.849609375
541.004,-0.87353515625
541.014,-0.90185546875
541.024,-0.97607421875
541.034,-1.0869140625
541.044,-1.173828125
541.054,-1.1826171875
541.064,-1.111328125
541.074,-1.005859375
541.084,-0.91162109375
541.094,-0.83837890625
541.104,-0.75634765625
541.114,-0.63818359375
541.124,-0.5048828125
541.134,-0.39697265625
541.144,-0.3203125
541.154,-0.25146484375
541.164,-0.1817626953125
541.174,-0.1417236328125
541.178,-0.74658203125
541.188,-0.7998046875
541.198,-0.83837890625
541.208,-0.88037109375
541.218,-0.90869140625
541.228,-0.9033203125
541.238,-0.87841796875
541.248,-0.87255859375
541.258,-0.9130859375
541.268,-0.9814453125
541.278,-1.015625
541.288,-0.96484375
541.298,-0.8408203125
541.308,-0.70751953125
541.318,-0.62451171875
541.328,-0.5986328125
541.336,-0.5927734375
541.346,-0.58251953125
541.356,-0.59033203125
541.366,-0.662109375
541.376,-0.81640625
541.386,-1.0126953125
541.396,-1.1826171875
541.406,-1.2841796875
541.416,-1.3193359375
541.426,-1.2998046875
541.436,-1.2412109375
541.446,-1.1484375
541.456,-1.0234375
541.466,-0.89111328125
541.476,-0.80078125
541.486,-0.7763671875
541.496,-0.7861328125
541.506,-0.78857421875
541.516,-0.77294921875
541.526,-0.75830078125
541.535,-0.7734375
541.545,-0.83349609375
541.555,-0.900390625
541.565,-0.91064453125
541.575,-0.849609375
541.585,-0.77392578125
541.595,-0.74365234375
541.605,-0.7578125
541.615,-0.78173828125
541.625,-0.80322265625
541.635,-0.828125
541.645,-0.873046875
541.655,-0.9541015625
541.665,-1.0400390625
541.675,-1.060546875
541.685,-0.98193359375
541.695,-0.83837890625
541.705,-0.70068359375
541.715,-0.62841796875
541.725,-0.62890625
541.734,-0.65966796875
541.744,-0.67041015625
541.754,-0.658203125
541.764,-0.67236328125
541.774,-0.74267578125
541.784,-0.828125
541.794,-0.8681640625
541.804,-0.849609375
541.814,-0.81103515625
541.824,-0.80615234375
541.834,-0.85888671875
541.844,-0.93359375
541.854,-0.95751953125
541.864,-0.8935546875
541.874,-0.78955078125
541.884,-0.7080078125
541.894,-0.65185546875
541.904,-0.5927734375
541.914,-0.53173828125
541.924,-0.49951171875
541.928,-0.7919921875
541.938,-0.6884765625
