Time,GPS_Speed
82.3,31.3855113983154
82.4,31.4692611694336
82.5,31.5303611755371
82.6,31.6175498962402
82.7,31.7523517608643
82.8,31.7932147979736
82.9,31.8693981170654
83,31.8997001647949
83.1,31.9094982147217
83.2,31.981616973877
83.3,31.8732757568359
83.4,31.8898468017578
83.5,32.0696220397949
83.6,32.2802505493164
83.7,32.2801551818848
83.8,32.4227409362793
83.9,32.2634086608887
84,32.0313453674316
84.1,31.8178195953369
84.2,31.669828414917
84.3,31.5228939056396
84.4,31.4526748657227
84.5,31.4260215759277
84.6,31.4177742004395
84.7,31.3890514373779
84.8,31.6488780975342
84.9,31.7362403869629
85,31.5380706787109
85.1,31.135721206665
85.2,30.8275299072266
85.3,30.5830039978027
85.4,30.5920734405518
85.5,30.5604305267334
85.6,30.495532989502
85.7,30.5388774871826
85.8,30.6588115692139
85.9,30.656831741333
86,30.7440776824951
86.1,30.9197254180908
86.2,31.048698425293
86.3,30.8848972320557
86.4,30.9620494842529
86.5,31.0277462005615
86.6,31.0773792266846
86.7,31.207160949707
86.8,31.3382205963135
86.9,31.4353466033936
87,31.5381031036377
87.1,31.6626625061035
87.2,31.8060646057129
87.3,31.9425601959229
87.4,32.084041595459
87.5,32.2085647583008
87.6,32.2825698852539
87.7,32.2932739257812
87.8,31.980785369873
87.9,31.4881000518799
88,31.0461940765381
88.1,30.6345863342285
88.2,30.1165924072266
88.3,29.482551574707
88.4,29.0269374847412
88.5,28.7697792053223
88.6,28.7058334350586
88.7,28.6976757049561
88.8,28.2020492553711
88.9,27.7182102203369
89,27.187858581543
89.1,26.6487216949463
89.2,26.1871738433838
89.3,25.5974540710449
89.4,25.0641536712646
89.5,24.506799697876
89.6,23.954927444458
89.7,23.4812393188477
89.8,23.2003192901611
89.9,22.9472332000732
90,22.6443691253662
90.1,22.2772521972656
90.2,21.8923244476318
90.3,21.3283538818359
90.4,20.8579196929932
90.5,20.484167098999
90.6,20.1522617340088
90.7,19.7485065460205
90.8,19.2364883422852
90.9,18.9894199371338
91,18.8200073242188
91.1,18.5992469787598
91.2,18.2260303497314
91.3,17.8908710479736
91.4,17.6695365905762
91.5,17.3413639068604
91.6,17.0221004486084
91.7,16.9720726013184
91.8,17.166166305542
91.9,17.42333984375
92,17.7028293609619
92.1,18.0159645080566
92.2,18.37571144104
92.3,18.7865676879883
92.4,18.9943065643311
92.5,19.3005847930908
92.6,19.6632213592529
92.7,19.8819313049316
92.8,20.359317779541
92.9,20.7073917388916
93,21.0425548553467
93.1,21.3846759796143
93.2,21.7188396453857
93.3,22.0917987823486
93.4,22.4707584381104
93.5,22.8353805541992
93.6,23.1631679534912
93.7,23.4505462646484
93.8,23.9573879241943
93.9,24.3774356842041
94,24.8115615844727
94.1,25.2675361633301
94.2,25.7081165313721
94.3,26.0774631500244
94.4,26.4143714904785
94.5,26.7686576843262
94.6,27.1091384887695
94.7,27.3759174346924
94.8,27.3485374450684
94.9,26.918306350708
95,26.3657855987549
95.1,25.8137969970703
95.2,25.3478965759277
95.3,24.8903999328613
95.4,24.3647441864014
95.5,23.8229961395264
95.6,23.2842578887939
95.7,22.7576942443848
