Time,Int_Batt_Voltage
238.839,3.97000026702881
239.889,3.97000026702881
240.939,3.96800017356873
241.989,3.97000026702881
243.039,3.97000026702881
244.089,3.97000026702881
245.139,3.97000026702881
246.189,3.97000026702881
247.239,3.97000026702881
248.289,3.97000026702881
249.339,3.97000026702881
250.389,3.97000026702881
251.439,3.97200012207031
252.489,3.96800017356873
253.539,3.97000026702881
254.589,3.97000026702881
255.639,3.97000026702881
256.689,3.95000028610229
257.739,3.95000028610229
258.789,3.95000028610229
259.839,3.95000028610229
260.889,3.94800019264221
261.939,3.94800019264221
262.989,3.94800019264221
264.039,3.95000028610229
265.089,3.94800019264221
266.139,3.94800019264221
267.189,3.94800019264221
268.239,3.94800019264221
269.289,3.94600009918213
270.339,3.94600009918213
271.389,3.94800019264221
272.439,3.94600009918213
273.489,3.94600009918213
274.539,3.94800019264221
275.589,3.94800019264221
276.639,3.94800019264221
277.689,3.94600009918213
278.739,3.94800019264221
279.789,3.94800019264221
280.839,3.94800019264221
281.889,3.94800019264221
282.939,3.94800019264221
283.989,3.94600009918213
285.039,3.94800019264221
286.089,3.94600009918213
287.139,3.94800019264221
288.189,3.94800019264221
