Time,AccelerometerX
0.227,-0.57666015625
0.237,-0.5771484375
0.247,-0.5771484375
0.257,-0.5732421875
0.267,-0.5634765625
0.277,-0.548828125
0.287,-0.529296875
0.297,-0.505859375
0.307,-0.484375
0.317,-0.467041015625
0.327,-0.44873046875
0.337,-0.427978515625
0.347,-0.4091796875
0.357,-0.3994140625
0.367,-0.4072265625
0.377,-0.43505859375
0.387,-0.474853515625
0.397,-0.509765625
0.407,-0.5244140625
0.417,-0.51220703125
0.427,-0.482421875
0.437,-0.452392578125
0.447,-0.433349609375
0.457,-0.423828125
0.467,-0.41650390625
0.477,-0.405029296875
0.487,-0.389404296875
0.497,-0.37548828125
0.507,-0.372314453125
0.517,-0.382568359375
0.527,-0.39306640625
0.537,-0.388671875
0.547,-0.3740234375
0.557,-0.363525390625
0.567,-0.35498046875
0.577,-0.343505859375
0.587,-0.3369140625
0.597,-0.33740234375
0.607,-0.33447265625
0.617,-0.328857421875
0.621,-0.382568359375
0.631,-0.3759765625
0.641,-0.347412109375
0.651,-0.309814453125
0.661,-0.274658203125
0.671,-0.263427734375
0.681,-0.29150390625
0.691,-0.333984375
0.701,-0.352783203125
0.711,-0.339599609375
0.721,-0.30322265625
0.731,-0.261962890625
0.741,-0.2493896484375
0.751,-0.28857421875
0.761,-0.358642578125
0.771,-0.43359375
0.779,-0.513671875
0.789,-0.59521484375
0.799,-0.6640625
0.809,-0.7080078125
0.819,-0.69921875
0.829,-0.62109375
0.839,-0.5078125
0.849,-0.4013671875
0.859,-0.321044921875
0.869,-0.279296875
0.879,-0.27685546875
0.889,-0.290283203125
0.899,-0.2958984375
0.909,-0.298828125
0.919,-0.340087890625
0.929,-0.458740234375
0.939,-0.62744140625
0.949,-0.78955078125
0.959,-0.95068359375
0.969,-1.1318359375
0.978,-1.29296875
0.988,-1.392578125
0.998,-1.4248046875
1.008,-1.3896484375
1.018,-1.275390625
1.028,-1.0595703125
1.038,-0.7392578125
1.048,-0.358154296875
1.058,0.0111465454101562
1.068,0.31201171875
1.078,0.51123046875
1.088,0.60888671875
1.098,0.61669921875
1.108,0.53125
1.118,0.3818359375
1.128,0.2442626953125
1.138,0.1597900390625
1.148,0.120849609375
1.158,0.132080078125
1.168,0.1893310546875
