Time,Int_Batt_Voltage
1.039,3.96600008010864
2.089,3.96000027656555
3.139,3.96000027656555
3.589,3.95800018310547
4.639,3.98600029945374
5.739,3.98600029945374
6.789,3.98600029945374
7.839,3.98600029945374
8.889,3.98600029945374
9.939,3.98800015449524
10.989,3.98600029945374
12.039,3.98400020599365
13.089,3.98600029945374
14.139,3.98600029945374
15.189,3.98400020599365
16.239,3.98400020599365
17.289,3.98600029945374
18.339,3.98600029945374
19.389,3.98400020599365
20.439,3.98400020599365
21.489,3.98400020599365
22.539,3.98400020599365
23.589,3.98400020599365
24.639,3.98400020599365
25.689,3.98400020599365
26.739,3.98400020599365
27.789,3.98400020599365
28.839,3.98400020599365
29.889,3.98400020599365
30.939,3.98400020599365
31.989,3.98400020599365
33.039,3.98400020599365
34.089,3.98400020599365
35.139,3.98400020599365
36.189,3.98200011253357
37.239,3.98200011253357
38.289,3.98200011253357
39.339,3.98200011253357
40.389,3.98200011253357
41.439,3.98200011253357
42.489,3.98000025749207
43.539,3.98000025749207
44.589,3.98000025749207
45.639,3.98000025749207
46.689,3.98200011253357
47.739,3.98000025749207
48.789,3.98000025749207
49.839,3.98000025749207
50.889,3.98000025749207
51.939,3.98200011253357
52.989,3.98200011253357
54.039,3.98200011253357
55.089,3.98000025749207
56.139,3.98000025749207
57.189,3.98200011253357
58.239,3.98200011253357
59.289,3.98000025749207
60.339,3.98000025749207
61.389,3.98200011253357
62.439,3.98000025749207
63.489,3.98000025749207
64.539,3.98000025749207
65.589,3.98000025749207
66.639,3.98000025749207
67.689,3.98200011253357
68.739,3.98000025749207
69.789,3.98000025749207
70.839,3.98000025749207
71.889,3.98200011253357
72.939,3.98000025749207
73.989,3.98000025749207
75.039,3.98000025749207
76.089,3.98000025749207
77.139,3.98000025749207
78.189,3.98000025749207
79.239,3.98000025749207
80.289,3.98000025749207
81.339,3.97800016403198
