Time,GyroX
0.227,15.9200010299683
0.237,-106.330001831055
0.247,-251.440017700195
0.257,-13.7900009155273
0.267,6.68000030517578
0.277,11.2300004959106
0.287,-6.37000036239624
0.297,-14.2800006866455
0.307,-9.03000068664551
0.317,-0.490000009536743
0.327,-0.770000040531158
0.337,-18.0900001525879
0.347,-28.5900020599365
0.357,-32.620002746582
0.367,-46.9000015258789
0.377,-54.6000022888184
0.387,-30.4500007629395
0.397,-24.0100002288818
0.407,-37.2400016784668
0.417,-33.4600028991699
0.427,-27.2600021362305
0.437,-26.1100006103516
0.447,-29.9200019836426
0.457,-9.41000080108643
0.467,7.1700005531311
0.477,1.99000012874603
0.487,-10.3900003433228
0.497,-8.1200008392334
0.507,3.29000020027161
0.517,6.75000047683716
0.527,-0.100000001490116
0.537,49.2100028991699
0.547,78.6800003051758
0.557,50.8200035095215
0.567,13.5100002288818
0.577,33
0.587,31.2900009155273
0.597,-14.0300006866455
0.607,28.8000011444092
0.617,61.3500022888184
0.621,-42.5900001525879
0.631,1.4300000667572
0.641,33.7400016784668
0.651,-13.4400005340576
0.661,-53.6500015258789
0.671,1.96000003814697
0.681,-34.7200012207031
0.691,-13.3300008773804
0.701,32.2300033569336
0.711,37.2400016784668
0.721,-23.1000003814697
0.731,-29.7800006866455
0.741,5.91000032424927
0.751,-64.7800064086914
0.761,-41.1900024414062
0.771,21.7000007629395
0.779,5.91000032424927
0.789,-64.4000015258789
0.799,-18.8300018310547
0.809,-48.2600021362305
0.819,-45.0800018310547
0.829,33.1400032043457
0.839,51.1300010681152
0.849,9.17000007629395
0.859,11.2300004959106
0.869,9.38000011444092
0.879,34.9600028991699
0.889,25.7900009155273
0.899,18.9700012207031
0.909,-26.6700019836426
0.919,6.47000026702881
0.929,-46.6900024414062
0.939,38.8800010681152
0.949,1.6100001335144
0.959,50.8900032043457
0.969,38.5300025939941
0.978,-45.4600028991699
0.988,-7.21000051498413
0.998,15.6400003433228
1.008,-1.85000014305115
1.018,-22.9900016784668
1.028,-45.6400032043457
1.038,-2.90000009536743
1.048,12.4200010299683
1.058,-5.1100001335144
1.068,46.6500015258789
1.078,-33.4200019836426
1.088,-51.8000030517578
1.098,8.22000026702881
1.108,-16.310001373291
1.118,-60.9000015258789
1.128,-70.1000061035156
1.138,3.95000028610229
1.148,22.4700012207031
1.158,-6.16000032424927
1.168,44.3400039672852
1.177,-52.3900032043457
1.187,-41.0900001525879
1.197,52.1100006103516
1.207,63.7000045776367
1.217,30.8000011444092
1.227,-11.3000001907349
1.237,61.9500045776367
1.247,84.8400039672852
1.257,65.5200042724609
1.267,10.7800006866455
1.277,-56.4500045776367
1.287,26.4200019836426
1.297,50.5700035095215
1.307,33.2100028991699
1.317,-72.6900024414062
1.327,-43.120002746582
1.337,30.1300010681152
1.347,38.8800010681152
1.357,-65.1300048828125
1.367,-93.8000030517578
1.372,10.5300006866455
1.382,35.0300025939941
1.392,10.710000038147
1.402,-62.9600028991699
1.412,-8.53999996185303
1.422,42.9400024414062
1.432,35.2100028991699
1.442,-20.6500015258789
1.452,-10.8800001144409
1.462,27.8900012969971
1.472,31.7400016784668
1.482,-28.8400020599365
1.492,-17.5700016021729
1.502,31.3900012969971
1.512,26.3200016021729
1.522,-8.96000003814697
1.529,-10.2200002670288
1.539,37.9700012207031
1.549,2.24000000953674
1.559,6.44000053405762
1.569,-1.40000009536743
1.579,37.1700019836426
1.589,-13.8200006484985
1.599,16.6900005340576
1.609,28.3500022888184
1.619,34.5400009155273
1.629,-28.3500022888184
1.639,7.10000038146973
1.649,15.3300008773804
1.659,-11.3700008392334
1.669,-39.9700012207031
1.679,-4.69000005722046
1.689,-5.91000032424927
1.699,-55.0900039672852
1.709,-49.3500022888184
1.719,-26.3500003814697
1.728,-21.3800010681152
1.738,-82.7400054931641
1.748,-28.8400020599365
1.758,-26.980001449585
1.768,-36.5400009155273
1.778,-67.6500015258789
1.788,-24.0800018310547
1.798,6.47000026702881
1.808,-33.560001373291
1.818,0.980000019073486
1.828,-9.69000053405762
1.838,26.8400020599365
1.848,-16.6900005340576
1.858,15.0100011825562
1.868,20.8200016021729
1.878,10.1800003051758
1.888,13.7900009155273
1.898,20.7500019073486
1.908,20.0200004577637
1.918,7.94000053405762
1.927,28.9100017547607
1.937,22.8200016021729
1.947,-2.59000015258789
1.957,8.75
1.967,14.7700004577637
1.977,36.120002746582
1.987,-8.40000057220459
1.997,21.6600017547607
2.007,50.2200012207031
2.017,10.4300003051758
2.027,-3.74000024795532
2.037,18.0200004577637
2.047,50.5000038146973
2.057,8.82000064849854
2.067,19.810001373291
2.077,49.8400039672852
2.087,14.3800010681152
2.097,-49.9400024414062
2.107,17.1500015258789
2.117,53.060001373291
2.12,-52.2900009155273
2.13,-28.4900016784668
2.14,43.8900032043457
2.15,35.560001373291
2.16,2.41000008583069
2.17,45.4600028991699
2.18,57.5000038146973
2.19,-20.9300003051758
2.2,-40.4200019836426
2.21,19
2.22,19.980001449585
2.23,-21.0700016021729
2.24,15.2600011825562
2.25,73.6700057983398
2.26,70.0300064086914
2.27,-9.97000026702881
2.279,-3.99000024795532
2.289,27.6100006103516
2.299,-0.170000001788139
2.309,-80.25
2.319,59.5000038146973
2.329,22.4000015258789
2.339,-7.52000045776367
2.349,7.73000049591064
2.359,9.52000045776367
2.369,7.38000011444092
2.379,-56.5200042724609
2.389,66.9900054931641
2.399,57.0500030517578
2.409,-18.9000015258789
2.419,3.3600001335144
2.429,38.0400009155273
2.439,4.13000011444092
2.449,-25.6500015258789
2.459,39.060001373291
2.469,31.6700019836426
2.478,-21.1000003814697
2.488,9.3100004196167
2.498,67.6500015258789
2.508,-0.980000019073486
2.518,10.1100006103516
2.528,68.7700042724609
2.538,-7.28000020980835
2.548,-22.2200012207031
2.558,9.10000038146973
2.568,21.6300010681152
2.578,-24.2900009155273
2.588,20.5400009155273
2.598,50.3600006103516
2.608,-3.53000020980835
2.618,-7.21000051498413
2.628,43.9600028991699
2.638,-26.2500019073486
2.648,-73.6000061035156
2.658,46.3000030517578
2.668,28.310001373291
2.673,15.8200006484985
2.683,81.7600021362305
2.693,14.3800010681152
2.703,-19.6000003814697
2.713,80.1800003051758
2.723,24.9500007629395
2.733,-58.620002746582
2.743,51.310001373291
2.753,77.2800064086914
2.763,-10.9900007247925
2.773,-11.0200004577637
2.783,48.3300018310547
2.793,-74.2300033569336
2.803,-60.8300018310547
2.813,49.9400024414062
2.823,26.0000019073486
2.837,-14.5200004577637
2.847,-10.8800001144409
2.857,-16.9000015258789
2.867,-67.7600021362305
2.877,12.9100008010864
2.887,23.1000003814697
2.897,16.2700004577637
2.907,-8.96000003814697
2.917,-0.310000002384186
2.927,-60.3000030517578
2.937,-38.0100021362305
2.947,41.8600006103516
2.957,28.2100009918213
2.967,16.6200008392334
2.977,20.8200016021729
2.987,17.6700000762939
2.997,-54.6300010681152
3.007,-21.0700016021729
3.017,69.1900024414062
3.027,29.6800022125244
3.036,-36.1900024414062
3.046,49.1700019836426
3.056,93.7600021362305
3.066,-17.5
3.076,34.4400024414062
3.086,36.2200012207031
3.096,3.67000007629395
3.106,-8.32999992370605
3.116,-16.8000011444092
3.126,-72.2000045776367
3.136,-52.2500038146973
3.146,22.2200012207031
3.156,-3.81000018119812
3.166,-10.1100006103516
3.176,-15.5400009155273
3.186,-4.44000005722046
3.196,-43.8900032043457
3.206,7.63000059127808
3.216,22.3600006103516
3.226,12.9100008010864
3.237,13.3700008392334
3.247,19.2100009918213
3.257,14.6600008010864
3.267,-12.8100004196167
3.277,18.6900005340576
3.287,38.4600028991699
3.297,-41.1600036621094
3.307,1.71000003814697
3.317,52.430004119873
3.327,22.2600002288818
3.337,-3.29000020027161
3.347,-32.7600021362305
3.357,-14.2400007247925
3.367,13.5100002288818
3.377,-53.8300018310547
3.387,-15.6800003051758
3.397,40.1100006103516
3.407,36.2900009155273
3.417,13.3300008773804
3.427,10.9900007247925
3.431,-15.2600011825562
3.441,47.9500007629395
3.451,10.9900007247925
3.461,-52.1500015258789
3.471,36.2200012207031
3.481,56.7000045776367
3.491,-12.3900003433228
3.501,31.0100021362305
3.511,-15.5700006484985
3.521,-81.370002746582
3.531,0.140000000596046
3.541,63.4900016784668
3.551,23.5200004577637
3.561,-1.71000003814697
3.571,66.7100067138672
3.581,13.7500009536743
3.591,-70.0300064086914
3.601,33.9500007629395
3.624,29.9600009918213
3.634,0.800000011920929
3.644,9.45000076293945
3.654,23.9700012207031
3.664,-22.9200019836426
3.674,-16.5500011444092
3.684,39.4400024414062
3.694,16.8700008392334
3.704,7.03000020980835
3.714,-8.99000072479248
3.724,33.6700019836426
3.734,-43.0100021362305
3.744,-6.54000043869019
3.754,33.1800003051758
3.764,-17.7800006866455
3.774,6.16000032424927
3.784,16.8299999237061
3.794,27.230001449585
3.804,-25.7600021362305
3.814,61.8400039672852
3.827,20.7500019073486
3.837,-2.34000015258789
3.847,-6.30000019073486
3.857,-10.8100004196167
3.867,-58.4500045776367
3.877,14.6300010681152
3.887,58.8300018310547
3.897,-33.6000022888184
3.907,4.90000009536743
3.917,34.120002746582
3.927,53.2700042724609
3.937,-2.27000021934509
3.947,42.0300025939941
