Time,ECEF_position_Z
278.415,4490896.93
278.54,4490896.55
278.665,4490896.3
278.79,4490896.24
278.915,4490896.32
279.04,4490896.71
279.165,4490897.18
279.29,4490897.76
279.415,4490898.4
279.54,4490899.16
279.665,4490900.19
279.79,4490901.32
279.915,4490902.58
280.04,4490903.92
280.165,4490905.24
280.29,4490906.52
280.415,4490907.75
280.54,4490908.9
280.665,4490909.99
280.79,4490911.06
280.915,4490912.07
281.04,4490912.89
281.165,4490913.55
281.29,4490914.14
281.415,4490914.62
281.516,4490914.84
281.665,4490914.81
281.79,4490914.65
281.915,4490914.27
282.04,4490913.93
282.165,4490913.35
282.29,4490912.78
282.415,4490912.12
282.54,4490911.48
282.665,4490911.05
282.79,4490910.65
282.915,4490910.45
283.04,4490910.48
283.165,4490910.7
283.29,4490911.19
283.415,4490911.78
283.54,4490912.56
283.665,4490913.46
283.79,4490914.63
283.915,4490916.01
284.039,4490917.52
284.164,4490919.15
284.266,4490920.97
284.414,4490922.85
284.539,4490924.84
284.664,4490926.98
284.789,4490929.18
284.914,4490931.43
285.039,4490933.73
285.164,4490936
285.289,4490938.26
285.414,4490940.53
285.539,4490942.81
285.664,4490945.1
285.789,4490947.45
285.914,4490949.88
286.039,4490952.3
286.164,4490954.81
286.289,4490957.34
286.414,4490959.85
286.539,4490962.39
286.664,4490964.9
286.789,4490967.51
286.914,4490970.1
287.016,4490972.72
287.164,4490975.37
287.289,4490978.03
287.414,4490980.74
287.539,4490983.43
287.664,4490986.15
287.789,4490988.86
287.914,4490991.62
288.039,4490994.36
288.164,4490997.14
