Time,ECEF_velocity_X
285.789,-19.51
285.914,-19.81
286.039,-19.87
286.164,-20.15
286.289,-20.37
286.414,-20.61
286.539,-20.84
286.664,-20.96
286.789,-21.27
286.914,-21.36
287.016,-21.55
287.164,-21.69
287.289,-21.9
287.414,-22.07
287.539,-22.21
287.664,-22.29
287.789,-22.42
287.914,-22.64
288.039,-22.72
288.164,-22.97
