Time,ECEF_velocity_Y
129.416,-25.37
129.554,-25.05
129.666,-24.8
129.804,-24.66
129.916,-24.12
130.054,-23.81
130.166,-23.45
130.304,-22.67
130.416,-21.8
130.554,-21.36
130.666,-20.82
130.804,-19.95
130.916,-18.95
131.054,-17.96
131.166,-16.75
131.304,-15.79
131.416,-13.96
131.554,-12.07
131.666,-9.97
131.804,-8.2
131.916,-6.29
132.054,-4.18
132.166,-2.39
132.304,-1.08
132.416,0.54
132.554,1.13
132.666,1.78
132.804,1.91
132.916,2.08
133.054,1.96
133.166,2.15
133.304,2.31
133.416,2.12
133.554,2.12
133.666,2.14
133.804,2.05
133.916,1.96
134.054,1.86
134.166,1.79
134.304,1.87
134.416,1.65
134.553,1.67
134.666,1.56
134.803,1.61
134.916,1.55
135.053,1.4
135.166,1.57
