Time,ECEF_position_Y
383.405,950087.76
383.516,950084.63
383.655,950081.59
383.766,950078.58
383.905,950075.63
384.016,950072.76
384.155,950070
384.266,950067.26
384.405,950064.61
384.516,950062.15
384.655,950059.85
384.766,950057.71
384.905,950055.7
385.016,950053.85
385.155,950052.23
385.266,950050.91
385.405,950049.81
385.516,950048.98
385.655,950048.4
385.766,950048.01
385.905,950047.85
386.016,950047.85
386.155,950047.96
386.266,950048.19
386.405,950048.43
386.516,950048.7
386.655,950048.95
386.766,950049.2
386.905,950049.43
387.016,950049.67
387.155,950049.9
387.266,950050.14
387.405,950050.4
387.516,950050.67
387.655,950050.98
387.766,950051.31
387.905,950051.66
388.016,950052.03
388.155,950052.42
388.266,950052.82
388.405,950053.24
388.516,950053.61
388.655,950054
388.766,950054.4
