Time,ECEF_velocity_Z
339.159,22.25
339.266,22.15
339.409,22.42
339.516,22.51
339.659,22.48
339.766,22.46
339.909,22.42
340.016,22.37
340.159,22.23
340.266,22.06
340.409,21.83
340.516,21.65
340.659,21.1
340.766,20.59
340.909,19.91
341.016,19.25
341.159,18.28
341.266,17.48
341.409,16.52
341.516,15.63
341.659,14.6
341.766,13.45
341.909,12.2
342.016,10.61
342.159,9.1
342.266,7.8
342.409,6.9
342.516,5.41
342.659,3.63
342.766,2.15
342.909,0.78
343.016,-0.59
343.159,-1.86
343.266,-3.33
343.409,-4.03
343.516,-4.77
343.659,-5.12
343.766,-5.49
343.909,-5.7
344.016,-5.87
344.159,-6.03
344.266,-6.29
344.409,-6.44
344.516,-6.74
344.659,-7.04
344.766,-7.5
344.909,-8.05
345.016,-8.75
345.159,-9.82
345.266,-10.81
345.409,-11.71
345.516,-12.53
345.659,-12.95
345.766,-13.5
345.909,-14.05
346.016,-14.25
346.159,-15.05
346.266,-15.26
346.409,-15.55
346.516,-16.06
346.659,-16.24
346.766,-16.31
346.909,-16.41
347.016,-16.31
347.159,-16.02
347.266,-15.48
347.409,-14.88
347.516,-14.07
347.659,-13.35
347.766,-12.49
347.909,-11.45
348.016,-10.36
348.158,-9.06
348.266,-7.87
348.408,-6.31
348.516,-4.74
348.658,-3.06
348.766,-1.46
348.908,0.27
349.016,1.74
349.158,3.49
349.266,5.18
349.408,6.56
349.516,8
349.658,9.24
349.766,10.6
349.908,11.69
350.016,12.9
350.158,13.75
350.266,14.37
350.408,14.92
350.516,15.2
350.658,15.24
350.766,15.05
350.908,14.69
351.016,13.93
351.158,13.15
351.266,12.09
351.408,10.89
351.516,9.65
351.658,8.26
351.766,7
351.908,5.29
352.016,3.93
352.158,2.19
352.266,0.57
352.408,-0.88
352.516,-2.56
352.658,-4.01
352.766,-5.99
352.908,-7.41
353.016,-8.82
353.158,-10.11
353.266,-11.28
353.408,-12.48
353.516,-13.79
353.658,-14.76
353.766,-15.65
353.908,-16.33
354.016,-16.88
354.158,-17.5
354.266,-17.83
354.408,-17.94
354.516,-18.07
354.658,-17.91
354.766,-17.75
354.908,-17.63
355.016,-17.54
355.158,-17.49
355.266,-17.47
355.408,-17.38
355.516,-17.37
355.658,-17.14
355.766,-17.02
355.908,-17.05
356.016,-17.21
356.158,-17.52
356.266,-17.96
356.408,-18.44
356.516,-18.75
356.658,-18.36
356.783,-17.97
356.908,-17.3
357.016,-16.9
357.158,-16.51
357.266,-16.17
357.408,-15.77
357.516,-15.32
357.658,-14.86
357.783,-14.24
357.908,-13.56
358.016,-12.82
358.158,-11.78
358.266,-10.84
358.408,-9.81
358.516,-9.18
358.658,-8.08
358.766,-6.3
358.907,-4.78
359.016,-3.16
359.157,-1.59
359.266,0.08
359.407,2.23
359.516,3.21
359.657,4.35
359.782,5.61
359.907,6.97
360.016,8.78
360.157,10.09
360.266,11.11
360.407,11.92
360.516,12.73
360.657,13.5
360.766,14.09
360.907,14.65
361.016,15.24
361.157,15.72
361.266,16.18
361.407,16.49
361.516,16.83
361.657,17.25
361.766,17.54
361.907,17.96
362.016,18.26
362.157,18.54
362.266,18.71
362.407,18.64
362.516,18.36
362.657,17.77
362.782,16.73
362.907,15.74
363.016,14.56
363.157,13.37
363.266,12.21
363.407,10.73
363.516,9.49
363.657,7.88
363.782,6.48
363.907,4.68
364.016,2.6
364.157,0.59
364.266,-0.62
364.407,-2.38
364.516,-4
364.657,-5.36
364.782,-7.13
364.907,-8.39
365.016,-9.6
365.157,-10.63
365.266,-11.93
365.407,-12.68
365.516,-13.51
365.657,-14.22
365.766,-14.81
365.907,-15.36
366.016,-16.02
366.157,-16.46
366.266,-16.97
366.407,-17.4
366.516,-17.89
366.657,-18.34
366.766,-18.48
366.907,-17.99
367.016,-17.63
367.157,-17.03
367.266,-16.89
367.407,-16.87
367.516,-16.2
367.657,-15.99
367.782,-15.32
367.907,-14.97
368.016,-14.32
368.157,-13.71
368.266,-12.67
368.407,-11.4
368.516,-10.27
368.657,-9.04
368.766,-7.45
368.907,-6.06
369.016,-4.43
369.157,-2.67
369.266,-1.27
369.407,0.34
369.516,1.71
369.656,3.36
369.766,5.02
369.906,6.16
370.016,7.29
370.156,8.4
370.266,9.51
370.406,10.52
370.516,11.49
370.656,12.49
370.781,13.21
370.906,13.79
371.016,14.28
371.156,13.99
371.266,13.11
371.406,12.43
371.516,11.22
371.656,10.19
371.781,8.66
371.906,7.39
372.016,5.62
372.156,4.2
372.266,2.38
372.406,0.33
372.516,-0.97
372.656,-2.97
372.766,-4.6
372.906,-6.09
373.016,-7.48
373.156,-8.78
373.266,-9.93
373.406,-11.05
373.516,-11.85
373.656,-12.51
373.781,-13.32
373.906,-14.05
374.016,-14.72
374.156,-15.34
374.266,-15.74
374.406,-16.31
374.516,-16.58
374.656,-16.72
374.766,-16.68
374.906,-16.68
375.016,-16.49
375.156,-15.76
375.266,-14.95
375.406,-14.1
375.516,-12.54
375.656,-11.81
375.766,-10.22
375.906,-9.42
376.016,-7.88
376.156,-6.73
376.266,-5.76
376.406,-5.07
376.516,-4.76
376.656,-4.88
376.766,-5.81
376.906,-6.48
377.016,-7.5
377.156,-8.07
377.266,-8.93
377.406,-9.63
377.516,-10.4
377.656,-10.78
377.781,-11.2
377.906,-11.23
378.016,-11.41
378.156,-11.31
378.266,-10.91
378.406,-10.78
378.516,-10.04
378.656,-9.29
378.766,-8.57
378.906,-7.16
379.016,-5.67
379.156,-4.28
379.266,-2.84
379.406,-1.43
379.516,-0.13
379.656,1.22
379.781,2.51
379.906,3.53
380.016,4.71
380.156,5.85
380.266,7.38
380.405,8.21
380.516,9.18
380.655,10.07
380.766,10.51
380.905,10.88
381.016,10.97
381.155,10.64
381.266,10.21
381.405,9.27
381.516,8.72
381.655,7.8
381.766,6.66
381.905,5.73
382.016,4.48
382.155,3.26
382.266,1.97
382.405,0.3
382.516,-0.51
382.655,-1.6
382.766,-2.69
382.905,-3.72
383.016,-5.13
383.155,-5.35
383.266,-4.94
383.405,-3.91
383.516,-2.56
383.655,-1.51
383.766,0.11
383.905,1.66
384.016,3.38
384.155,4.97
384.266,6.66
384.405,7.98
384.516,9.73
384.655,11.31
384.766,12.68
384.905,13.6
385.016,14.29
385.155,15.09
385.266,15.91
385.405,16.59
385.516,17.05
385.655,17.48
385.766,17.67
385.905,17.98
386.016,18.17
386.155,18.29
386.266,18.53
386.405,18.66
386.516,19.06
386.655,19.24
386.766,19.54
386.905,19.8
387.016,20.05
387.155,20.28
387.266,20.51
387.405,20.68
387.516,20.8
387.655,20.89
387.766,21.01
387.905,21.22
388.016,21.4
388.155,21.46
388.266,21.73
388.405,21.7
388.516,21.98
388.655,22.09
388.766,22.14
