Time,GPS_Gyro
439.6,-1.64224135875702
439.7,-1.16303944587708
439.8,-0.61601448059082
439.9,-0.590219140052795
440,-0.463404774665833
440.1,-0.0680066421627998
440.2,0.827237665653229
440.3,2.38264560699463
440.4,4.34856605529785
440.5,5.75097942352295
440.6,6.61591720581055
440.7,7.35939168930054
440.8,8.60847759246826
440.9,10.8760957717896
441,15.2555446624756
441.1,20.2307357788086
441.2,24.2632102966309
441.3,26.5132160186768
441.4,27.3533916473389
441.5,27.8641262054443
441.6,28.1346683502197
441.7,28.4702396392822
441.8,28.9222812652588
441.9,29.3853702545166
442,30.7180404663086
442.1,32.5567245483398
442.2,33.6650085449219
442.3,33.4259376525879
442.4,32.1763458251953
442.5,30.5145416259766
442.6,30.0594539642334
442.7,30.8175106048584
442.8,32.7467842102051
442.9,35.0408477783203
443,34.9206809997559
443.1,33.2814140319824
443.2,31.5643215179443
443.3,30.0930347442627
443.4,28.688304901123
443.5,26.720817565918
443.6,23.4601955413818
443.7,19.6247806549072
443.8,15.9599123001099
443.9,13.2637414932251
444,10.7249298095703
444.1,8.5763635635376
444.2,6.74283123016357
444.3,5.23446893692017
444.4,3.89835071563721
444.5,3.38155603408813
444.6,3.18140149116516
444.7,3.59735202789307
444.8,4.80711841583252
444.9,6.5212664604187
445,8.23810958862305
445.1,9.27189922332764
445.2,9.86006736755371
445.3,10.420051574707
445.4,11.5270538330078
445.5,13.9485206604004
445.6,17.0875473022461
445.7,20.148509979248
445.8,22.835521697998
445.9,25.1943130493164
446,27.2742519378662
446.1,28.6475677490234
446.2,29.0419788360596
446.3,28.5703735351562
446.4,28.0163669586182
446.5,29.8396320343018
446.6,32.4226837158203
446.7,34.685302734375
446.8,35.6410140991211
446.9,34.9261779785156
447,34.0980262756348
447.1,35.7535247802734
447.2,38.6577796936035
447.3,42.0411834716797
447.4,44.8966064453125
447.5,46.6231498718262
447.6,49.5320854187012
447.7,52.2249946594238
447.8,53.6857452392578
447.9,53.5700569152832
448,52.7069282531738
448.1,52.983585357666
448.2,53.2111701965332
448.3,52.1074981689453
448.4,48.931941986084
448.5,47.3296699523926
448.6,48.6831932067871
448.7,50.4073295593262
448.8,51.4812240600586
448.9,51.6606063842773
449,52.7214622497559
449.1,53.4403877258301
449.2,52.8764495849609
449.3,51.1910438537598
449.4,49.6117362976074
449.5,49.2123146057129
449.6,48.2724914550781
449.7,45.9247245788574
449.8,42.5556564331055
449.9,39.6602516174316
450,38.9694747924805
450.1,38.2688522338867
450.2,37.2917861938477
450.3,35.7038612365723
450.4,33.4232482910156
450.5,29.2626438140869
450.6,23.578540802002
450.7,17.1781044006348
450.8,10.5316133499146
450.9,4.20493412017822
451,-1.85813224315643
451.1,-7.71712303161621
451.2,-12.714409828186
451.3,-16.6948356628418
451.4,-20.244701385498
451.5,-24.6578636169434
451.6,-29.0579090118408
451.7,-32.2924842834473
451.8,-33.6249084472656
451.9,-33.4242172241211
452,-32.2633323669434
452.1,-32.3399620056152
452.2,-33.175163269043
452.3,-35.0505523681641
452.4,-37.9730911254883
452.5,-41.2041816711426
452.6,-43.5172691345215
452.7,-44.9382438659668
452.8,-45.4349098205566
452.9,-45.5006866455078
453,-48.107349395752
453.1,-49.4349174499512
453.2,-49.5424613952637
453.3,-48.7429313659668
453.4,-48.0134811401367
453.5,-48.2599334716797
453.6,-51.8508529663086
453.7,-54.7125549316406
453.8,-54.5873374938965
453.9,-51.2170829772949
454,-48.3387870788574
454.1,-46.4814643859863
454.2,-45.5552101135254
454.3,-44.290168762207
454.4,-40.9156532287598
454.5,-29.8166828155518
454.6,-17.2433776855469
454.7,-5.2767071723938
454.8,5.26747131347656
454.9,14.6633367538452
455,19.8851585388184
455.1,23.0275917053223
455.2,24.3286991119385
455.3,24.232780456543
455.4,24.0484275817871
455.5,25.5178146362305
455.6,25.2423820495605
455.7,23.9845676422119
455.8,22.2682628631592
455.9,20.8325119018555
456,19.680643081665
456.1,17.3123950958252
456.2,13.2855405807495
456.3,7.54677629470825
456.4,1.05647385120392
456.5,-4.71122264862061
456.6,-9.24598217010498
456.7,-12.596134185791
456.8,-14.6060380935669
456.9,-15.6692571640015
457,-14.4361534118652
457.1,-12.141752243042
457.2,-9.85524272918701
457.3,-8.26767444610596
457.4,-7.74531030654907
457.5,-11.3784055709839
457.6,-18.1624450683594
457.7,-24.4627075195312
457.8,-28.8701019287109
457.9,-31.5508003234863
458,-34.4963645935059
458.1,-38.1073608398438
458.2,-42.0010299682617
458.3,-46.0088691711426
458.4,-49.9854965209961
458.5,-55.2638130187988
458.6,-60.0507659912109
458.7,-62.9947700500488
458.8,-64.0631942749023
458.9,-64.6414184570312
459,-66.0056991577148
459.1,-67.2750015258789
459.2,-69.0273895263672
459.3,-71.1670684814453
459.4,-73.1070861816406
459.5,-72.430549621582
459.6,-70.6502838134766
459.7,-67.6949081420898
459.8,-63.0685386657715
459.9,-56.9276542663574
460,-50.7983665466309
460.1,-45.1764106750488
460.2,-40.7680244445801
460.3,-38.7187614440918
460.4,-39.2935791015625
460.5,-42.121898651123
460.6,-46.1181869506836
460.7,-48.1518669128418
460.8,-46.7753562927246
460.9,-42.6907539367676
461,-38.4272193908691
461.1,-34.4251174926758
461.2,-31.721212387085
461.3,-29.8948230743408
461.4,-27.5041561126709
461.5,-23.6076335906982
461.6,-18.6005172729492
461.7,-13.1278247833252
461.8,-7.5564751625061
461.9,-2.26685380935669
462,2.13831853866577
462.1,6.24214220046997
462.2,9.85548400878906
462.3,12.8361902236938
462.4,15.3804874420166
462.5,18.6904411315918
462.6,22.1174144744873
462.7,25.4093360900879
462.8,27.8777179718018
462.9,29.0189056396484
463,29.6462898254395
463.1,30.9000263214111
463.2,32.7707214355469
463.3,35.1648445129395
463.4,37.6632118225098
463.5,39.1767501831055
463.6,40.9557571411133
463.7,42.8640937805176
463.8,44.7305679321289
463.9,46.3634223937988
464,47.4469528198242
464.1,49.4985275268555
464.2,50.677318572998
464.3,50.0732345581055
464.4,47.8742065429688
464.5,44.2846984863281
464.6,40.1458549499512
464.7,37.8236312866211
464.8,38.0074310302734
464.9,39.5859298706055
465,39.8255805969238
465.1,38.9490165710449
465.2,36.8532905578613
465.3,34.530101776123
465.4,33.5610427856445
465.5,32.2044067382812
465.6,28.9820747375488
465.7,25.7103500366211
465.8,22.7092990875244
465.9,19.709379196167
466,17.4845924377441
466.1,14.7153787612915
466.2,12.2094326019287
466.3,10.794171333313
466.4,10.9019966125488
466.5,12.2248964309692
466.6,14.0156421661377
466.7,15.1823253631592
466.8,15.1475963592529
466.9,13.9743127822876
467,11.6992139816284
467.1,9.48490428924561
467.2,8.3647403717041
467.3,9.65910816192627
467.4,13.8631067276001
467.5,20.8526763916016
467.6,25.2321338653564
467.7,28.1548290252686
467.8,29.8579978942871
467.9,30.8864250183105
468,33.2308921813965
468.1,34.6688766479492
468.2,36.3545875549316
468.3,39.9635620117188
468.4,46.5710258483887
468.5,52.8144721984863
468.6,56.5593070983887
468.7,59.0632019042969
468.8,61.5262832641602
468.9,65.1529006958008
469,66.382209777832
469.1,66.7786712646484
469.2,68.1680679321289
469.3,69.8607559204102
469.4,70.0935287475586
469.5,68.1828002929688
469.6,64.7418212890625
469.7,61.5597457885742
469.8,59.6603927612305
469.9,59.2081604003906
470,55.6704177856445
470.1,53.8836517333984
470.2,53.1396331787109
470.3,53.1647834777832
470.4,53.4196395874023
470.5,52.3005561828613
470.6,48.828254699707
470.7,46.4799270629883
470.8,46.2769165039062
470.9,47.4185180664062
471,44.8933601379395
471.1,34.7735633850098
471.2,19.2057571411133
471.3,0.327324062585831
471.4,-17.8817958831787
471.5,-29.3751087188721
471.6,-35.1757507324219
471.7,-37.8184928894043
471.8,-39.0763244628906
471.9,-41.3157958984375
472,-46.8043975830078
472.1,-53.9328651428223
472.2,-60.806583404541
472.3,-66.7196655273438
472.4,-71.6677017211914
472.5,-74.1417388916016
472.6,-72.859016418457
472.7,-69.4377746582031
472.8,-64.4130401611328
472.9,-58.8604469299316
473,-57.6836280822754
473.1,-61.5738410949707
473.2,-66.322998046875
473.3,-69.2392044067383
473.4,-68.5472640991211
473.5,-60.3251609802246
473.6,-49.2540168762207
473.7,-38.87646484375
473.8,-31.5954418182373
473.9,-28.3200340270996
474,-29.016637802124
474.1,-27.7655410766602
