Time,Logger_Temperature
135.939,11.1953125
136.989,11.1953125
138.039,11.1953125
139.089,11.1953125
140.139,11.09375
141.189,11
142.239,11.09375
143.289,11
144.339,11
145.389,11
146.439,11.09375
147.489,11
148.539,11
149.589,10.8984375
150.639,11
151.689,10.8984375
152.739,10.8984375
153.789,10.8984375
154.839,10.8984375
155.889,10.796875
156.939,10.796875
157.989,10.796875
159.039,10.8984375
160.089,10.6953125
161.139,10.796875
162.189,10.796875
163.239,10.796875
164.289,10.796875
165.339,10.796875
166.389,10.6953125
167.439,10.6953125
168.489,10.6953125
169.539,10.5
170.589,10.5
171.639,10.59375
172.689,10.5
173.739,10.5
174.789,10.5
175.839,10.59375
176.889,10.5
177.939,10.5
178.989,10.5
180.039,10.5
181.089,10.3984375
182.139,10.3984375
183.189,10.3984375
184.239,10.3984375
185.289,10.3984375
186.339,10.3984375
187.389,10.3984375
