Time,GPS_LatAcc
439.6,-0.0927172526717186
439.7,-0.0658709406852722
439.8,-0.0351513773202896
439.9,-0.0338816680014133
440,-0.0267416909337044
440.1,-0.00388236995786428
440.2,0.0480633936822414
440.3,0.138355940580368
440.4,0.25243666768074
440.5,0.333558291196823
440.6,0.383285105228424
440.7,0.425861150026321
440.8,0.49765944480896
440.9,0.628456056118011
441,0.881562232971191
441.1,1.16928362846375
441.2,1.40216195583344
441.3,1.53056013584137
441.4,1.57540249824524
441.5,1.59860289096832
441.6,1.60904967784882
441.7,1.62507319450378
441.8,1.65009009838104
441.9,1.6770236492157
442,1.75168204307556
442.1,1.85354602336884
442.2,1.91217648983002
442.3,1.89230024814606
442.4,1.81401169300079
442.5,1.71168184280396
442.6,1.676628947258
442.7,1.70904684066772
442.8,1.80689120292664
442.9,1.92564284801483
443,1.91569519042969
443.1,1.82716870307922
443.2,1.73734843730927
443.3,1.66291332244873
443.4,1.59180104732513
443.5,1.4868198633194
443.6,1.30764377117157
443.7,1.09545958042145
443.8,0.892380118370056
443.9,0.743615746498108
444,0.603204369544983
444.1,0.48375877737999
444.2,0.381474554538727
444.3,0.296978831291199
444.4,0.221918731927872
444.5,0.193007081747055
444.6,0.181998014450073
444.7,0.206180185079575
444.8,0.275922298431396
444.9,0.374837905168533
445,0.474474102258682
445.1,0.53484833240509
445.2,0.569314301013947
445.3,0.601836085319519
445.4,0.665715992450714
445.5,0.804789841175079
445.6,0.984566688537598
445.7,1.15919530391693
445.8,1.31108391284943
445.9,1.44270396232605
446,1.55576193332672
446.1,1.62567460536957
446.2,1.63640320301056
446.3,1.59155631065369
446.4,1.53507614135742
446.5,1.59684801101685
446.6,1.69183444976807
446.7,1.76758253574371
446.8,1.775510430336
446.9,1.69943678379059
447,1.62036657333374
447.1,1.66076016426086
447.2,1.75876939296722
447.3,1.87606823444366
447.4,1.96523857116699
447.5,1.99935340881348
447.6,2.08237743377686
447.7,2.15602898597717
447.8,2.1806743144989
447.9,2.14475512504578
448,2.08012723922729
448.1,2.05598568916321
448.2,2.03280735015869
448.3,1.96973776817322
448.4,1.84257924556732
448.5,1.79069542884827
448.6,1.84995150566101
448.7,1.92034375667572
448.8,1.96454095840454
448.9,1.97701132297516
449,2.03008794784546
449.1,2.07551622390747
449.2,2.0741720199585
449.3,2.03165292739868
449.4,1.99415743350983
449.5,1.99973690509796
449.6,1.97921061515808
449.7,1.89983403682709
449.8,1.77762377262115
449.9,1.67365396022797
450,1.65904104709625
450.1,1.64266741275787
450.2,1.61272692680359
450.3,1.55441415309906
450.4,1.46487772464752
450.5,1.29361772537231
450.6,1.05427134037018
450.7,0.778885364532471
450.8,0.484497666358948
450.9,0.19626672565937
451,-0.0905590355396271
451.1,-0.375147730112076
451.2,-0.622526407241821
451.3,-0.824358999729156
451.4,-1.00680601596832
451.5,-1.2311851978302
451.6,-1.45277369022369
451.7,-1.61310172080994
451.8,-1.67234706878662
451.9,-1.64804553985596
