Time,GPS_Radius
439.6,1114.80786132812
439.7,1582.67895507812
439.8,3001.66137695312
439.9,3163.94604492188
440,4032.26416015625
440.1,10000
440.2,2259.62255859375
440.3,785.580444335938
440.4,429.053070068359
440.5,324.1064453125
440.6,281.512603759766
440.7,252.95817565918
440.8,216.113647460938
440.9,170.780990600586
441,122.163757324219
441.1,92.0916061401367
441.2,76.7013168334961
441.3,69.9968338012695
441.4,67.447868347168
441.5,65.9632339477539
441.6,65.373046875
441.7,64.6337738037109
441.8,63.6076622009277
441.9,62.6262474060059
442,59.5975112915039
442.1,56.3316230773926
442.2,54.2472991943359
442.3,54.1878547668457
442.4,56.2025680541992
442.5,58.804759979248
442.6,59.4074287414551
442.7,57.6326026916504
442.8,54.0105438232422
442.9,50.4995574951172
443,50.6992721557617
443.1,53.2769737243652
443.2,56.4734230041504
443.3,59.6010055541992
443.4,62.5806045532227
443.5,67.2045364379883
443.6,76.6112747192383
443.7,91.8069839477539
443.8,113.277992248535
443.9,136.660552978516
444,169.651428222656
444.1,212.538909912109
444.2,271.140228271484
444.3,350.591979980469
444.4,471.857208251953
444.5,545.038146972656
444.6,580.135803222656
444.7,513.512817382812
444.8,384.82666015625
444.9,284.571655273438
445,225.770797729492
445.1,200.593627929688
445.2,188.471862792969
445.3,178.368850708008
445.4,161.66569519043
445.5,132.811767578125
445.6,108.36905670166
445.7,91.8564834594727
445.8,80.8198394775391
445.9,72.881217956543
446,66.8775405883789
446.1,63.4724807739258
446.2,61.8071403503418
446.3,61.4555931091309
446.4,61.420581817627
446.5,55.7795257568359
446.6,50.5097999572754
446.7,46.1844215393066
446.8,43.6691017150879
446.9,43.4983253479004
447,43.6544990539551
447.1,40.9548072814941
447.2,37.1518783569336
447.3,33.4195327758789
447.4,30.672830581665
447.5,28.9723739624023
447.6,26.8178768157959
447.7,25.02707862854
447.8,24.0029239654541
447.9,23.7994346618652
448,23.708625793457
448.1,23.0854721069336
448.2,22.7994270324707
448.3,23.3871994018555
448.4,24.9929962158203
448.5,26.0263366699219
448.6,25.2773342132568
448.7,24.4255905151367
448.8,24.0296592712402
448.9,24.1175689697266
449,23.8223419189453
449.1,23.8122959136963
449.2,24.3550090789795
449.3,25.4164428710938
449.4,26.512544631958
449.5,27.011323928833
449.6,27.7490272521973
449.7,29.4243812561035
449.8,32.063720703125
449.9,34.6985168457031
450,35.649040222168
450.1,36.5661849975586
450.2,37.7149543762207
450.3,39.6077613830566
450.4,42.7131767272949
450.5,49.5172538757324
450.6,62.4775810241699
450.7,87.2057952880859
450.8,144.391815185547
450.9,365.886688232422
451,840.273193359375
451.1,204.507598876953
451.2,125.28670501709
451.3,96.1262512207031
451.4,79.6685562133789
451.5,65.2881469726562
451.6,55.4522972106934
451.7,49.7594680786133
451.8,47.2361183166504
451.9,46.5253105163574
452,47.1171684265137
452.1,46.20263671875
452.2,43.8960571289062
452.3,40.3551292419434
452.4,36.6144027709961
452.5,32.362247467041
452.6,29.9696521759033
452.7,28.3644065856934
452.8,27.4603309631348
452.9,27.1686744689941
453,25.8597755432129
453.1,25.1951236724854
453.2,25.3117923736572
453.3,26.0511474609375
453.4,26.7468357086182
453.5,26.4082336425781
453.6,24.4693698883057
453.7,23.1734180450439
453.8,23.3005485534668
453.9,24.9521045684814
454,26.6176376342773
454.1,27.8973770141602
454.2,28.949556350708
454.3,30.4343948364258
454.4,33.4572868347168
454.5,47.0855979919434
454.6,82.4293365478516
454.7,271.3349609375
454.8,272.596313476562
454.9,97.8490371704102
455,72.3256149291992
455.1,62.6721000671387
455.2,59.7176094055176
455.3,60.5635681152344
455.4,61.7313232421875
455.5,59.0050735473633
455.6,60.389949798584
455.7,64.20947265625
455.8,69.8210296630859
455.9,75.4761123657227
456,80.5332717895508
456.1,92.2465133666992
456.2,121.368133544922
456.3,215.916793823242
456.4,1555.54602050781
456.5,351.746337890625
456.6,180.383697509766
456.7,133.132965087891
456.8,115.411643981934
456.9,108.190353393555
457,117.667411804199
457.1,137.423477172852
457.2,164.714889526367
457.3,190.586441040039
457.4,198.696487426758
457.5,130.675659179688
457.6,79.4920883178711
457.7,57.1033363342285
457.8,46.8294410705566
457.9,41.8388900756836
458,36.5646133422852
458.1,32.0630760192871
458.2,28.1534366607666
458.3,24.760570526123
458.4,21.8997669219971
458.5,19.0076560974121
458.6,16.9190044403076
458.7,15.7379283905029
458.8,15.2185649871826
458.9,14.8536949157715
459,14.4529790878296
459.1,14.138710975647
459.2,13.7013759613037
459.3,13.2145004272461
459.4,12.8709411621094
459.5,12.9028882980347
459.6,13.3189373016357
459.7,13.9831323623657
459.8,15.1399116516113
459.9,17.1034736633301
460,19.0750713348389
460.1,22.2724208831787
460.2,25.4009952545166
460.3,26.9877529144287
460.4,26.5727081298828
460.5,25.0555152893066
460.6,23.5324954986572
460.7,23.3906154632568
460.8,24.9796352386475
460.9,28.0841026306152
461,31.7635803222656
461.1,36.2195014953613
461.2,40.142993927002
461.3,43.5494041442871
461.4,48.5455436706543
461.5,57.5247650146484
461.6,74.2411727905273
461.7,107.068649291992
461.8,189.508544921875
461.9,643.538452148438
462,694.842224121094
462.1,240.607711791992
462.2,154.178741455078
462.3,119.922271728516
462.4,101.235061645508
462.5,83.9458541870117
462.6,71.582160949707
462.7,62.6683311462402
462.8,57.2987937927246
462.9,55.2627983093262
463,53.4456405639648
463.1,50.6905212402344
463.2,47.251953125
463.3,43.4456367492676
463.4,39.8611526489258
463.5,37.5641403198242
463.6,35.3698272705078
463.7,33.5051918029785
463.8,32.0250244140625
463.9,30.8225402832031
464,30.0210437774658
464.1,28.8581314086914
464.2,28.2601299285889
464.3,28.6107692718506
464.4,29.8859233856201
464.5,32.6946029663086
464.6,36.2826995849609
464.7,38.6223449707031
464.8,38.6148109436035
464.9,37.500732421875
465,37.5132102966309
465.1,38.5711364746094
465.2,40.9442901611328
465.3,43.8699836730957
465.4,45.3518600463867
465.5,47.5928611755371
465.6,53.2193450927734
465.7,60.4949798583984
465.8,69.1665725708008
465.9,80.4167785644531
466,91.9171447753906
466.1,110.114723205566
466.2,133.851196289062
466.3,152.799407958984
466.4,152.533218383789
466.5,137.374221801758
466.6,120.336936950684
466.7,111.48412322998
466.8,112.211494445801
466.9,122.182716369629
467,144.43896484375
467.1,173.402587890625
467.2,191.034225463867
467.3,160.418991088867
467.4,107.640266418457
467.5,69.8299102783203
467.6,56.0290184020996
467.7,48.7332420349121
467.8,44.6232757568359
467.9,41.8563461303711
468,37.4655876159668
468.1,35.0894203186035
468.2,32.2907829284668
468.3,28.1079788208008
468.4,23.3529224395752
468.5,19.8630352020264
468.6,17.8762245178223
468.7,16.4220523834229
468.8,15.1744041442871
468.9,14.0101413726807
469,13.7151679992676
469.1,13.6890211105347
469.2,13.5213708877563
469.3,13.3521242141724
469.4,13.4920721054077
469.5,13.9848384857178
469.6,14.9148406982422
469.7,15.8595094680786
469.8,16.4470710754395
469.9,16.5384502410889
470,17.7996692657471
470.1,18.4369144439697
470.2,18.7731132507324
470.3,18.8667869567871
