Time,Logger_Temperature
388.989,9
390.039,9
391.089,9
392.139,9.09375
393.189,9
394.239,9
395.289,9
396.339,9.09375
397.389,9
398.439,9
399.489,9
400.539,9
401.589,9
402.639,9
403.689,9
404.739,9
405.789,9
406.839,9
407.889,9
408.939,9.09375
409.989,9
411.039,9
412.089,9
413.139,9.09375
414.189,9
415.239,8.8984375
416.289,9
417.339,9
418.389,9
419.439,9
420.489,9
421.539,9
422.589,9
423.639,9
424.689,8.8984375
425.739,9
426.789,9
427.839,9
428.889,9
429.939,9
430.989,8.8984375
432.039,8.8984375
433.089,9
434.139,9.09375
435.189,9
436.239,9
437.289,8.8984375
438.339,9
439.389,9
